ProductBatch,WorkOrder,ProductionDate,Shift,MachineId,MoldId,BottleId,LotSize,CodeLetter,SampleSize,CriticalDefects,MajorDefects,MinorDefects,TotalSampleDefects,VariablesDecision,AttributesDecision,FinalLotDecision,DispositionDetail,LotDecisionDateTime,Remarks,Inspector
LOTE-M-SOP-007-2010,WO-1020,2025-07-15,Shift 3,ISBM-001,M-SOP-007,FR-007-PVC-350,34275,M,315,1,7,28,36,Conforming,Rejected,Approved,Approved - Reworked,2025-07-16 14:27:10.564,—,Ana Silva
LOTE-M-SOP-007-2011,WO-1021,2025-07-15,Shift 3,ISBM-001,M-SOP-007,FR-007-HDPE-PCR-350,5827,L,200,0,1,3,4,Conforming,Approved,Approved,Approved - First Pass,2025-07-16 18:35:57.548,—,Ana Silva
LOTE-M-SOP-001-2012,WO-1022,2025-07-16,Shift 1,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,7647,L,200,0,0,1,1,Conforming,Approved,Approved,Approved - First Pass,2025-07-17 15:03:40.409,—,Elena Santos
LOTE-M-SOP-007-2013,WO-1024,2025-07-17,Shift 2,ISBM-001,M-SOP-007,FR-007-HDPE-350,18262,M,315,0,3,8,11,Conforming,Approved,Approved,Approved - First Pass,2025-07-18 17:44:41.490,—,Diogo Ferreira
LOTE-M-SOP-007-2014,WO-1025,2025-07-18,Shift 2,ISBM-001,M-SOP-007,FR-007-PP-PCR-350,7982,L,200,0,0,5,5,Conforming,Approved,Approved,Approved - First Pass,2025-07-19 18:00:16.402,—,Diogo Ferreira
LOTE-M-SOP-007-2015,WO-1028,2025-07-20,Shift 2,ISBM-001,M-SOP-007,FR-007-HDPE-350,16594,M,315,0,3,2,5,Conforming,Approved,Approved,Approved - First Pass,2025-07-22 00:41:28.193,—,Elena Santos
LOTE-M-SOP-001-2016,WO-1029,2025-07-21,Shift 2,ISBM-001,M-SOP-001,FR-001-HDPE-300,8131,L,200,0,1,9,10,Conforming,Approved,Approved,Approved - First Pass,2025-07-22 20:02:29.110,—,Ana Silva
LOTE-M-SOP-007-2017,WO-1030,2025-07-22,Shift 1,ISBM-001,M-SOP-007,FR-007-PP-PCR-350,7798,L,200,0,0,6,6,Conforming,Approved,Approved,Approved - First Pass,2025-07-23 06:04:10.642,—,Carlos Mendes
LOTE-M-SOP-001-2018,WO-1031,2025-07-23,Shift 3,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,3315,L,200,0,2,3,5,Conforming,Approved,Approved,Approved - First Pass,2025-07-24 00:11:38.177,—,Diogo Ferreira
LOTE-M-SOP-001-2019,WO-1034,2025-07-24,Shift 2,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,20828,M,315,0,4,18,22,Conforming,Approved,Approved,Approved - First Pass,2025-07-25 19:45:09.595,—,Elena Santos
LOTE-M-SOP-007-2020,WO-1036,2025-07-26,Shift 1,ISBM-001,M-SOP-007,FR-007-rPET-350,14459,M,315,0,2,7,9,Conforming,Approved,Approved,Approved - First Pass,2025-07-27 02:14:08.249,—,Elena Santos
LOTE-M-SOP-007-2021,WO-1039,2025-07-28,Shift 2,ISBM-001,M-SOP-007,FR-007-PP-PCR-350,24450,M,315,0,4,16,20,Conforming,Approved,Approved,Approved - First Pass,2025-07-29 08:07:59.118,—,Beatriz Costa
LOTE-M-SOP-001-2022,WO-1041,2025-07-29,Shift 2,ISBM-001,M-SOP-001,FR-001-HDPE-300,19264,M,315,0,2,6,8,Conforming,Approved,Approved,Approved - First Pass,2025-07-31 09:09:24.533,—,Diogo Ferreira
LOTE-M-SOP-001-2023,WO-1044,2025-08-01,Shift 3,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,28048,M,315,1,8,11,20,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-08-02 00:22:39.433,Leakage:1(Re=1),Ana Silva
LOTE-M-SOP-001-2024,WO-1046,2025-08-02,Shift 2,ISBM-001,M-SOP-001,FR-001-rPET-300,16320,M,315,0,1,7,8,Conforming,Approved,Approved,Approved - First Pass,2025-08-04 03:09:43.354,—,Diogo Ferreira
LOTE-M-SOP-001-2025,WO-1047,2025-08-03,Shift 1,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,5056,L,200,0,2,2,4,Conforming,Approved,Approved,Approved - First Pass,2025-08-04 11:44:19.617,—,Beatriz Costa
LOTE-M-SOP-001-2026,WO-1048,2025-08-04,Shift 3,ISBM-001,M-SOP-001,FR-001-rPET-300,7524,L,200,0,1,0,1,Conforming,Approved,Approved,Approved - First Pass,2025-08-05 09:56:55.811,—,Ana Silva
LOTE-M-SOP-007-2027,WO-1049,2025-08-04,  Shift 2  ,ISBM-001,M-SOP-007,FR-007-HDPE-PCR-350,8090,L,200,0,1,4,5,Conforming,Approved,Approved,Approved - First Pass,2025-08-05 14:50:07.181,—,Ana Silva
LOTE-M-SOP-007-2028,WO-1052,2025-08-06,Shift 2,ISBM-001,M-SOP-007,FR-007-HDPE-PCR-350,23798,M,315,0,11,12,23,Conforming,Approved,Approved,Approved - First Pass,2025-08-08 02:45:14.981,—,Carlos Mendes
LOTE-M-SOP-001-2029,WO-1053,2025-08-07,Shift 1,ISBM-001,M-SOP-001,FR-001-rPET-300,6247,L,200,0,2,0,2,Conforming,Approved,Approved,Approved - First Pass,2025-08-08 06:32:34.328,—,Beatriz Costa
LOTE-M-SOP-007-2030,WO-1054,2025-08-08,Shift 3,ISBM-001,M-SOP-007,FR-007-HDPE-PCR-350,5065,L,200,0,0,2,2,Conforming,Approved,Approved,Approved - First Pass,2025-08-08 23:48:26.762,—,Diogo Ferreira
LOTE-M-SOP-007-2031,WO-1056,2025-08-09,SHIFT 2,ISBM-001,M-SOP-007,FR-007-rPET-350,12017,M,315,0,7,12,19,Conforming,Approved,Approved,Approved - First Pass,2025-08-10 13:44:21.522,—,Diogo Ferreira
LOTE-M-SOP-001-2032,WO-1057,2025-08-10,Shift 1,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,6164,L,200,0,0,2,2,Conforming,Approved,Approved,Approved - First Pass,2025-08-11 14:16:57.098,—,Diogo Ferreira
LOTE-M-SOP-007-2033,WO-1059,2025-08-11,Shift 3,ISBM-001,M-SOP-007,FR-007-PVC-350,17252,M,315,0,12,12,24,Conforming,Rejected,Approved,Approved - Released on Deviation,2025-08-13 04:45:57.057,—,Ana Silva
LOTE-M-SOP-007-2034,WO-1061,2025-08-13,SHIFT 1,ISBM-001,M-SOP-007,FR-007-HDPE-PCR-350,16752,M,315,0,10,4,14,Conforming,Approved,Approved,Approved - First Pass,2025-08-14 09:47:08.365,—,Elena Santos
LOTE-M-SOP-007-2035,WO-1062,2025-08-13,SHIFT 3,ISBM-001,M-SOP-007,FR-007-rPET-350,10162,M,315,0,1,6,7,Conforming,Approved,Approved,Approved - First Pass,2025-08-15 00:43:19.101,—,Carlos Mendes
LOTE-M-SOP-001-2036,WO-1063,2025-08-14,Shift 2,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,5554,L,200,0,1,5,6,Conforming,Approved,Approved,Approved - First Pass,2025-08-15 16:36:26.461,—,Diogo Ferreira
LOTE-M-SOP-001-2037,WO-1066,2025-08-16,Shift 2,ISBM-001,M-SOP-001,FR-001-HDPE-300,16691,M,315,0,3,13,16,Conforming,Approved,Approved,Approved - First Pass,2025-08-17 09:21:30.996,—,Carlos Mendes
LOTE-M-SOP-001-2038,WO-1069,2025-08-18,shift 2,ISBM-001,M-SOP-001,FR-001-rPET-300,26028,M,315,0,1,19,20,Conforming,Approved,Approved,Approved - First Pass,2025-08-20 07:17:13.192,—,Carlos Mendes
LOTE-M-SOP-007-2039,WO-1072,2025-08-21,Shift 1,ISBM-001,M-SOP-007,FR-007-HDPE-PCR-350,23086,M,315,0,4,11,15,Conforming,Approved,Approved,Approved - First Pass,2025-08-22 01:04:20.297,—,Carlos Mendes
LOTE-M-SOP-001-2040,WO-1075,2025-08-23,Shift 1,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,28717,M,315,0,1,13,14,Conforming,Approved,Approved,Approved - First Pass,2025-08-24 15:07:35.562,—,Carlos Mendes
LOTE-M-SOP-007-2041,WO-1077,2025-08-24,Shift 2,ISBM-001,M-SOP-007,FR-007-PP-350,13083,M,315,0,3,12,15,Conforming,Approved,Approved,Approved - First Pass,2025-08-26 04:31:43.611,—,Carlos Mendes
LOTE-M-SOP-001-2042,WO-1080,2025-08-26,Shift 2,ISBM-001,M-SOP-001,FR-001-rPET-300,24296,M,315,0,9,12,21,Conforming,Approved,Approved,Approved - First Pass,2025-08-27 23:07:21.520,—,Carlos Mendes
LOTE-M-SOP-007-2043,WO-1081,2025-08-27,SHIFT 1,ISBM-001,M-SOP-007,FR-007-PETG-350,6282,L,200,0,0,6,6,Conforming,Approved,Approved,Approved - First Pass,2025-08-28 03:24:37.990,—,Beatriz Costa
LOTE-M-SOP-007-2044,WO-1082,2025-08-28,Shift 3,ISBM-001,M-SOP-007,FR-007-HDPE-350,4118,L,200,0,1,6,7,Conforming,Approved,Approved,Approved - First Pass,2025-08-29 12:50:57.805,—,Diogo Ferreira
LOTE-M-SOP-007-2045,WO-1085,2025-08-30,Shift 1,ISBM-001,M-SOP-007,FR-007-PP-350,19502,M,315,0,2,15,17,Conforming,Approved,Approved,Approved - First Pass,2025-09-01 00:51:57.777,—,Ana Silva
LOTE-M-SOP-007-2046,WO-1086,2025-08-31,Shift 1,ISBM-001,M-SOP-007,FR-007-PETG-350,10006,M,315,0,0,0,0,Conforming,Approved,Approved,Approved - First Pass,2025-09-01 14:10:21.152,—,Beatriz Costa
LOTE-M-SOP-001-2047,WO-1088,2025-09-01,Shift 2,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,15588,M,315,0,2,14,16,Conforming,Approved,Approved,Approved - First Pass,2025-09-02 20:31:25.155,—,Elena Santos
LOTE-M-SOP-007-2048,WO-1089,2025-09-02,Shift 1,ISBM-001,M-SOP-007,FR-007-PP-PCR-350,7210,L,200,0,1,4,5,Conforming,Approved,Approved,Approved - First Pass,2025-09-03 12:43:30.640,—,Diogo Ferreira
LOTE-M-SOP-001-2049,WO-1090,2025-09-02,  Shift 3  ,ISBM-001,M-SOP-001,FR-001-rPET-300,9007,L,200,0,1,3,4,Conforming,Approved,Approved,Approved - First Pass,2025-09-04 04:48:52.423,—,Ana Silva
LOTE-M-SOP-001-2050,WO-1093,2025-09-04,Shift 3,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,22904,M,315,0,7,7,14,Conforming,Approved,Approved,Approved - First Pass,2025-09-06 04:54:07.762,—,Carlos Mendes
LOTE-M-SOP-007-2051,WO-1095,2025-09-06,Shift 1,ISBM-001,M-SOP-007,FR-007-PP-PCR-350,16426,M,315,0,5,13,18,Conforming,Approved,Approved,Approved - First Pass,2025-09-07 16:43:17.883,—,Beatriz Costa
LOTE-M-SOP-001-2052,WO-1098,2025-09-08,  Shift 2  ,ISBM-001,M-SOP-001,FR-001-HDPE-300,24917,M,315,0,5,8,13,Conforming,Approved,Approved,Approved - First Pass,2025-09-10 02:21:15.529,—,Beatriz Costa
LOTE-M-SOP-007-2053,WO-1101,2025-09-10,Shift 2,ISBM-001,M-SOP-007,FR-007-rPET-350,22120,M,315,0,5,10,15,Conforming,Approved,Approved,Approved - First Pass,2025-09-11 08:45:15.671,—,Beatriz Costa
LOTE-M-SOP-007-2054,WO-1104,2025-09-12,Shift 2,ISBM-001,M-SOP-007,FR-007-PETG-350,25012,M,315,0,13,18,31,Conforming,Approved,Approved,Approved - First Pass,2025-09-13 16:41:08.382,—,Ana Silva
LOTE-M-SOP-001-2055,WO-1105,2025-09-13,Shift 1,ISBM-001,M-SOP-001,FR-001-rPET-300,2666,L,200,0,4,0,4,Conforming,Approved,Approved,Approved - First Pass,2025-09-14 12:05:20.974,—,Beatriz Costa
LOTE-M-SOP-001-2056,WO-1107,2025-09-14,Shift 2,ISBM-001,M-SOP-001,FR-001-HDPE-300,13799,M,315,0,3,9,12,Conforming,Approved,Approved,Approved - First Pass,2025-09-16 01:27:47.476,—,Ana Silva
LOTE-M-SOP-001-2057,WO-1109,2025-09-16,Shift 1,ISBM-001,M-SOP-001,FR-001-rPET-300,9781,L,200,0,1,8,9,Conforming,Approved,Approved,Approved - First Pass,2025-09-17 05:06:28.888,—,Carlos Mendes
LOTE-M-SOP-001-2058,WO-1111,2025-09-17,shift 2,ISBM-001,M-SOP-001,FR-001-rPET-300,7343,L,200,0,0,13,13,Conforming,Approved,Approved,Approved - First Pass,2025-09-18 13:30:10.132,—,Carlos Mendes
LOTE-M-SOP-007-2059,WO-1112,2025-09-18,Shift 3,ISBM-001,M-SOP-007,FR-007-PETG-350,3590,L,200,0,2,0,2,Conforming,Approved,Approved,Approved - First Pass,2025-09-18 23:20:33.017,—,Elena Santos
LOTE-M-SOP-001-2060,WO-1115,2025-09-20,Shift 3,ISBM-001,M-SOP-001,FR-001-HDPE-300,20289,M,315,0,9,7,16,Conforming,Approved,Approved,Approved - First Pass,2025-09-21 00:34:31.543,—,Elena Santos
LOTE-M-SOP-001-2061,WO-1116,2025-09-20,Shift 3,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,6563,L,200,0,0,0,0,Conforming,Approved,Approved,Approved - First Pass,2025-09-21 23:52:53.323,—,Diogo Ferreira
LOTE-M-SOP-007-2062,WO-1118,2025-09-22,  Shift 1  ,ISBM-001,M-SOP-007,FR-007-HDPE-350,11123,M,315,0,4,11,15,Conforming,Approved,Approved,Approved - First Pass,2025-09-23 15:44:27.324,—,Carlos Mendes
LOTE-M-SOP-007-2063,WO-1119,2025-09-22,Shift 3,ISBM-001,M-SOP-007,FR-007-PVC-350,5067,L,200,0,2,8,10,Conforming,Approved,Approved,Approved - First Pass,2025-09-24 02:43:43.735,—,Elena Santos
LOTE-M-SOP-001-2064,WO-1120,2025-09-23,Shift 1,ISBM-001,M-SOP-001,FR-001-HDPE-300,3863,L,200,0,0,3,3,Conforming,Approved,Approved,Approved - First Pass,2025-09-24 00:51:07.098,—,Ana Silva
LOTE-M-SOP-007-2065,WO-1121,2025-09-24,Shift 3,ISBM-001,M-SOP-007,FR-007-PVC-350,8232,L,200,1,0,2,3,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-09-25 10:08:33.867,Leakage:1(Re=1),Carlos Mendes
LOTE-M-SOP-001-2066,WO-1124,2025-09-25,Shift 3,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,18318,M,315,0,1,10,11,Conforming,Approved,Approved,Approved - First Pass,2025-09-27 09:04:48.530,—,Elena Santos
LOTE-M-SOP-007-2067,WO-1126,2025-09-27,Shift 2,ISBM-001,M-SOP-007,FR-007-PVC-350,11744,M,315,0,3,1,4,Conforming,Approved,Approved,Approved - First Pass,2025-09-28 17:45:45.374,—,Diogo Ferreira
LOTE-M-SOP-001-2068,WO-1128,2025-09-29,Shift 3,ISBM-001,M-SOP-001,FR-001-HDPE-300,12463,M,315,0,4,8,12,Conforming,Approved,Approved,Approved - First Pass,2025-09-30 02:38:10.412,—,Elena Santos
LOTE-M-SOP-007-2069,WO-1131,2025-09-30,Shift 2,ISBM-001,M-SOP-007,FR-007-PP-PCR-350,15594,M,315,0,6,19,25,Conforming,Approved,Approved,Approved - First Pass,2025-10-01 23:35:40.220,—,Ana Silva
LOTE-M-SOP-007-2070,WO-1132,2025-10-01,Shift 2,ISBM-001,M-SOP-007,FR-007-rPET-350,9494,L,200,0,0,9,9,Conforming,Approved,Approved,Approved - First Pass,2025-10-02 23:43:07.600,—,Diogo Ferreira
LOTE-M-SOP-001-2071,WO-1135,2025-10-03,Shift 3,ISBM-001,M-SOP-001,FR-001-rPET-300,21257,M,315,0,2,11,13,Conforming,Approved,Approved,Approved - First Pass,2025-10-05 06:50:20.399,—,Elena Santos
LOTE-M-SOP-001-2072,WO-1138,2025-10-05,Shift 1,ISBM-001,M-SOP-001,FR-001-HDPE-300,17688,M,315,0,2,3,5,Conforming,Approved,Approved,Approved - First Pass,2025-10-06 22:27:09.938,—,Carlos Mendes
LOTE-M-SOP-001-2073,WO-1140,2025-10-06,Shift 2,ISBM-001,M-SOP-001,FR-001-HDPE-300,16201,M,315,0,0,1,1,Conforming,Approved,Approved,Approved - First Pass,2025-10-07 16:41:12.870,—,Diogo Ferreira
LOTE-M-SOP-007-2074,WO-1141,2025-10-07,Shift 1,ISBM-001,M-SOP-007,FR-007-PP-350,4846,L,200,0,1,6,7,Conforming,Approved,Approved,Approved - First Pass,2025-10-08 21:41:01.846,—,Ana Silva
LOTE-M-SOP-001-2075,WO-1142,2025-10-08,Shift 1,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,7457,L,200,0,1,4,5,Conforming,Approved,Approved,Approved - First Pass,2025-10-09 09:32:41.004,—,Beatriz Costa
LOTE-M-SOP-001-2076,WO-1144,2025-10-09,Shift 2,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,16721,M,315,0,2,7,9,Conforming,Approved,Approved,Approved - First Pass,2025-10-10 13:10:19.536,—,Beatriz Costa
LOTE-M-SOP-001-2077,WO-1145,2025-10-10,Shift 1,ISBM-001,M-SOP-001,FR-001-rPET-300,11677,M,315,0,1,10,11,Conforming,Approved,Approved,Approved - First Pass,2025-10-11 22:42:17.795,—,Carlos Mendes
LOTE-M-SOP-007-2078,WO-1147,2025-10-12,Shift 1,ISBM-001,M-SOP-007,FR-007-rPET-350,7606,L,200,0,8,11,19,Conforming,Approved,Approved,Approved - First Pass,2025-10-13 18:26:05.739,—,Ana Silva
LOTE-M-SOP-007-2079,WO-1148,2025-10-13,Shift 3,ISBM-001,M-SOP-007,FR-007-PETG-350,7344,L,200,0,1,6,7,Conforming,Approved,Approved,Approved - First Pass,2025-10-14 03:51:51.482,—,Diogo Ferreira
LOTE-M-SOP-007-2080,WO-1150,2025-10-14,Shift 3,ISBM-001,M-SOP-007,FR-007-PVC-350,10177,M,315,0,0,2,2,Conforming,Approved,Approved,Approved - First Pass,2025-10-14 21:17:28.286,—,Diogo Ferreira
LOTE-M-SOP-007-2081,WO-1151,2025-10-14,Shift 2,ISBM-001,M-SOP-007,FR-007-PETG-350,7235,L,200,0,1,6,7,Conforming,Approved,Approved,Approved - First Pass,2025-10-15 11:34:23.064,—,Diogo Ferreira
LOTE-M-SOP-007-2082,WO-1152,2025-10-15,Shift 3,ISBM-001,M-SOP-007,FR-007-PVC-350,3828,L,200,0,2,1,3,Conforming,Approved,Approved,Approved - First Pass,2025-10-16 15:51:17.525,—,Beatriz Costa
LOTE-M-SOP-007-2083,WO-1154,2025-10-16,Shift 1,ISBM-001,M-SOP-007,FR-007-HDPE-PCR-350,14503,M,315,0,1,12,13,Conforming,Approved,Approved,Approved - First Pass,2025-10-17 23:00:47.788,—,Beatriz Costa
LOTE-M-SOP-001-2084,WO-1155,2025-10-17,  Shift 3  ,ISBM-001,M-SOP-001,FR-001-rPET-300,7255,L,200,0,2,0,2,Conforming,Approved,Approved,Approved - First Pass,2025-10-18 12:46:21.900,—,Diogo Ferreira
LOTE-M-SOP-001-2085,WO-1156,2025-10-17,Shift 2,ISBM-001,M-SOP-001,FR-001-rPET-300,3869,L,200,0,0,7,7,Conforming,Approved,Approved,Approved - First Pass,2025-10-18 08:17:02.530,—,Carlos Mendes
LOTE-M-SOP-001-2086,WO-1158,2025-10-18,Shift 2,ISBM-001,M-SOP-001,FR-001-rPET-300,14826,M,315,0,1,13,14,Conforming,Approved,Approved,Approved - First Pass,2025-10-19 08:35:42.623,—,Carlos Mendes
LOTE-M-SOP-007-2087,WO-1159,2025-10-19,Shift 1,ISBM-001,M-SOP-007,FR-007-PP-350,8690,L,200,0,1,3,4,Conforming,Approved,Approved,Approved - First Pass,2025-10-20 02:49:41.446,—,Elena Santos
LOTE-M-SOP-007-2088,WO-1161,2025-10-20,Shift 1,ISBM-001,M-SOP-007,FR-007-PP-PCR-350,18365,M,315,0,14,7,21,Conforming,Approved,Approved,Approved - First Pass,2025-10-21 11:36:29.934,—,Diogo Ferreira
LOTE-M-SOP-007-2089,WO-1162,2025-10-21,Shift 1,ISBM-001,M-SOP-007,FR-007-HDPE-PCR-350,6550,L,200,0,0,3,3,Conforming,Approved,Approved,Approved - First Pass,2025-10-22 12:26:00.738,—,Carlos Mendes
LOTE-M-SOP-007-2090,WO-1164,2025-10-22,Shift 1,ISBM-001,M-SOP-007,FR-007-PVC-350,17986,M,315,0,2,26,28,Conforming,Approved,Approved,Approved - First Pass,2025-10-23 07:55:07.296,—,Diogo Ferreira
LOTE-M-SOP-001-2091,WO-1166,2025-10-23,SHIFT 3,ISBM-001,M-SOP-001,FR-001-rPET-300,13063,M,315,1,0,9,10,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-10-24 18:00:34.656,Leakage:1(Re=1),Ana Silva
LOTE-M-SOP-007-2092,WO-1168,2025-10-25,Shift 3,ISBM-001,M-SOP-007,FR-007-HDPE-PCR-350,12811,M,315,0,2,5,7,Conforming,Approved,Approved,Approved - First Pass,2025-10-25 21:47:48.220,—,Diogo Ferreira
LOTE-M-SOP-007-2093,WO-1171,2025-10-26,Shift 2,ISBM-001,M-SOP-007,FR-007-PETG-350,17243,M,315,1,3,11,15,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-10-28 02:12:38.394,Leakage:1(Re=1),Ana Silva
LOTE-M-SOP-007-2094,WO-1174,2025-10-28,Shift 1,ISBM-001,M-SOP-007,FR-007-rPET-350,11723,M,315,0,6,9,15,Conforming,Approved,Approved,Approved - First Pass,2025-10-29 05:04:18.230,—,Ana Silva
LOTE-M-SOP-007-2095,WO-1175,2025-10-28,Shift 3,ISBM-001,M-SOP-007,FR-007-rPET-350,10840,M,315,0,4,7,11,Conforming,Approved,Approved,Approved - First Pass,2025-10-29 18:50:44.889,—,Carlos Mendes
LOTE-M-SOP-001-2096,WO-1177,2025-10-30,Shift 1,ISBM-001,M-SOP-001,FR-001-HDPE-300,16811,M,315,0,1,6,7,Conforming,Approved,Approved,Approved - First Pass,2025-10-31 19:22:53.913,—,Carlos Mendes
LOTE-M-SOP-007-2097,WO-1178,2025-10-31,Shift 3,ISBM-001,M-SOP-007,FR-007-rPET-350,10049,M,315,0,2,13,15,Conforming,Approved,Approved,Approved - First Pass,2025-11-01 05:28:34.249,—,Elena Santos
LOTE-M-SOP-007-2098,WO-1179,2025-10-31,Shift 3,ISBM-001,M-SOP-007,FR-007-HDPE-350,7547,L,200,0,3,1,4,Conforming,Approved,Approved,Approved - First Pass,2025-11-01 18:40:57.085,—,Carlos Mendes
LOTE-M-SOP-007-2099,WO-1180,2025-11-01,Shift 1,ISBM-001,M-SOP-007,FR-007-HDPE-350,6982,L,200,0,3,6,9,Conforming,Approved,Approved,Approved - First Pass,2025-11-02 21:33:28.554,—,Beatriz Costa
LOTE-M-SOP-001-2100,WO-1181,2025-11-02,SHIFT 1,ISBM-001,M-SOP-001,FR-001-rPET-300,7735,L,200,0,2,3,5,Conforming,Approved,Approved,Approved - First Pass,2025-11-03 05:46:06.919,—,Diogo Ferreira
LOTE-M-SOP-001-2101,WO-1182,2025-11-03,Shift 3,ISBM-001,M-SOP-001,FR-001-rPET-300,4128,L,200,0,1,6,7,Conforming,Approved,Approved,Approved - First Pass,2025-11-04 02:56:56.068,—,Diogo Ferreira
LOTE-M-SOP-007-2102,WO-1185,2025-11-04,Shift 3,ISBM-001,M-SOP-007,FR-007-PP-350,22419,M,315,1,16,16,33,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-11-06 03:28:01.707,Leakage:1(Re=1),Beatriz Costa
LOTE-M-SOP-007-2103,WO-1186,2025-11-05,Shift 1,ISBM-001,M-SOP-007,FR-007-HDPE-350,5415,L,200,0,2,6,8,Conforming,Approved,Approved,Approved - First Pass,2025-11-06 16:19:51.439,—,Diogo Ferreira
LOTE-M-SOP-007-2104,WO-1188,2025-11-06,Shift 1,ISBM-001,M-SOP-007,FR-007-PP-PCR-350,14858,M,315,0,2,7,9,Conforming,Approved,Approved,Approved - First Pass,2025-11-07 16:15:45.185,—,Beatriz Costa
LOTE-M-SOP-001-2105,WO-1189,2025-11-07,Shift 3,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,8096,L,200,0,0,4,4,Conforming,Approved,Approved,Approved - First Pass,2025-11-08 04:28:59.114,—,Elena Santos
LOTE-M-SOP-007-2106,WO-1191,2025-11-08,  Shift 1  ,ISBM-001,M-SOP-007,FR-007-PP-350,17617,M,315,3,1,19,23,Conforming,Rejected,Approved,Approved - Reworked,2025-11-09 16:57:49.385,—,Carlos Mendes
LOTE-M-SOP-001-2107,WO-1192,2025-11-09,  Shift 3  ,ISBM-001,M-SOP-001,FR-001-rPET-300,6362,L,200,0,0,3,3,Conforming,Approved,Approved,Approved - First Pass,2025-11-09 18:21:09.516,—,Diogo Ferreira
