StudyId,PartId,ProducedByOperatorId,Inspector,Trial,Characteristic,Unit,MeasuredValue,MeasurementDateTime,LSL,Nominal,USL
GRR-CAP-WEIGHT-001,PART-04,OP-INJ-003,Carlos Mendes,1,Weight,g,14.0062,2026-08-03 10:12:00.063,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-04,OP-INJ-003,Carlos Mendes,2,Weight,g,14.079,2026-08-03 10:16:00.082,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-04,OP-INJ-003,Carlos Mendes,3,Weight,g,14.0272,2026-08-03 10:20:00.421,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-05,OP-INJ-003,Ana Silva,1,Weight,g,11.6336,2026-08-03 10:24:00.145,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-05,OP-INJ-003,Ana Silva,2,Weight,g,11.5822,2026-08-03 10:28:00.766,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-05,OP-INJ-003,Ana Silva,3,Weight,g,11.6436,2026-08-03 10:32:00.145,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-05,OP-INJ-003,Beatriz Costa,1,Weight,g,11.6853,2026-08-03 10:36:00.959,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-05,OP-INJ-003,Beatriz Costa,2,Weight,g,11.6802,2026-08-03 10:40:00.567,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-05,OP-INJ-003,Beatriz Costa,3,Weight,g,11.6295,2026-08-03 10:44:00.101,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-05,OP-INJ-003,Carlos Mendes,1,Weight,g,11.7023,2026-08-03 10:48:00.869,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-05,OP-INJ-003,Carlos Mendes,2,Weight,g,11.6756,2026-08-03 10:52:00.380,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-05,OP-INJ-003,Carlos Mendes,3,Weight,g,11.6634,2026-08-03 10:56:00.257,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-06,OP-INJ-001,Ana Silva,1,Weight,g,10.6617,2026-08-03 11:00:00.984,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-06,OP-INJ-001,Ana Silva,2,Weight,g,10.6841,2026-08-03 11:04:00.068,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-06,OP-INJ-001,Ana Silva,3,Weight,g,10.6213,2026-08-03 11:08:00.954,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-06,OP-INJ-001,Beatriz Costa,1,Weight,g,10.7083,2026-08-03 11:12:00.120,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-06,OP-INJ-001,Beatriz Costa,2,Weight,g,10.6452,2026-08-03 11:16:00.144,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-06,OP-INJ-001,Beatriz Costa,3,Weight,g,10.6574,2026-08-03 11:20:00.267,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-06,OP-INJ-001,Carlos Mendes,1,Weight,g,10.6512,2026-08-03 11:24:00.738,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-06,OP-INJ-001,Carlos Mendes,2,Weight,g,10.6112,2026-08-03 11:28:00.159,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-06,OP-INJ-001,Carlos Mendes,3,Weight,g,10.6287,2026-08-03 11:32:00.926,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-07,OP-INJ-001,Ana Silva,1,Weight,g,11.8378,2026-08-03 11:36:00.825,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-07,OP-INJ-001,Ana Silva,2,Weight,g,11.8575,2026-08-03 11:40:00.232,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-07,OP-INJ-001,Ana Silva,3,Weight,g,11.8166,2026-08-03 11:44:00.560,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-07,OP-INJ-001,Beatriz Costa,1,Weight,g,11.8699,2026-08-03 11:48:00.188,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-07,OP-INJ-001,Beatriz Costa,2,Weight,g,11.8203,2026-08-03 11:52:00.434,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-07,OP-INJ-001,Beatriz Costa,3,Weight,g,11.8581,2026-08-03 11:56:00.396,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-07,OP-INJ-001,Carlos Mendes,1,Weight,g,11.7995,2026-08-03 12:00:00.295,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-07,OP-INJ-001,Carlos Mendes,2,Weight,g,11.8156,2026-08-03 12:04:00.059,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-07,OP-INJ-001,Carlos Mendes,3,Weight,g,11.8151,2026-08-03 12:08:00.644,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-08,OP-INJ-001,Ana Silva,1,Weight,g,11.7838,2026-08-03 12:12:00.836,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-08,OP-INJ-001,Ana Silva,2,Weight,g,11.7662,2026-08-03 12:16:00.791,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-08,OP-INJ-001,Ana Silva,3,Weight,g,11.8632,2026-08-03 12:20:00.907,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-08,OP-INJ-001,Beatriz Costa,1,Weight,g,11.8196,2026-08-03 12:24:00.622,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-08,OP-INJ-001,Beatriz Costa,2,Weight,g,11.7706,2026-08-03 12:28:00.250,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-08,OP-INJ-001,Beatriz Costa,3,Weight,g,11.8096,2026-08-03 12:32:00.640,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-08,OP-INJ-001,Carlos Mendes,1,Weight,g,11.8912,2026-08-03 12:36:00.560,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-08,OP-INJ-001,Carlos Mendes,2,Weight,g,11.8596,2026-08-03 12:40:00.596,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-08,OP-INJ-001,Carlos Mendes,3,Weight,g,11.7542,2026-08-03 12:44:00.558,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-09,OP-INJ-001,Ana Silva,1,Weight,g,12.2818,2026-08-03 12:48:00.810,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-09,OP-INJ-001,Ana Silva,2,Weight,g,12.3044,2026-08-03 12:52:00.536,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-09,OP-INJ-001,Ana Silva,3,Weight,g,12.3194,2026-08-03 12:56:00.794,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-09,OP-INJ-001,Beatriz Costa,1,Weight,g,12.2632,2026-08-03 13:00:00.893,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-09,OP-INJ-001,Beatriz Costa,2,Weight,g,12.2843,2026-08-03 13:04:00.243,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-09,OP-INJ-001,Beatriz Costa,3,Weight,g,12.31,2026-08-03 13:08:00.778,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-09,OP-INJ-001,Carlos Mendes,1,Weight,g,12.2264,2026-08-03 13:12:00.267,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-09,OP-INJ-001,Carlos Mendes,2,Weight,g,12.2412,2026-08-03 13:16:00.734,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-09,OP-INJ-001,Carlos Mendes,3,Weight,g,12.2011,2026-08-03 13:20:00.123,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-10,OP-INJ-001,Ana Silva,1,Weight,g,12.1566,2026-08-03 13:24:00.397,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-10,OP-INJ-001,Ana Silva,2,Weight,g,12.1697,2026-08-03 13:28:00.735,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-10,OP-INJ-001,Ana Silva,3,Weight,g,12.1182,2026-08-03 13:32:00.061,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-10,OP-INJ-001,Beatriz Costa,1,Weight,g,12.1534,2026-08-03 13:36:00.780,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-10,OP-INJ-001,Beatriz Costa,2,Weight,g,12.1728,2026-08-03 13:40:00.747,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-10,OP-INJ-001,Beatriz Costa,3,Weight,g,12.1226,2026-08-03 13:44:00.589,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-10,OP-INJ-001,Carlos Mendes,1,Weight,g,12.108,2026-08-03 13:48:00.193,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-10,OP-INJ-001,Carlos Mendes,2,Weight,g,12.0986,2026-08-03 13:52:00.632,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-10,OP-INJ-001,Carlos Mendes,3,Weight,g,12.132,2026-08-03 13:56:00.808,10.3,12.05,13.8
