InspectionId,Date,SupplierId,Material,MaterialLotId,PurchaseOrderId,Characteristic,Standard,Method,Unit,ResultValue,LSL,Nominal,USL,Result,Inspector
RI-000011,2025-07-01,SUP-008,Masterbatch,RM-Masterbatch-00001,PO-5002,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.4664,0.0,0.7,1.8,Pass,Elena Santos
RI-000012,2025-07-01,SUP-008,Masterbatch,RM-Masterbatch-00001,PO-5002,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,74.4598,0.0,80.0,150.0,Pass,Ana Silva
RI-000013,2025-07-01,SUP-003,PETG,RM-PETG-00001,PO-5003,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.7586,0.7,0.76,0.82,Pass,Elena Santos
RI-000014,2025-07-01,SUP-003,PETG,RM-PETG-00001,PO-5003,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,35.9135,0.0,40.0,60.0,Pass,Diogo Ferreira
RI-000015,2025-07-01,SUP-003,PETG,RM-PETG-00001,PO-5003,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.864,0.0,0.9,2.2,Pass,Diogo Ferreira
RI-000016,2025-07-01,SUP-005,PVC,RM-PVC-00001,PO-5004,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,1.3853,1.35,1.38,1.41,Pass,Carlos Mendes
RI-000017,2025-07-01,SUP-005,PVC,RM-PVC-00001,PO-5004,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,48.7293,40.0,48.0,55.0,Pass,Beatriz Costa
RI-000018,2025-07-01,SUP-005,PVC,RM-PVC-00001,PO-5004,Ash Content,ASTM D5630,Muffle Furnace,%,1.3317,0.0,1.2,3.0,Pass,Beatriz Costa
RI-000019,2025-07-02,SUP-004,HDPE-PCR,RM-HDPE-PCR-00002,PO-5005,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.3602,0.2,0.32,0.5,Pass,Ana Silva
RI-000020,2025-07-02,SUP-004,HDPE-PCR,RM-HDPE-PCR-00002,PO-5005,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9535,0.948,0.953,0.96,Pass,Beatriz Costa
RI-000021,2025-07-02,SUP-004,HDPE-PCR,RM-HDPE-PCR-00002,PO-5005,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,191.3314,0.0,200.0,400.0,Pass,Carlos Mendes
RI-000022,2025-07-02,SUP-004,HDPE-PCR,RM-HDPE-PCR-00002,PO-5005,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,2.984,0.0,3.0,8.0,Pass,Carlos Mendes
RI-000023,2025-07-02,SUP-004,HDPE-PCR,RM-HDPE-PCR-00002,PO-5005,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,22.3591,18.0,24.0,30.0,Pass,Beatriz Costa
RI-000024,2025-07-02,SUP-008,Masterbatch,RM-Masterbatch-00002,PO-5006,Carrier Resin MFI,ASTM D1238,Melt Indexer,g/10min,3.0999,2.0,3.0,4.5,Pass,Ana Silva
RI-000025,2025-07-02,SUP-008,Masterbatch,RM-Masterbatch-00002,PO-5006,Pigment Dispersion,ASTM D2663 (Method A),Microscopy,rating 1-5,4.595,3.5,4.5,5.0,Pass,Diogo Ferreira
RI-000026,2025-07-02,SUP-008,Masterbatch,RM-Masterbatch-00002,PO-5006,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.6901,0.0,0.7,1.8,Pass,Ana Silva
RI-000027,2025-07-02,SUP-008,Masterbatch,RM-Masterbatch-00002,PO-5006,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,84.1029,0.0,80.0,150.0,Pass,Ana Silva
RI-000028,2025-07-02,SUP-005,PP,RM-PP-00001,PO-5007,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,3.1399,2.0,3.0,4.5,Pass,Elena Santos
RI-000029,2025-07-02,SUP-005,PP,RM-PP-00001,PO-5007,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9013,0.9,0.905,0.91,Pass,Elena Santos
RI-000030,2025-07-02,SUP-005,PP,RM-PP-00001,PO-5007,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,34.4195,28.0,33.0,38.0,Pass,Beatriz Costa
RI-000031,2025-07-02,SUP-005,PP,RM-PP-00001,PO-5007,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,97.0792,0.0,100.0,200.0,Pass,Beatriz Costa
RI-000032,2025-07-02,SUP-004,rPET,RM-rPET-00001,PO-5008,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.7394,0.68,0.74,0.8,Pass,Diogo Ferreira
RI-000033,2025-07-02,SUP-004,rPET,RM-rPET-00001,PO-5008,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,35.9398,0.0,40.0,70.0,Pass,Elena Santos
RI-000034,2025-07-02,SUP-004,rPET,RM-rPET-00001,PO-5008,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,5.369,0.0,5.0,12.0,Pass,Elena Santos
RI-000035,2025-07-02,SUP-004,rPET,RM-rPET-00001,PO-5008,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,1.6282,0.0,1.5,3.5,Pass,Carlos Mendes
RI-000036,2025-07-03,SUP-001,MDPE,RM-MDPE-00002,PO-5009,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.4749,0.3,0.45,0.65,Pass,Elena Santos
RI-000037,2025-07-03,SUP-001,MDPE,RM-MDPE-00002,PO-5009,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.936,0.933,0.937,0.941,Pass,Elena Santos
RI-000038,2025-07-03,SUP-001,MDPE,RM-MDPE-00002,PO-5009,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,119.0311,0.0,130.0,260.0,Pass,Beatriz Costa
RI-000039,2025-07-03,SUP-008,Masterbatch,RM-Masterbatch-00003,PO-5010,Carrier Resin MFI,ASTM D1238,Melt Indexer,g/10min,2.8978,2.0,3.0,4.5,Pass,Beatriz Costa
RI-000040,2025-07-03,SUP-008,Masterbatch,RM-Masterbatch-00003,PO-5010,Pigment Dispersion,ASTM D2663 (Method A),Microscopy,rating 1-5,4.4759,3.5,4.5,5.0,Pass,Diogo Ferreira
RI-000041,2025-07-03,SUP-008,Masterbatch,RM-Masterbatch-00003,PO-5010,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.901,0.0,0.7,1.8,Pass,Diogo Ferreira
RI-000042,2025-07-03,SUP-008,Masterbatch,RM-Masterbatch-00003,PO-5010,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,78.6157,0.0,80.0,150.0,Pass,Ana Silva
RI-000043,2025-07-03,SUP-003,PET,RM-PET-00001,PO-5011,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.7895,0.72,0.8,0.86,Pass,Elena Santos
RI-000044,2025-07-03,SUP-003,PET,RM-PET-00001,PO-5011,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,22.758,0.0,30.0,50.0,Pass,Ana Silva
RI-000045,2025-07-03,SUP-003,PET,RM-PET-00001,PO-5011,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.3875,0.0,0.8,2.0,Pass,Carlos Mendes
RI-000046,2025-07-03,SUP-003,PET,RM-PET-00001,PO-5011,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,1.3398,1.335,1.34,1.345,Pass,Diogo Ferreira
RI-000047,2025-07-03,SUP-003,PETG,RM-PETG-00002,PO-5012,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.7608,0.7,0.76,0.82,Pass,Elena Santos
RI-000048,2025-07-03,SUP-003,PETG,RM-PETG-00002,PO-5012,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,34.7138,0.0,40.0,60.0,Pass,Elena Santos
RI-000049,2025-07-03,SUP-003,PETG,RM-PETG-00002,PO-5012,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.8311,0.0,0.9,2.2,Pass,Elena Santos
RI-000050,2025-07-03,SUP-007,PP,RM-PP-00002,PO-5013,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,2.7542,2.0,3.0,4.5,Pass,Carlos Mendes
RI-000051,2025-07-03,SUP-007,PP,RM-PP-00002,PO-5013,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9051,0.9,0.905,0.91,Pass,Diogo Ferreira
RI-000052,2025-07-03,SUP-007,PP,RM-PP-00002,PO-5013,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,34.1958,28.0,33.0,38.0,Pass,Ana Silva
RI-000053,2025-07-03,SUP-007,PP,RM-PP-00002,PO-5013,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,114.2312,0.0,100.0,200.0,Pass,Carlos Mendes
RI-000054,2025-07-03,SUP-005,PVC,RM-PVC-00002,PO-5014,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,1.3857,1.35,1.38,1.41,Pass,Diogo Ferreira
RI-000055,2025-07-03,SUP-005,PVC,RM-PVC-00002,PO-5014,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,47.8469,40.0,48.0,55.0,Pass,Carlos Mendes
RI-000056,2025-07-03,SUP-005,PVC,RM-PVC-00002,PO-5014,Ash Content,ASTM D5630,Muffle Furnace,%,0.96,0.0,1.2,3.0,Pass,Carlos Mendes
RI-000057,2025-07-04,SUP-001,HDPE,RM-HDPE-00001,PO-5015,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.3684,0.25,0.35,0.45,Pass,Elena Santos
RI-000058,2025-07-04,SUP-001,HDPE,RM-HDPE-00001,PO-5015,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9541,0.95,0.954,0.958,Pass,Diogo Ferreira
RI-000059,2025-07-04,SUP-001,HDPE,RM-HDPE-00001,PO-5015,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,143.5478,0.0,150.0,300.0,Pass,Beatriz Costa
RI-000060,2025-07-04,SUP-001,HDPE,RM-HDPE-00001,PO-5015,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,28.5207,20.0,26.0,32.0,Pass,Carlos Mendes
RI-000061,2025-07-04,SUP-008,Masterbatch,RM-Masterbatch-00004,PO-5016,Carrier Resin MFI,ASTM D1238,Melt Indexer,g/10min,2.6735,2.0,3.0,4.5,Pass,Carlos Mendes
RI-000062,2025-07-04,SUP-008,Masterbatch,RM-Masterbatch-00004,PO-5016,Pigment Dispersion,ASTM D2663 (Method A),Microscopy,rating 1-5,4.5376,3.5,4.5,5.0,Pass,Carlos Mendes
RI-000063,2025-07-04,SUP-008,Masterbatch,RM-Masterbatch-00004,PO-5016,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.8142,0.0,0.7,1.8,Pass,Ana Silva
RI-000064,2025-07-04,SUP-008,Masterbatch,RM-Masterbatch-00004,PO-5016,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,81.9342,0.0,80.0,150.0,Pass,Diogo Ferreira
RI-000065,2025-07-04,SUP-005,PP,RM-PP-00003,PO-5017,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,2.875,2.0,3.0,4.5,Pass,Carlos Mendes
RI-000066,2025-07-04,SUP-005,PP,RM-PP-00003,PO-5017,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9057,0.9,0.905,0.91,Pass,Beatriz Costa
RI-000067,2025-07-04,SUP-005,PP,RM-PP-00003,PO-5017,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,27.646,28.0,33.0,38.0,Fail,Beatriz Costa
RI-000068,2025-07-04,SUP-005,PP,RM-PP-00003,PO-5017,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,119.3284,0.0,100.0,200.0,Pass,Elena Santos
RI-000069,2025-07-05,SUP-004,HDPE-PCR,RM-HDPE-PCR-00003,PO-5018,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.3479,0.2,0.32,0.5,Pass,Elena Santos
RI-000070,2025-07-05,SUP-004,HDPE-PCR,RM-HDPE-PCR-00003,PO-5018,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.952,0.948,0.953,0.96,Pass,Elena Santos
RI-000071,2025-07-05,SUP-004,HDPE-PCR,RM-HDPE-PCR-00003,PO-5018,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,235.6827,0.0,200.0,400.0,Pass,Carlos Mendes
RI-000072,2025-07-05,SUP-004,HDPE-PCR,RM-HDPE-PCR-00003,PO-5018,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,2.74,0.0,3.0,8.0,Pass,Diogo Ferreira
RI-000073,2025-07-05,SUP-004,HDPE-PCR,RM-HDPE-PCR-00003,PO-5018,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,22.5302,18.0,24.0,30.0,Pass,Elena Santos
RI-000074,2025-07-05,SUP-003,PETG,RM-PETG-00003,PO-5019,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.7735,0.7,0.76,0.82,Pass,Carlos Mendes
RI-000075,2025-07-05,SUP-003,PETG,RM-PETG-00003,PO-5019,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,42.647,0.0,40.0,60.0,Pass,Elena Santos
RI-000076,2025-07-05,SUP-003,PETG,RM-PETG-00003,PO-5019,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.8173,0.0,0.9,2.2,Pass,Carlos Mendes
RI-000077,2025-07-05,SUP-002,PP,RM-PP-00004,PO-5020,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,4.7078,2.0,3.0,4.5,Fail,Beatriz Costa
RI-000078,2025-07-05,SUP-002,PP,RM-PP-00004,PO-5020,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9044,0.9,0.905,0.91,Pass,Ana Silva
RI-000079,2025-07-05,SUP-002,PP,RM-PP-00004,PO-5020,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,33.5941,28.0,33.0,38.0,Pass,Ana Silva
RI-000080,2025-07-05,SUP-002,PP,RM-PP-00004,PO-5020,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,96.7471,0.0,100.0,200.0,Pass,Diogo Ferreira
RI-000081,2025-07-05,SUP-004,rPET,RM-rPET-00002,PO-5021,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.7347,0.68,0.74,0.8,Pass,Carlos Mendes
RI-000082,2025-07-05,SUP-004,rPET,RM-rPET-00002,PO-5021,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,54.0999,0.0,40.0,70.0,Pass,Beatriz Costa
RI-000083,2025-07-05,SUP-004,rPET,RM-rPET-00002,PO-5021,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,4.7437,0.0,5.0,12.0,Pass,Beatriz Costa
RI-000084,2025-07-05,SUP-004,rPET,RM-rPET-00002,PO-5021,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.9386,0.0,1.5,3.5,Pass,Beatriz Costa
RI-000085,2025-07-06,SUP-001,MDPE,RM-MDPE-00003,PO-5022,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.4571,0.3,0.45,0.65,Pass,Ana Silva
RI-000086,2025-07-06,SUP-001,MDPE,RM-MDPE-00003,PO-5022,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9366,0.933,0.937,0.941,Pass,Elena Santos
RI-000087,2025-07-06,SUP-001,MDPE,RM-MDPE-00003,PO-5022,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,146.6829,0.0,130.0,260.0,Pass,Elena Santos
RI-000088,2025-07-06,SUP-005,PVC,RM-PVC-00003,PO-5023,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,1.3873,1.35,1.38,1.41,Pass,Ana Silva
RI-000089,2025-07-06,SUP-005,PVC,RM-PVC-00003,PO-5023,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,47.0298,40.0,48.0,55.0,Pass,Carlos Mendes
RI-000090,2025-07-06,SUP-005,PVC,RM-PVC-00003,PO-5023,Ash Content,ASTM D5630,Muffle Furnace,%,1.2256,0.0,1.2,3.0,Pass,Diogo Ferreira
RI-000091,2025-07-07,SUP-006,PET,RM-PET-00002,PO-5024,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.8063,0.72,0.8,0.86,Pass,Elena Santos
RI-000092,2025-07-07,SUP-006,PET,RM-PET-00002,PO-5024,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,30.2454,0.0,30.0,50.0,Pass,Diogo Ferreira
RI-000093,2025-07-07,SUP-006,PET,RM-PET-00002,PO-5024,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.6438,0.0,0.8,2.0,Pass,Beatriz Costa
RI-000094,2025-07-07,SUP-006,PET,RM-PET-00002,PO-5024,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,1.3413,1.335,1.34,1.345,Pass,Ana Silva
RI-000095,2025-07-08,SUP-007,HDPE,RM-HDPE-00002,PO-5025,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.3746,0.25,0.35,0.45,Pass,Diogo Ferreira
RI-000096,2025-07-08,SUP-007,HDPE,RM-HDPE-00002,PO-5025,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9538,0.95,0.954,0.958,Pass,Beatriz Costa
RI-000097,2025-07-08,SUP-007,HDPE,RM-HDPE-00002,PO-5025,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,140.6724,0.0,150.0,300.0,Pass,Beatriz Costa
RI-000098,2025-07-08,SUP-007,HDPE,RM-HDPE-00002,PO-5025,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,25.1398,20.0,26.0,32.0,Pass,Carlos Mendes
RI-000099,2025-07-08,SUP-005,PP,RM-PP-00005,PO-5026,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,3.3523,2.0,3.0,4.5,Pass,Elena Santos
RI-000100,2025-07-08,SUP-005,PP,RM-PP-00005,PO-5026,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9053,0.9,0.905,0.91,Pass,Carlos Mendes
RI-000101,2025-07-08,SUP-005,PP,RM-PP-00005,PO-5026,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,31.677,28.0,33.0,38.0,Pass,Carlos Mendes
RI-000102,2025-07-08,SUP-005,PP,RM-PP-00005,PO-5026,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,102.819,0.0,100.0,200.0,Pass,Diogo Ferreira
RI-000103,2025-07-08,SUP-002,PP-PCR,RM-PP-PCR-00001,PO-5027,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,2.7285,1.8,2.8,4.8,Pass,Diogo Ferreira
RI-000104,2025-07-08,SUP-002,PP-PCR,RM-PP-PCR-00001,PO-5027,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9044,0.898,0.904,0.912,Pass,Carlos Mendes
RI-000105,2025-07-08,SUP-002,PP-PCR,RM-PP-PCR-00001,PO-5027,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,4.0455,0.0,4.0,10.0,Pass,Carlos Mendes
RI-000106,2025-07-08,SUP-002,PP-PCR,RM-PP-PCR-00001,PO-5027,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,30.0156,24.0,30.0,36.0,Pass,Beatriz Costa
RI-000107,2025-07-08,SUP-005,PVC,RM-PVC-00004,PO-5028,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,1.382,1.35,1.38,1.41,Pass,Elena Santos
RI-000108,2025-07-08,SUP-005,PVC,RM-PVC-00004,PO-5028,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,48.1319,40.0,48.0,55.0,Pass,Ana Silva
RI-000109,2025-07-08,SUP-005,PVC,RM-PVC-00004,PO-5028,Ash Content,ASTM D5630,Muffle Furnace,%,1.7562,0.0,1.2,3.0,Pass,Carlos Mendes
RI-000110,2025-07-09,SUP-006,HDPE,RM-HDPE-00003,PO-5029,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.3574,0.25,0.35,0.45,Pass,Carlos Mendes
RI-000111,2025-07-09,SUP-006,HDPE,RM-HDPE-00003,PO-5029,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9543,0.95,0.954,0.958,Pass,Ana Silva
RI-000112,2025-07-09,SUP-006,HDPE,RM-HDPE-00003,PO-5029,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,202.5376,0.0,150.0,300.0,Pass,Elena Santos
RI-000113,2025-07-09,SUP-006,HDPE,RM-HDPE-00003,PO-5029,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,27.2048,20.0,26.0,32.0,Pass,Carlos Mendes
RI-000114,2025-07-09,SUP-001,LDPE,RM-LDPE-00001,PO-5030,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.7784,0.5,0.75,1.1,Pass,Elena Santos
RI-000115,2025-07-09,SUP-001,LDPE,RM-LDPE-00001,PO-5030,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.921,0.918,0.922,0.926,Pass,Diogo Ferreira
RI-000116,2025-07-09,SUP-001,LDPE,RM-LDPE-00001,PO-5030,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,160.7251,0.0,120.0,250.0,Pass,Carlos Mendes
RI-000117,2025-07-09,SUP-003,PET,RM-PET-00003,PO-5031,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.8051,0.72,0.8,0.86,Pass,Diogo Ferreira
RI-000118,2025-07-09,SUP-003,PET,RM-PET-00003,PO-5031,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,37.1178,0.0,30.0,50.0,Pass,Diogo Ferreira
RI-000119,2025-07-09,SUP-003,PET,RM-PET-00003,PO-5031,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.7867,0.0,0.8,2.0,Pass,Elena Santos
RI-000120,2025-07-09,SUP-003,PET,RM-PET-00003,PO-5031,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,1.3412,1.335,1.34,1.345,Pass,Carlos Mendes
RI-000121,2025-07-09,SUP-004,rPET,RM-rPET-00003,PO-5032,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.7313,0.68,0.74,0.8,Pass,Carlos Mendes
RI-000122,2025-07-09,SUP-004,rPET,RM-rPET-00003,PO-5032,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,41.1549,0.0,40.0,70.0,Pass,Ana Silva
RI-000123,2025-07-09,SUP-004,rPET,RM-rPET-00003,PO-5032,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,5.2184,0.0,5.0,12.0,Pass,Elena Santos
RI-000124,2025-07-09,SUP-004,rPET,RM-rPET-00003,PO-5032,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,1.6894,0.0,1.5,3.5,Pass,Ana Silva
RI-000125,2025-07-10,SUP-004,HDPE-PCR,RM-HDPE-PCR-00004,PO-5033,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.3468,0.2,0.32,0.5,Pass,Ana Silva
RI-000126,2025-07-10,SUP-004,HDPE-PCR,RM-HDPE-PCR-00004,PO-5033,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9525,0.948,0.953,0.96,Pass,Diogo Ferreira
RI-000127,2025-07-10,SUP-004,HDPE-PCR,RM-HDPE-PCR-00004,PO-5033,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,-4.7133,0.0,200.0,400.0,Fail,Ana Silva
RI-000128,2025-07-10,SUP-004,HDPE-PCR,RM-HDPE-PCR-00004,PO-5033,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,3.1216,0.0,3.0,8.0,Pass,Ana Silva
RI-000129,2025-07-10,SUP-004,HDPE-PCR,RM-HDPE-PCR-00004,PO-5033,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,23.8158,18.0,24.0,30.0,Pass,Carlos Mendes
