RecordSeq,Date,Process,MachineId,Shift,WorkOrder,MaterialId,MaterialLot,StartWeightKg,EndWeightKg
18,2025-07-12,Blow Molding,ISBM-001,Shift 2,WO-1017,COR-007,COL-COR-007-001,212.01,208.01
19,2025-07-13,Blow Molding,ISBM-001,Shift 1,WO-1018,COR-008,COL-COR-008-001,173.19,169.19
20,2025-07-14,Blow Molding,ISBM-001,SHIFT 3,WO-1019,COR-008,COL-COR-008-001,169.19,165.19
21,2025-07-15,Blow Molding,ISBM-001,Shift 3,WO-1020,COR-008,COL-COR-008-001,165.19,161.19
22,2025-07-15,Blow Molding,ISBM-001,SHIFT 3,WO-1021,COR-003,COL-COR-003-001,181.02,177.02
23,2025-07-16,Blow Molding,ISBM-001,Shift 1,WO-1022,COR-007,COL-COR-007-001,208.01,204.01
24,2025-07-17,Blow Molding,ISBM-001,Shift 3,WO-1023,COR-005,COL-COR-005-001,197.41,193.41
25,2025-07-17,Blow Molding,ISBM-001,Shift 2,WO-1024,COR-005,COL-COR-005-001,193.41,189.41
26,2025-07-18,Blow Molding,ISBM-001,Shift 2,WO-1025,COR-004,COL-COR-004-001,93.68,89.68
27,2025-07-19,Blow Molding,ISBM-001,Shift 3,WO-1026,COR-005,COL-COR-005-001,189.41,185.41
28,2025-07-19,BLOW MOLDING,ISBM-001,Shift 2,WO-1027,COR-005,COL-COR-005-001,185.41,181.41
29,2025-07-20,Blow Molding,ISBM-001,Shift 2,WO-1028,COR-005,COL-COR-005-001,181.41,177.41
30,2025-07-21,Blow Molding,ISBM-001,Shift 2,WO-1029,COR-007,COL-COR-007-001,204.01,200.01
31,2025-07-22,  Blow Molding  ,ISBM-001,Shift 1,WO-1030,COR-004,COL-COR-004-001,89.68,85.68
32,2025-07-23,Blow Molding,ISBM-001,Shift 3,WO-1031,COR-007,COL-COR-007-001,200.01,196.01
33,2025-07-23,Blow Molding,ISBM-001,Shift 2,WO-1032,COR-007,COL-COR-007-001,196.01,192.01
34,2025-07-24,Blow Molding,ISBM-001,Shift 1,WO-1033,COR-007,COL-COR-007-001,192.01,188.01
35,2025-07-24,Blow Molding,ISBM-001,  Shift 2  ,WO-1034,COR-007,COL-COR-007-001,188.01,184.01
36,2025-07-25,Blow Molding,ISBM-001,SHIFT 1,WO-1035,COR-008,COL-COR-008-001,161.19,157.19
37,2025-07-26,Blow Molding,ISBM-001,Shift 1,WO-1036,COR-008,COL-COR-008-001,157.19,153.19
38,2025-07-27,Blow Molding,ISBM-001,Shift 3,WO-1037,COR-004,COL-COR-004-001,85.68,81.68
39,2025-07-27,Blow Molding,ISBM-001,Shift 2,WO-1038,COR-004,COL-COR-004-001,81.68,77.68
40,2025-07-28,Blow Molding,ISBM-001,shift 2,WO-1039,COR-004,COL-COR-004-001,77.68,73.68
41,2025-07-29,Blow Molding,ISBM-001,Shift 1,WO-1040,COR-007,COL-COR-007-001,184.01,180.01
42,2025-07-29,Blow Molding,ISBM-001,Shift 2,WO-1041,COR-007,COL-COR-007-001,180.01,176.01
43,2025-07-30,Blow Molding,ISBM-001,Shift 2,WO-1042,COR-007,COL-COR-007-001,176.01,172.01
44,2025-07-31,Blow Molding,ISBM-001,Shift 1,WO-1043,COR-007,COL-COR-007-001,172.01,168.01
45,2025-08-01,Blow Molding,ISBM-001,Shift 3,WO-1044,COR-007,COL-COR-007-001,168.01,164.01
46,2025-08-01,Blow Molding,ISBM-001,Shift 2,WO-1045,COR-008,COL-COR-008-001,153.19,149.19
47,2025-08-02,Blow Molding,ISBM-001,Shift 2,WO-1046,COR-008,COL-COR-008-001,149.19,145.19
48,2025-08-03,Blow Molding,ISBM-001,Shift 1,WO-1047,COR-007,COL-COR-007-001,164.01,160.01
49,2025-08-04,Blow Molding,ISBM-001,Shift 3,WO-1048,COR-008,COL-COR-008-001,145.19,141.19
50,2025-08-04,Blow Molding,ISBM-001,Shift 2,WO-1049,COR-003,COL-COR-003-001,177.02,173.02
51,2025-08-05,Blow Molding,ISBM-001,Shift 1,WO-1050,COR-003,COL-COR-003-001,173.02,169.02
52,2025-08-05,Blow Molding,ISBM-001,SHIFT 2,WO-1051,COR-003,COL-COR-003-001,169.02,165.02
53,2025-08-06,Blow Molding,ISBM-001,Shift 2,WO-1052,COR-003,COL-COR-003-001,165.02,161.02
54,2025-08-07,Blow Molding,ISBM-001,Shift 1,WO-1053,COR-008,COL-COR-008-001,141.19,137.19
55,2025-08-08,Blow Molding,ISBM-001,Shift 3,WO-1054,COR-003,COL-COR-003-001,161.02,157.02
56,2025-08-08,Blow Molding,ISBM-001,Shift 2,WO-1055,COR-008,COL-COR-008-001,137.19,133.19
57,2025-08-09,Blow Molding,ISBM-001,shift 2,WO-1056,COR-008,COL-COR-008-001,133.19,129.19
58,2025-08-10,Blow Molding,ISBM-001,Shift 1,WO-1057,COR-007,COL-COR-007-001,160.01,156.01
59,2025-08-11,Blow Molding,ISBM-001,Shift 3,WO-1058,COR-008,COL-COR-008-001,129.19,125.19
60,2025-08-11,Blow Molding,ISBM-001,Shift 3,WO-1059,COR-008,COL-COR-008-001,125.19,121.19
61,2025-08-12,Blow Molding,ISBM-001,Shift 1,WO-1060,COR-003,COL-COR-003-001,157.02,153.02
62,2025-08-13,Blow Molding,ISBM-001,Shift 1,WO-1061,COR-003,COL-COR-003-001,153.02,149.02
63,2025-08-13,Blow Molding,ISBM-001,Shift 3,WO-1062,COR-008,COL-COR-008-001,121.19,117.19
64,2025-08-14,Blow Molding,ISBM-001,Shift 2,WO-1063,COR-007,COL-COR-007-001,156.01,152.01
65,2025-08-15,Blow Molding,ISBM-001,Shift 1,WO-1064,COR-007,COL-COR-007-001,152.01,148.01
66,2025-08-16,Blow Molding,ISBM-001,Shift 3,WO-1065,COR-007,COL-COR-007-001,148.01,144.01
67,2025-08-16,Blow Molding,ISBM-001,SHIFT 2,WO-1066,COR-007,COL-COR-007-001,144.01,140.01
68,2025-08-17,Blow Molding,ISBM-001,Shift 3,WO-1067,COR-008,COL-COR-008-001,117.19,113.19
69,2025-08-17,Blow Molding,ISBM-001,Shift 2,WO-1068,COR-008,COL-COR-008-001,113.19,109.19
70,2025-08-18,Blow Molding,ISBM-001,Shift 2,WO-1069,COR-008,COL-COR-008-001,109.19,105.19
71,2025-08-19,Blow Molding,ISBM-001,Shift 2,WO-1070,COR-003,COL-COR-003-001,149.02,145.02
72,2025-08-20,Blow Molding,ISBM-001,Shift 2,WO-1071,COR-003,COL-COR-003-001,145.02,141.02
73,2025-08-21,Blow Molding,ISBM-001,Shift 1,WO-1072,COR-003,COL-COR-003-001,141.02,137.02
74,2025-08-21,Blow Molding,ISBM-001,Shift 3,WO-1073,COR-007,COL-COR-007-001,140.01,136.01
75,2025-08-22,Blow Molding,ISBM-001,Shift 2,WO-1074,COR-007,COL-COR-007-001,136.01,132.01
76,2025-08-23,Blow Molding,ISBM-001,SHIFT 1,WO-1075,COR-007,COL-COR-007-001,132.01,128.01
77,2025-08-24,Blow Molding,ISBM-001,Shift 3,WO-1076,COR-001,COL-COR-001-001,177.28,173.28
78,2025-08-24,Blow Molding,ISBM-001,Shift 2,WO-1077,COR-001,COL-COR-001-001,173.28,169.28
79,2025-08-25,  Blow Molding  ,ISBM-001,Shift 1,WO-1078,COR-008,COL-COR-008-001,105.19,101.19
80,2025-08-26,Blow Molding,ISBM-001,Shift 3,WO-1079,COR-008,COL-COR-008-001,101.19,97.19
81,2025-08-26,Blow Molding,ISBM-001,Shift 2,WO-1080,COR-008,COL-COR-008-001,97.19,93.19
82,2025-08-27,BLOW MOLDING,ISBM-001,Shift 1,WO-1081,COR-008,COL-COR-008-001,93.19,89.19
83,2025-08-28,  Blow Molding  ,ISBM-001,Shift 3,WO-1082,COR-005,COL-COR-005-001,177.41,173.41
84,2025-08-29,Blow Molding,ISBM-001,Shift 3,WO-1083,COR-001,COL-COR-001-001,169.28,165.28
85,2025-08-29,Blow Molding,ISBM-001,Shift 2,WO-1084,COR-001,COL-COR-001-001,165.28,161.28
86,2025-08-30,Blow Molding,ISBM-001,Shift 1,WO-1085,COR-001,COL-COR-001-001,161.28,157.28
87,2025-08-31,Blow Molding,ISBM-001,Shift 1,WO-1086,COR-008,COL-COR-008-001,89.19,85.19
88,2025-09-01,Blow Molding,ISBM-001,Shift 3,WO-1087,COR-007,COL-COR-007-001,128.01,124.01
89,2025-09-01,Blow Molding,ISBM-001,shift 2,WO-1088,COR-007,-,124.01,120.01
90,2025-09-02,Blow Molding,ISBM-001,Shift 1,WO-1089,COR-004,COL-COR-004-001,73.68,69.68
91,2025-09-02,Blow Molding,ISBM-001,  Shift 3  ,WO-1090,COR-008,COL-COR-008-001,85.19,81.19
92,2025-09-03,Blow Molding,ISBM-001,Shift 2,WO-1091,COR-007,COL-COR-007-001,120.01,116.01
93,2025-09-04,Blow Molding,ISBM-001,Shift 1,WO-1092,COR-007,COL-COR-007-001,116.01,112.01
94,2025-09-04,blow molding,ISBM-001,Shift 3,WO-1093,COR-007,COL-COR-007-001,112.01,108.01
95,2025-09-05,Blow Molding,ISBM-001,Shift 2,WO-1094,COR-004,COL-COR-004-001,69.68,65.68
96,2025-09-06,Blow Molding,ISBM-001,Shift 1,WO-1095,COR-004,COL-COR-004-001,65.68,61.68
97,2025-09-07,Blow Molding,ISBM-001,Shift 1,WO-1096,COR-007,COL-COR-007-001,108.01,104.01
98,2025-09-07,Blow Molding,ISBM-001,Shift 2,WO-1097,COR-007,COL-COR-007-001,104.01,100.01
99,2025-09-08,Blow Molding,ISBM-001,Shift 2,WO-1098,COR-007,COL-COR-007-001,100.01,96.01
100,2025-09-09,Blow Molding,ISBM-001,Shift 1,WO-1099,COR-008,COL-COR-008-001,81.19,77.19
101,2025-09-10,Blow Molding,ISBM-001,Shift 3,WO-1100,COR-008,COL-COR-008-001,77.19,73.19
102,2025-09-10,blow molding,ISBM-001,Shift 2,WO-1101,COR-008,COL-COR-008-001,73.19,69.19
103,2025-09-11,Blow Molding,ISBM-001,Shift 3,WO-1102,COR-008,COL-COR-008-001,69.19,65.19
104,2025-09-11,BLOW MOLDING,ISBM-001,Shift 2,WO-1103,COR-008,COL-COR-008-001,65.19,61.19
105,2025-09-12,Blow Molding,ISBM-001,Shift 2,WO-1104,COR-008,COL-COR-008-001,61.19,57.19
106,2025-09-13,Blow Molding,ISBM-001,Shift 1,WO-1105,COR-008,COL-COR-008-001,57.19,53.19
107,2025-09-14,Blow Molding,ISBM-001,Shift 3,WO-1106,COR-007,COL-COR-007-001,96.01,92.01
108,2025-09-14,Blow Molding,ISBM-001,Shift 2,WO-1107,COR-007,COL-COR-007-001,92.01,88.01
109,2025-09-15,Blow Molding,ISBM-001,Shift 1,WO-1108,COR-008,COL-COR-008-001,53.19,49.19
110,2025-09-16,  Blow Molding  ,ISBM-001,Shift 1,WO-1109,COR-008,COL-COR-008-001,49.19,45.19
111,2025-09-17,Blow Molding,ISBM-001,shift 3,WO-1110,COR-008,COL-COR-008-001,45.19,41.19
112,2025-09-17,Blow Molding,ISBM-001,Shift 2,WO-1111,COR-008,COL-COR-008-001,41.19,37.19
113,2025-09-18,Blow Molding,ISBM-001,Shift 3,WO-1112,COR-008,COL-COR-008-001,37.19,33.19
114,2025-09-18,Blow Molding,ISBM-001,Shift 2,WO-1113,COR-007,COL-COR-007-001,88.01,84.01
115,2025-09-19,Blow Molding,ISBM-001,Shift 1,WO-1114,COR-007,COL-COR-007-001,84.01,80.01
116,2025-09-20,Blow Molding,ISBM-001,Shift 3,WO-1115,COR-007,COL-COR-007-001,80.01,76.01
117,2025-09-20,Blow Molding,ISBM-001,Shift 3,WO-1116,COR-007,COL-COR-007-001,76.01,72.01
118,2025-09-21,Blow Molding,ISBM-001,Shift 2,WO-1117,COR-005,COL-COR-005-001,173.41,169.41
119,2025-09-22,Blow Molding,ISBM-001,Shift 1,WO-1118,COR-005,COL-COR-005-001,169.41,165.41
120,2025-09-22,Blow Molding,ISBM-001,Shift 3,WO-1119,COR-008,COL-COR-008-001,33.19,29.19
121,2025-09-23,Blow Molding,ISBM-001,Shift 1,WO-1120,COR-007,COL-COR-007-001,72.01,68.01
122,2025-09-24,Blow Molding,ISBM-001,Shift 3,WO-1121,COR-008,COL-COR-008-001,29.19,25.19
123,2025-09-24,Blow Molding,ISBM-001,Shift 2,WO-1122,COR-007,COL-COR-007-001,68.01,64.01
124,2025-09-25,Blow Molding,ISBM-001,Shift 3,WO-1123,COR-007,COL-COR-007-001,64.01,60.01
125,2025-09-25,Blow Molding,ISBM-001,  Shift 3  ,WO-1124,COR-007,COL-COR-007-001,60.01,56.01
126,2025-09-26,Blow Molding,ISBM-001,Shift 3,WO-1125,COR-008,n/a,25.19,21.19
127,2025-09-27,Blow Molding,ISBM-001,Shift 2,WO-1126,COR-008,COL-COR-008-001,21.19,17.19
128,2025-09-28,Blow Molding,ISBM-001,Shift 1,WO-1127,COR-007,COL-COR-007-001,56.01,52.01
129,2025-09-29,Blow Molding,ISBM-001,Shift 3,WO-1128,COR-007,COL-COR-007-001,52.01,48.01
130,2025-09-29,blow molding,ISBM-001,Shift 2,WO-1129,COR-004,COL-COR-004-001,61.68,57.68
131,2025-09-30,Blow Molding,ISBM-001,Shift 3,WO-1130,COR-004,COL-COR-004-001,57.68,53.68
132,2025-09-30,Blow Molding,ISBM-001,Shift 2,WO-1131,COR-004,--,53.68,49.68
133,2025-10-01,Blow Molding,ISBM-001,Shift 2,WO-1132,COR-008,COL-COR-008-001,17.19,13.19
134,2025-10-02,Blow Molding,ISBM-001,Shift 1,WO-1133,COR-008,COL-COR-008-001,13.19,9.19
135,2025-10-03,Blow Molding,ISBM-001,Shift 3,WO-1134,COR-008,COL-COR-008-001,9.19,5.19
136,2025-10-03,blow molding,ISBM-001,Shift 3,WO-1135,COR-008,COL-COR-008-001,5.19,1.19
137,2025-10-04,Blow Molding,ISBM-001,Shift 1,WO-1136,COR-007,COL-COR-007-001,48.01,44.01
138,2025-10-05,Blow Molding,ISBM-001,SHIFT 3,WO-1137,COR-007,COL-COR-007-001,44.01,40.01
139,2025-10-05,BLOW MOLDING,ISBM-001,Shift 1,WO-1138,COR-007,COL-COR-007-001,40.01,36.01
140,2025-10-06,Blow Molding,ISBM-001,Shift 3,WO-1139,COR-007,COL-COR-007-001,36.01,32.01
141,2025-10-06,Blow Molding,ISBM-001,  Shift 2  ,WO-1140,COR-007,COL-COR-007-001,32.01,28.01
142,2025-10-07,Blow Molding,ISBM-001,Shift 1,WO-1141,COR-001,COL-COR-001-001,157.28,153.28
143,2025-10-08,Blow Molding,ISBM-001,SHIFT 1,WO-1142,COR-007,COL-COR-007-001,28.01,24.01
144,2025-10-09,Blow Molding,ISBM-001,Shift 3,WO-1143,COR-007,COL-COR-007-001,24.01,20.01
145,2025-10-09,blow molding,ISBM-001,Shift 2,WO-1144,COR-007,COL-COR-007-001,20.01,16.01
146,2025-10-10,Blow Molding,ISBM-001,Shift 1,WO-1145,COR-008,COL-COR-008-001,1.19,0.0
147,2025-10-10,Blow Molding,ISBM-001,Shift 1,WO-1145,COR-008,COL-COR-008-002,227.51,224.7
148,2025-10-11,Blow Molding,ISBM-001,shift 1,WO-1146,COR-008,COL-COR-008-002,224.7,220.7
149,2025-10-12,Blow Molding,ISBM-001,Shift 1,WO-1147,COR-008,COL-COR-008-002,220.7,216.7
150,2025-10-13,Blow Molding,ISBM-001,Shift 3,WO-1148,COR-008,COL-COR-008-002,216.7,212.7
151,2025-10-13,Blow Molding,ISBM-001,shift 2,WO-1149,COR-008,COL-COR-008-002,212.7,208.7
152,2025-10-14,Blow Molding,ISBM-001,Shift 3,WO-1150,COR-008,COL-COR-008-002,208.7,204.7
153,2025-10-14,Blow Molding,ISBM-001,Shift 2,WO-1151,COR-008,COL-COR-008-002,204.7,200.7
154,2025-10-15,Blow Molding,ISBM-001,Shift 3,WO-1152,COR-008,COL-COR-008-002,200.7,196.7
155,2025-10-15,BLOW MOLDING,ISBM-001,Shift 3,WO-1153,COR-003,COL-COR-003-001,137.02,133.02
156,2025-10-16,Blow Molding,ISBM-001,Shift 1,WO-1154,COR-003,COL-COR-003-001,133.02,129.02
157,2025-10-17,Blow Molding,ISBM-001,Shift 3,WO-1155,COR-008,COL-COR-008-002,196.7,192.7
158,2025-10-17,Blow Molding,ISBM-001,Shift 2,WO-1156,COR-008,COL-COR-008-002,192.7,188.7
159,2025-10-18,Blow Molding,ISBM-001,Shift 3,WO-1157,COR-008,COL-COR-008-002,188.7,184.7
160,2025-10-18,Blow Molding,ISBM-001,Shift 2,WO-1158,COR-008,COL-COR-008-002,184.7,180.7
161,2025-10-19,Blow Molding,ISBM-001,shift 1,WO-1159,COR-001,COL-COR-001-001,153.28,149.28
162,2025-10-19,Blow Molding,ISBM-001,Shift 2,WO-1160,COR-004,COL-COR-004-001,49.68,45.68
163,2025-10-20,Blow Molding,ISBM-001,Shift 1,WO-1161,COR-004,COL-COR-004-001,45.68,41.68
164,2025-10-21,Blow Molding,ISBM-001,Shift 1,WO-1162,COR-003,COL-COR-003-001,129.02,125.02
165,2025-10-21,  Blow Molding  ,ISBM-001,Shift 3,WO-1163,COR-008,COL-COR-008-002,180.7,176.7
166,2025-10-22,Blow Molding,ISBM-001,Shift 1,WO-1164,COR-008,COL-COR-008-002,176.7,172.7
167,2025-10-23,Blow Molding,ISBM-001,shift 1,WO-1165,COR-008,COL-COR-008-002,172.7,168.7
168,2025-10-23,Blow Molding,ISBM-001,  Shift 3  ,WO-1166,COR-008,COL-COR-008-002,168.7,164.7
169,2025-10-24,Blow Molding,ISBM-001,Shift 2,WO-1167,COR-003,COL-COR-003-001,125.02,121.02
170,2025-10-25,Blow Molding,ISBM-001,Shift 3,WO-1168,COR-003,COL-COR-003-001,121.02,117.02
171,2025-10-25,Blow Molding,ISBM-001,shift 2,WO-1169,COR-008,COL-COR-008-002,164.7,160.7
172,2025-10-26,Blow Molding,ISBM-001,Shift 1,WO-1170,COR-008,COL-COR-008-002,160.7,156.7
173,2025-10-26,Blow Molding,ISBM-001,Shift 2,WO-1171,COR-008,COL-COR-008-002,156.7,152.7
174,2025-10-27,BLOW MOLDING,ISBM-001,Shift 1,WO-1172,COR-008,//,152.7,148.7
175,2025-10-27,Blow Molding,ISBM-001,Shift 2,WO-1173,COR-008,COL-COR-008-002,148.7,144.7
176,2025-10-28,Blow Molding,ISBM-001,Shift 1,WO-1174,COR-008,COL-COR-008-002,144.7,140.7
177,2025-10-28,Blow Molding,ISBM-001,Shift 3,WO-1175,COR-008,COL-COR-008-002,140.7,136.7
178,2025-10-29,Blow Molding,ISBM-001,Shift 2,WO-1176,COR-007,COL-COR-007-001,16.01,12.01
179,2025-10-30,Blow Molding,ISBM-001,Shift 1,WO-1177,COR-007,COL-COR-007-001,12.01,8.01
180,2025-10-31,Blow Molding,ISBM-001,Shift 3,WO-1178,COR-008,COL-COR-008-002,136.7,132.7
181,2025-10-31,Blow Molding,ISBM-001,Shift 3,WO-1179,COR-005,COL-COR-005-001,165.41,161.41
182,2025-11-01,Blow Molding,ISBM-001,Shift 1,WO-1180,COR-005,COL-COR-005-001,161.41,157.41
183,2025-11-02,Blow Molding,ISBM-001,Shift 1,WO-1181,COR-008,COL-COR-008-002,132.7,128.7
184,2025-11-03,Blow Molding,ISBM-001,Shift 3,WO-1182,COR-008,COL-COR-008-002,128.7,124.7
185,2025-11-03,Blow Molding,ISBM-001,Shift 2,WO-1183,COR-001,COL-COR-001-001,149.28,145.28
186,2025-11-04,  Blow Molding  ,ISBM-001,Shift 1,WO-1184,COR-001,COL-COR-001-001,145.28,141.28
187,2025-11-04,Blow Molding,ISBM-001,Shift 3,WO-1185,COR-001,COL-COR-001-001,141.28,137.28
188,2025-11-05,Blow Molding,ISBM-001,Shift 1,WO-1186,COR-005,COL-COR-005-001,157.41,153.41
189,2025-11-05,Blow Molding,ISBM-001,Shift 3,WO-1187,COR-004,COL-COR-004-001,41.68,37.68
190,2025-11-06,Blow Molding,ISBM-001,Shift 1,WO-1188,COR-004,COL-COR-004-001,37.68,33.68
191,2025-11-07,Blow Molding,ISBM-001,Shift 3,WO-1189,COR-007,COL-COR-007-001,8.01,4.01
192,2025-11-07,blow molding,ISBM-001,Shift 2,WO-1190,COR-001,COL-COR-001-001,137.28,133.28
193,2025-11-08,Blow Molding,ISBM-001,SHIFT 1,WO-1191,COR-001,COL-COR-001-001,133.28,129.28
194,2025-11-09,Blow Molding,ISBM-001,  Shift 3  ,WO-1192,COR-008,COL-COR-008-002,124.7,120.7
195,2025-11-09,Blow Molding,ISBM-001,Shift 2,WO-1193,COR-007,COL-COR-007-001,4.01,0.01
196,2025-11-10,Blow Molding,ISBM-001,Shift 1,WO-1194,COR-008,COL-COR-008-002,120.7,116.7
197,2025-11-11,Blow Molding,ISBM-001,Shift 3,WO-1195,COR-007,COL-COR-007-002,112.46,108.46
198,2025-11-11,Blow Molding,ISBM-001,Shift 2,WO-1196,COR-007,COL-COR-007-002,108.46,104.46
199,2025-11-12,Blow Molding,ISBM-001,Shift 1,WO-1197,COR-008,COL-COR-008-002,116.7,112.7
200,2025-11-13,Blow Molding,ISBM-001,Shift 3,WO-1198,COR-008,COL-COR-008-002,112.7,108.7
201,2025-11-13,Blow Molding,ISBM-001,SHIFT 1,WO-1199,COR-005,COL-COR-005-001,153.41,149.41
202,2025-11-14,Blow Molding,ISBM-001,Shift 3,WO-1200,COR-005,COL-COR-005-001,149.41,145.41
203,2025-11-14,BLOW MOLDING,ISBM-001,SHIFT 3,WO-1201,COR-008,COL-COR-008-002,108.7,104.7
204,2025-11-15,Blow Molding,ISBM-001,Shift 2,WO-1202,COR-008,COL-COR-008-002,104.7,100.7
205,2025-11-16,Blow Molding,ISBM-001,Shift 3,WO-1203,COR-005,COL-COR-005-001,145.41,141.41
206,2025-11-16,Blow Molding,ISBM-001,Shift 2,WO-1204,COR-005,COL-COR-005-001,141.41,137.41
207,2025-11-17,BLOW MOLDING,ISBM-001,Shift 1,WO-1205,COR-005,COL-COR-005-001,137.41,133.41
208,2025-11-18,Blow Molding,ISBM-001,Shift 3,WO-1206,COR-003,COL-COR-003-001,117.02,113.02
209,2025-11-18,Blow Molding,ISBM-001,Shift 3,WO-1207,COR-003,COL-COR-003-001,113.02,109.02
210,2025-11-19,Blow Molding,ISBM-001,Shift 2,WO-1208,COR-007,COL-COR-007-002,104.46,100.46
211,2025-11-20,Blow Molding,ISBM-001,Shift 3,WO-1209,COR-008,COL-COR-008-002,100.7,96.7
212,2025-11-20,Blow Molding,ISBM-001,Shift 2,WO-1210,COR-008,COL-COR-008-002,96.7,92.7
213,2025-11-21,Blow Molding,ISBM-001,Shift 3,WO-1211,COR-008,--,92.7,88.7
214,2025-11-21,Blow Molding,ISBM-001,Shift 2,WO-1212,COR-008,COL-COR-008-002,88.7,84.7
215,2025-11-22,Blow Molding,ISBM-001,Shift 2,WO-1213,COR-008,COL-COR-008-002,84.7,80.7
216,2025-11-23,Blow Molding,ISBM-001,Shift 2,WO-1214,COR-008,COL-COR-008-002,80.7,76.7
217,2025-11-24,Blow Molding,ISBM-001,Shift 1,WO-1215,COR-008,COL-COR-008-002,76.7,72.7
218,2025-11-25,Blow Molding,ISBM-001,Shift 1,WO-1216,COR-008,COL-COR-008-002,72.7,68.7
219,2025-11-25,Blow Molding,ISBM-001,Shift 2,WO-1217,COR-008,COL-COR-008-002,68.7,64.7
220,2025-11-26,Blow Molding,ISBM-001,Shift 1,WO-1218,COR-007,COL-COR-007-002,100.46,96.46
221,2025-11-26,Blow Molding,ISBM-001,Shift 3,WO-1219,COR-007,COL-COR-007-002,96.46,92.46
222,2025-11-27,Blow Molding,ISBM-001,Shift 1,WO-1220,COR-007,COL-COR-007-002,92.46,88.46
223,2025-11-28,Blow Molding,ISBM-001,Shift 1,WO-1221,COR-007,COL-COR-007-002,88.46,84.46
224,2025-11-29,Blow Molding,ISBM-001,Shift 1,WO-1222,COR-007,COL-COR-007-002,84.46,80.46
225,2025-11-29,Blow Molding,ISBM-001,Shift 3,WO-1223,COR-007,COL-COR-007-002,80.46,76.46
226,2025-11-30,Blow Molding,ISBM-001,Shift 2,WO-1224,COR-008,COL-COR-008-002,64.7,60.7
227,2025-12-01,Blow Molding,ISBM-001,Shift 1,WO-1225,COR-008,COL-COR-008-002,60.7,56.7
228,2025-12-02,Blow Molding,ISBM-001,shift 3,WO-1226,COR-008,COL-COR-008-002,56.7,52.7
229,2025-12-02,Blow Molding,ISBM-001,Shift 2,WO-1227,COR-008,COL-COR-008-002,52.7,48.7
230,2025-12-03,Blow Molding,ISBM-001,Shift 2,WO-1228,COR-008,n/a,48.7,44.7
231,2025-12-04,Blow Molding,ISBM-001,Shift 1,WO-1229,COR-007,COL-COR-007-002,76.46,72.46
232,2025-12-05,Blow Molding,ISBM-001,Shift 3,WO-1230,COR-007,COL-COR-007-002,72.46,68.46
233,2025-12-05,Blow Molding,ISBM-001,SHIFT 2,WO-1231,COR-008,COL-COR-008-002,44.7,40.7
234,2025-12-06,Blow Molding,ISBM-001,Shift 2,WO-1232,COR-008,COL-COR-008-002,40.7,36.7
235,2025-12-07,Blow Molding,ISBM-001,Shift 1,WO-1233,COR-005,COL-COR-005-001,133.41,129.41
236,2025-12-08,Blow Molding,ISBM-001,Shift 3,WO-1234,COR-005,COL-COR-005-001,129.41,125.41
237,2025-12-08,Blow Molding,ISBM-001,Shift 2,WO-1235,COR-005,COL-COR-005-001,125.41,121.41
238,2025-12-09,Blow Molding,ISBM-001,Shift 2,WO-1236,COR-008,COL-COR-008-002,36.7,32.7
239,2025-12-10,Blow Molding,ISBM-001,Shift 1,WO-1237,COR-008,COL-COR-008-002,32.7,28.7
