ProductBatch,WorkOrder,ProductionDate,Shift,MachineId,MoldId,CapId,Material,CapType,LotSize,CodeLetter,SampleSize,CriticalDefects,MajorDefects,MinorDefects,TotalSampleDefects,VariablesDecision,AttributesDecision,FinalLotDecision,DispositionDetail,LotDecisionDateTime,Remarks,Inspector
LOTE-M-INJ-001-5475,WO-7377,2025-07-11,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,11230,M,315,1,0,2,3,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-07-12 17:46:19.931,Sealing:1(Re=1),Carlos Mendes
LOTE-M-INJ-001-5476,WO-7380,2025-07-13,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,54492,M,315,1,4,11,16,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-07-15 02:39:54.554,Sealing:1(Re=1),Elena Santos
LOTE-M-INJ-001-5477,WO-7381,2025-07-14,Shift 1,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,18633,M,315,1,0,0,1,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-07-15 20:30:26.102,Thread:1(Re=1),Carlos Mendes
LOTE-M-INJ-001-5478,WO-7384,2025-07-16,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,57288,M,315,0,7,8,15,Conforming,Approved,Approved,Approved - First Pass,2025-07-17 23:09:09.002,—,Elena Santos
LOTE-M-INJ-001-5479,WO-7386,2025-07-18,Shift 3,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,29075,M,315,0,1,1,2,Conforming,Approved,Approved,Approved - First Pass,2025-07-19 03:18:57.074,—,Ana Silva
LOTE-M-INJ-001-5480,WO-7389,2025-07-20,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,54450,M,315,0,3,20,23,Conforming,Approved,Approved,Approved - First Pass,2025-07-21 21:36:56.040,—,Ana Silva
LOTE-M-INJ-001-5481,WO-7392,2025-07-22,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,37355,M,315,0,0,11,11,Conforming,Approved,Approved,Approved - First Pass,2025-07-23 19:06:11.993,—,Beatriz Costa
LOTE-M-INJ-001-5482,WO-7394,2025-07-23,Shift 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,32356,M,315,0,3,9,12,Conforming,Approved,Approved,Approved - First Pass,2025-07-25 00:51:20.344,—,Elena Santos
LOTE-M-INJ-001-5483,WO-7396,2025-07-25,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,39097,M,315,0,3,6,9,Conforming,Approved,Approved,Approved - First Pass,2025-07-26 17:17:27.321,—,Beatriz Costa
LOTE-M-INJ-001-5484,WO-7397,2025-07-26,Shift 1,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,1782,L,200,0,0,3,3,Conforming,Approved,Approved,Approved - First Pass,2025-07-27 16:48:08.914,—,Ana Silva
LOTE-M-INJ-001-5485,WO-7399,2025-07-28,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,31111,M,315,0,1,0,1,Conforming,Approved,Approved,Approved - First Pass,2025-07-29 13:35:51.255,—,Carlos Mendes
LOTE-M-INJ-001-5486,WO-7400,2025-07-28,Shift 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,8778,L,200,0,2,0,2,Conforming,Approved,Approved,Approved - First Pass,2025-07-29 23:56:52.032,—,Ana Silva
LOTE-M-INJ-001-5487,WO-7403,2025-07-31,Shift 1,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,35113,M,315,1,3,5,9,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-07-31 23:49:42.685,Sealing:1(Re=1),Elena Santos
LOTE-M-INJ-001-5488,WO-7405,2025-08-01,SHIFT 1,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,39547,M,315,0,2,8,10,Conforming,Approved,Approved,Approved - First Pass,2025-08-02 19:13:47.075,—,Elena Santos
LOTE-M-INJ-001-5489,WO-7407,2025-08-02,Shift 2,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,25775,M,315,0,6,9,15,Conforming,Approved,Approved,Approved - First Pass,2025-08-03 11:56:57.503,—,Carlos Mendes
LOTE-M-INJ-001-5490,WO-7409,2025-08-04,Shift 3,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,46763,M,315,1,4,4,9,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-08-05 05:37:26.828,Thread:1(Re=1),Ana Silva
LOTE-M-INJ-001-5491,WO-7410,2025-08-04,Shift 3,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,4995,L,200,0,1,3,4,Conforming,Approved,Approved,Approved - First Pass,2025-08-06 10:06:31.914,—,Ana Silva
LOTE-M-INJ-001-5492,WO-7413,2025-08-06,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,38488,M,315,0,3,1,4,Conforming,Approved,Approved,Approved - First Pass,2025-08-07 23:11:20.108,—,Ana Silva
LOTE-M-INJ-001-5493,WO-7414,2025-08-07,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,4120,L,200,0,0,0,0,Conforming,Approved,Approved,Approved - First Pass,2025-08-08 13:26:46.269,—,Elena Santos
LOTE-M-INJ-001-5494,WO-7415,2025-08-08,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,12505,M,315,1,1,4,6,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-08-09 00:00:41.367,Sealing:1(Re=1),Carlos Mendes
LOTE-M-INJ-001-5495,WO-7416,2025-08-08,Shift 1,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,20560,M,315,0,2,0,2,Conforming,Approved,Approved,Approved - First Pass,2025-08-09 21:28:04.342,—,Elena Santos
LOTE-M-INJ-001-5496,WO-7419,2025-08-11,SHIFT 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,59270,M,315,1,6,9,16,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-08-11 23:04:25.898,Sealing:1(Re=1),Beatriz Costa
LOTE-M-INJ-001-5497,WO-7422,2025-08-12,Shift 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,47498,M,315,0,4,5,9,Conforming,Approved,Approved,Approved - First Pass,2025-08-13 22:41:56.666,—,Elena Santos
LOTE-M-INJ-001-5498,WO-7425,2025-08-15,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,36093,M,315,0,4,1,5,Conforming,Approved,Approved,Approved - First Pass,2025-08-15 19:20:06.772,—,Carlos Mendes
LOTE-M-INJ-001-5499,WO-7427,2025-08-16,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,30157,M,315,0,1,2,3,Conforming,Approved,Approved,Approved - First Pass,2025-08-17 06:33:22.015,—,Carlos Mendes
LOTE-M-INJ-001-5500,WO-7428,2025-08-16,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,16267,M,315,0,0,1,1,Conforming,Approved,Approved,Approved - First Pass,2025-08-17 19:10:01.003,—,Carlos Mendes
LOTE-M-INJ-001-5501,WO-7431,2025-08-18,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,41925,M,315,0,3,3,6,Conforming,Approved,Approved,Approved - First Pass,2025-08-20 04:53:44.174,—,Diogo Ferreira
LOTE-M-INJ-001-5502,WO-7433,2025-08-20,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,24240,M,315,0,2,3,5,Conforming,Approved,Approved,Approved - First Pass,2025-08-21 00:03:46.153,—,Diogo Ferreira
LOTE-M-INJ-001-5503,WO-7434,2025-08-20,SHIFT 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,8639,L,200,0,0,0,0,Conforming,Approved,Approved,Approved - First Pass,2025-08-21 05:41:03.165,—,Carlos Mendes
LOTE-M-INJ-001-5504,WO-7437,2025-08-22,Shift 3,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,41924,M,315,0,3,7,10,Conforming,Approved,Approved,Approved - First Pass,2025-08-22 23:05:49.138,—,Beatriz Costa
LOTE-M-INJ-001-5505,WO-7438,2025-08-22,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,18081,M,315,0,0,6,6,Conforming,Approved,Approved,Approved - First Pass,2025-08-23 18:40:27.920,—,Ana Silva
LOTE-M-INJ-001-5506,WO-7439,2025-08-23,  Shift 1  ,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,15318,M,315,1,1,3,5,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-08-24 12:17:43.062,Sealing:1(Re=1),Ana Silva
LOTE-M-INJ-001-5507,WO-7440,2025-08-24,Shift 3,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,11923,M,315,0,0,2,2,Conforming,Approved,Approved,Approved - First Pass,2025-08-24 20:58:14.818,—,Carlos Mendes
LOTE-M-INJ-001-5508,WO-7442,2025-08-25,Shift 3,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,16730,M,315,0,1,2,3,Conforming,Approved,Approved,Approved - First Pass,2025-08-26 02:44:50.434,—,Beatriz Costa
LOTE-M-INJ-001-5509,WO-7443,2025-08-25,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,8705,L,200,0,0,4,4,Conforming,Approved,Approved,Approved - First Pass,2025-08-26 06:12:28.446,—,Carlos Mendes
LOTE-M-INJ-001-5510,WO-7444,2025-08-26,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,17621,M,315,0,3,5,8,Conforming,Approved,Approved,Approved - First Pass,2025-08-27 03:10:38.761,—,Diogo Ferreira
LOTE-M-INJ-001-5511,WO-7445,2025-08-26,  Shift 2  ,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,20386,M,315,1,2,2,5,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-08-28 11:17:56.683,Thread:1(Re=1),Elena Santos
LOTE-M-INJ-001-5512,WO-7447,2025-08-28,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,31782,M,315,0,2,5,7,Conforming,Approved,Approved,Approved - First Pass,2025-08-29 18:11:06.257,—,Ana Silva
LOTE-M-INJ-001-5513,WO-7449,2025-08-30,Shift 3,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,33429,M,315,1,0,0,1,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-08-31 09:59:54.562,Sealing:1(Re=1),Diogo Ferreira
LOTE-M-INJ-001-5514,WO-7450,2025-08-31,Shift 3,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,19312,M,315,0,2,0,2,Conforming,Approved,Approved,Approved - First Pass,2025-09-01 04:40:09.447,—,Carlos Mendes
LOTE-M-INJ-001-5515,WO-7452,2025-09-01,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,24249,M,315,0,4,5,9,Conforming,Approved,Approved,Approved - First Pass,2025-09-02 09:05:23.390,—,Ana Silva
LOTE-M-INJ-001-5516,WO-7454,2025-09-02,shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,20484,M,315,1,1,4,6,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-09-03 08:27:03.927,Sealing:1(Re=1),Diogo Ferreira
LOTE-M-INJ-001-5517,WO-7457,2025-09-04,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,30889,M,315,0,0,0,0,Conforming,Approved,Approved,Approved - First Pass,2025-09-04 20:14:32.195,—,Diogo Ferreira
LOTE-M-INJ-001-5518,WO-7458,2025-09-04,Shift 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,15819,M,315,0,1,2,3,Conforming,Approved,Approved,Approved - First Pass,2025-09-05 17:18:23.586,—,Ana Silva
LOTE-M-INJ-001-5519,WO-7461,2025-09-06,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,29925,M,315,0,1,8,9,Conforming,Approved,Approved,Approved - First Pass,2025-09-07 11:11:55.744,—,Beatriz Costa
LOTE-M-INJ-001-5520,WO-7464,2025-09-08,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,40168,M,315,0,3,12,15,Conforming,Approved,Approved,Approved - First Pass,2025-09-09 09:45:49.468,—,Carlos Mendes
LOTE-M-INJ-001-5521,WO-7467,2025-09-10,Shift 1,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,50864,M,315,0,2,8,10,Conforming,Approved,Approved,Approved - First Pass,2025-09-11 19:36:03.894,—,Ana Silva
LOTE-M-INJ-001-5522,WO-7468,2025-09-11,Shift 3,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,9955,L,200,0,0,5,5,Conforming,Approved,Approved,Approved - First Pass,2025-09-11 23:58:27.627,—,Beatriz Costa
LOTE-M-INJ-001-5523,WO-7469,2025-09-11,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,10156,M,315,0,3,5,8,Conforming,Approved,Approved,Approved - First Pass,2025-09-12 07:11:33.168,—,Diogo Ferreira
LOTE-M-INJ-001-5524,WO-7470,2025-09-12,Shift 3,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,15990,M,315,0,2,3,5,Conforming,Approved,Approved,Approved - First Pass,2025-09-13 10:23:53.565,—,Diogo Ferreira
LOTE-M-INJ-001-5525,WO-7472,2025-09-13,Shift 1,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,36769,M,315,0,1,7,8,Conforming,Approved,Approved,Approved - First Pass,2025-09-14 07:54:41.083,—,Diogo Ferreira
LOTE-M-INJ-001-5526,WO-7474,2025-09-14,SHIFT 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,30662,M,315,0,2,0,2,Conforming,Approved,Approved,Approved - First Pass,2025-09-15 21:45:35.791,—,Carlos Mendes
LOTE-M-INJ-001-5527,WO-7476,2025-09-16,Shift 1,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,25502,M,315,0,2,1,3,Conforming,Approved,Approved,Approved - First Pass,2025-09-17 09:04:26.800,—,Ana Silva
LOTE-M-INJ-001-5528,WO-7479,2025-09-18,Shift 3,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,44460,M,315,0,9,1,10,Conforming,Approved,Approved,Approved - First Pass,2025-09-19 10:47:10.873,—,Elena Santos
LOTE-M-INJ-001-5529,WO-7481,2025-09-19,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,29287,M,315,1,3,3,7,Conforming,Rejected,Approved,Approved - Released on Deviation,2025-09-20 21:41:13.767,—,Carlos Mendes
LOTE-M-INJ-001-5530,WO-7483,2025-09-21,Shift 3,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,35894,M,315,0,6,5,11,Conforming,Approved,Approved,Approved - First Pass,2025-09-22 08:31:54.998,—,Elena Santos
LOTE-M-INJ-001-5531,WO-7485,2025-09-22,Shift 1,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,24126,M,315,0,2,4,6,Conforming,Approved,Approved,Approved - First Pass,2025-09-23 13:15:15.968,—,Carlos Mendes
LOTE-M-INJ-001-5532,WO-7487,2025-09-24,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,33151,M,315,0,1,0,1,Conforming,Approved,Approved,Approved - First Pass,2025-09-25 08:04:40.035,—,Elena Santos
LOTE-M-INJ-001-5533,WO-7490,2025-09-26,Shift 1,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,48299,M,315,0,3,10,13,Conforming,Approved,Approved,Approved - First Pass,2025-09-27 10:33:46.269,—,Diogo Ferreira
LOTE-M-INJ-001-5534,WO-7491,2025-09-27,Shift 3,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,11533,M,315,0,0,0,0,Conforming,Approved,Approved,Approved - First Pass,2025-09-28 05:01:00.501,—,Elena Santos
LOTE-M-INJ-001-5535,WO-7493,2025-09-28,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,32726,M,315,1,4,8,13,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-09-30 03:28:48.085,Thread:1(Re=1),Beatriz Costa
LOTE-M-INJ-001-5536,WO-7494,2025-09-29,Shift 1,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,15401,M,315,0,0,3,3,Conforming,Approved,Approved,Approved - First Pass,2025-09-30 06:54:32.523,—,Ana Silva
LOTE-M-INJ-001-5537,WO-7495,2025-09-30,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,6464,L,200,0,0,4,4,Conforming,Approved,Approved,Approved - First Pass,2025-10-01 05:30:34.086,—,Carlos Mendes
LOTE-M-INJ-001-5538,WO-7496,2025-09-30,Shift 1,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,12122,M,315,0,1,0,1,Conforming,Approved,Approved,Approved - First Pass,2025-10-01 11:54:34.743,—,Ana Silva
LOTE-M-INJ-001-5539,WO-7497,2025-10-01,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,11975,M,315,0,3,1,4,Conforming,Approved,Approved,Approved - First Pass,2025-10-01 21:34:43.733,—,Beatriz Costa
LOTE-M-INJ-001-5540,WO-7498,2025-10-01,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,13068,M,315,0,2,0,2,Conforming,Approved,Approved,Approved - First Pass,2025-10-02 20:32:08.345,—,Carlos Mendes
LOTE-M-INJ-001-5541,WO-7499,2025-10-02,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,13320,M,315,0,0,4,4,Conforming,Approved,Approved,Approved - First Pass,2025-10-03 12:24:20.917,—,Carlos Mendes
LOTE-M-INJ-001-5542,WO-7500,2025-10-03,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,13388,M,315,0,0,5,5,Conforming,Approved,Approved,Approved - First Pass,2025-10-03 14:26:43.321,—,Elena Santos
LOTE-M-INJ-001-5543,WO-7501,2025-10-03,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,7828,L,200,0,0,0,0,Conforming,Approved,Approved,Approved - First Pass,2025-10-04 05:55:03.209,—,Ana Silva
LOTE-M-INJ-001-5544,WO-7502,2025-10-03,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,21334,M,315,0,1,0,1,Conforming,Approved,Approved,Approved - First Pass,2025-10-05 10:50:31.245,—,Elena Santos
LOTE-M-INJ-001-5545,WO-7503,2025-10-04,Shift 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,10831,M,315,0,4,2,6,Conforming,Approved,Approved,Approved - First Pass,2025-10-05 21:37:36.738,—,Elena Santos
LOTE-M-INJ-001-5546,WO-7504,2025-10-05,Shift 1,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,15757,M,315,0,1,2,3,Conforming,Approved,Approved,Approved - First Pass,2025-10-06 14:47:45.973,—,Diogo Ferreira
LOTE-M-INJ-001-5547,WO-7507,2025-10-07,Shift 1,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,38833,M,315,0,2,5,7,Conforming,Approved,Approved,Approved - First Pass,2025-10-08 16:35:21.387,—,Elena Santos
LOTE-M-INJ-001-5548,WO-7510,2025-10-09,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,29914,M,315,0,4,7,11,Conforming,Approved,Approved,Approved - First Pass,2025-10-10 13:28:44.323,—,Elena Santos
LOTE-M-INJ-001-5549,WO-7511,2025-10-10,Shift 1,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,6047,L,200,0,0,1,1,Conforming,Approved,Approved,Approved - First Pass,2025-10-10 21:44:08.454,—,Ana Silva
LOTE-M-INJ-001-5550,WO-7513,2025-10-11,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,25668,M,315,1,1,15,17,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-10-12 02:51:56.623,Thread:1(Re=1),Ana Silva
LOTE-M-INJ-001-5551,WO-7515,2025-10-12,SHIFT 1,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,29967,M,315,0,1,9,10,Conforming,Approved,Approved,Approved - First Pass,2025-10-14 06:15:01.106,—,Elena Santos
LOTE-M-INJ-001-5552,WO-7517,2025-10-14,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,28735,M,315,3,2,4,9,Conforming,Rejected,Approved,Approved - Released on Deviation,2025-10-15 05:00:39.985,—,Elena Santos
LOTE-M-INJ-001-5553,WO-7518,2025-10-14,Shift 3,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,8948,L,200,0,0,2,2,Conforming,Approved,Approved,Approved - First Pass,2025-10-15 16:42:41.193,—,Ana Silva
LOTE-M-INJ-001-5554,WO-7520,2025-10-15,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,34649,M,315,0,5,0,5,Conforming,Approved,Approved,Approved - First Pass,2025-10-17 10:31:39.270,—,Beatriz Costa
LOTE-M-INJ-001-5555,WO-7523,2025-10-17,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,48681,M,315,1,5,12,18,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-10-19 05:27:37.608,Sealing:1(Re=1),Carlos Mendes
LOTE-M-INJ-001-5556,WO-7525,2025-10-19,Shift 1,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,29277,M,315,0,3,15,18,Conforming,Approved,Approved,Approved - First Pass,2025-10-20 13:30:36.065,—,Ana Silva
LOTE-M-INJ-001-5557,WO-7526,2025-10-20,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,12589,M,315,1,3,0,4,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-10-21 17:36:22.295,Thread:1(Re=1),Diogo Ferreira
LOTE-M-INJ-001-5558,WO-7527,2025-10-21,Shift 3,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,6263,L,200,0,2,0,2,Conforming,Approved,Approved,Approved - First Pass,2025-10-22 01:28:25.305,—,Beatriz Costa
LOTE-M-INJ-001-5559,WO-7528,2025-10-21,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,15720,M,315,0,0,4,4,Conforming,Approved,Approved,Approved - First Pass,2025-10-22 21:59:45.891,—,Elena Santos
LOTE-M-INJ-001-5560,WO-7530,2025-10-22,Shift 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,33204,M,315,0,4,11,15,Conforming,Approved,Approved,Approved - First Pass,2025-10-23 14:31:17.244,—,Diogo Ferreira
LOTE-M-INJ-001-5561,WO-7532,2025-10-24,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,27459,M,315,0,8,7,15,Conforming,Approved,Approved,Approved - First Pass,2025-10-25 07:49:08.033,—,Beatriz Costa
LOTE-M-INJ-001-5562,WO-7533,2025-10-24,Shift 3,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,13110,M,315,0,1,4,5,Conforming,Approved,Approved,Approved - First Pass,2025-10-26 11:51:39.572,—,Ana Silva
LOTE-M-INJ-001-5563,WO-7534,2025-10-25,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,20429,M,315,0,1,4,5,Conforming,Approved,Approved,Approved - First Pass,2025-10-27 07:13:39.266,—,Elena Santos
