NCId,Date,Type,Source,Area,Process,Category,Severity,RelatedRecordId
NC-00051,2025-12-27,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-008-2585
NC-00052,2026-01-21,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-002-2607
NC-00053,2026-01-24,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-005-2610
NC-00054,2026-01-27,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-008-2612
NC-00055,2026-03-20,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-002-2655
NC-00056,2026-05-05,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-008-2693
NC-00057,2026-06-14,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-008-2728
NC-00058,2026-06-29,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-005-2739
NC-00059,2026-07-14,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-005-2752
NC-00060,2026-07-28,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-005-2761
NC-00061,2026-08-20,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-008-2779
NC-00062,2026-10-01,Internal,Lot Concession/Deviation,Production,BLOW MOLDING,In-Process Quality Deviation,Major,LOTE-M-SOP-008-2816
NC-00063,2026-10-30,Internal,Lot Rejection,Production,  Blow Molding  ,In-Process Quality Deviation,Major,LOTE-M-SOP-008-2840
NC-00064,2026-12-11,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-002-2872
NC-00065,2026-12-24,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-005-2882
NC-00066,2025-07-09,Internal,Lot Rejection,Production,  Blow Molding  ,In-Process Quality Deviation,Major,LOTE-M-SOP-006-2896
NC-00067,2025-07-20,Internal,Lot Rework,Production,blow molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-021-2904
NC-00068,2025-07-27,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-025-2911
NC-00069,2025-07-29,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-009-2913
NC-00070,2025-08-04,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-009-2918
NC-00071,2025-08-06,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-006-2919
NC-00072,2025-08-13,Internal,Lot Rejection,Production,blow molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-2924
NC-00073,2025-08-14,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-006-2925
NC-00074,2025-08-18,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-009-2930
NC-00075,2025-08-22,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-2935
NC-00076,2025-08-28,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-025-2938
NC-00077,2025-09-09,Internal,Lot Rework,Production,blow molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-006-2947
NC-00078,2025-09-10,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-2948
NC-00079,2025-09-13,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-021-2950
NC-00080,2025-09-15,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-025-2951
NC-00081,2025-09-17,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-009-2952
NC-00082,2025-09-20,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-2954
NC-00083,2025-10-12,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-2973
NC-00084,2025-10-18,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-006-2981
NC-00085,2025-10-23,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-025-2984
NC-00086,2025-10-29,Internal,Lot Concession/Deviation,Production,blow molding,In-Process Quality Deviation,Major,LOTE-M-SOP-021-2988
NC-00087,2025-11-04,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-003-2992
NC-00088,2025-11-25,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-3012
NC-00089,2025-11-29,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-3015
NC-00090,2025-12-01,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-003-3018
NC-00091,2025-12-02,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-3019
NC-00092,2025-12-07,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-009-3022
NC-00093,2025-12-12,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-021-3025
NC-00094,2025-12-18,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-025-3030
NC-00095,2025-12-24,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-021-3036
NC-00096,2025-12-30,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-021-3041
NC-00097,2025-12-31,Internal,Lot Rejection,Production,blow molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3043
NC-00098,2026-01-05,Internal,Lot Concession/Deviation,Production,blow molding,In-Process Quality Deviation,Major,LOTE-M-SOP-009-3049
NC-00099,2026-01-09,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-009-3052
NC-00100,2026-01-17,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-025-3057
NC-00101,2026-01-19,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3059
NC-00102,2026-01-26,Internal,Lot Rejection,Production,blow molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-3065
NC-00103,2026-02-05,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-3072
NC-00104,2026-02-12,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-003-3077
NC-00105,2026-02-20,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-009-3086
NC-00106,2026-02-21,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3087
NC-00107,2026-02-24,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-003-3089
NC-00108,2026-03-02,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-003-3092
NC-00109,2026-03-10,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-009-3099
NC-00110,2026-03-19,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-3106
NC-00111,2026-03-20,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-009-3107
NC-00112,2026-03-22,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3108
NC-00113,2026-04-02,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-009-3115
NC-00114,2026-04-23,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-3130
NC-00115,2026-04-25,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3131
NC-00116,2026-04-26,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-021-3132
NC-00117,2026-04-27,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3133
NC-00118,2026-05-05,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-025-3139
NC-00119,2026-05-06,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-3140
NC-00120,2026-05-12,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-006-3144
NC-00121,2026-05-17,Internal,Lot Rejection,Production,  Blow Molding  ,In-Process Quality Deviation,Major,LOTE-M-SOP-003-3147
NC-00122,2026-05-22,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-003-3151
NC-00123,2026-05-27,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-009-3155
NC-00124,2026-05-29,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-021-3156
NC-00125,2026-06-05,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-009-3162
NC-00126,2026-06-07,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3163
NC-00127,2026-06-13,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3169
NC-00128,2026-06-17,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-009-3172
NC-00129,2026-06-20,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-006-3174
NC-00130,2026-07-04,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3185
NC-00131,2026-07-07,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-009-3187
NC-00132,2026-07-08,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-003-3188
NC-00133,2026-07-14,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-006-3191
NC-00134,2026-07-31,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-021-3204
NC-00135,2026-08-06,Internal,Lot Rejection,Production,BLOW MOLDING,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3209
NC-00136,2026-08-06,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-009-3210
NC-00137,2026-08-12,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-009-3213
NC-00138,2026-08-13,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-021-3214
NC-00139,2026-08-14,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-009-3216
NC-00140,2026-08-22,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-003-3224
NC-00141,2026-08-27,Internal,Lot Rejection,Production,  Blow Molding  ,In-Process Quality Deviation,Minor,LOTE-M-SOP-006-3229
NC-00142,2026-08-31,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-003-3231
NC-00143,2026-09-03,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-009-3233
NC-00144,2026-09-05,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-3234
NC-00145,2026-09-07,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-009-3235
NC-00146,2026-09-09,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-003-3236
NC-00147,2026-09-18,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-3241
NC-00148,2026-09-28,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3248
NC-00149,2026-09-30,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-021-3250
NC-00150,2026-10-01,Internal,Lot Rejection,Production,blow molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-021-3251
NC-00151,2026-10-05,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3253
NC-00152,2026-10-06,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-003-3254
NC-00153,2026-10-08,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-003-3255
NC-00154,2026-10-16,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3262
NC-00155,2026-10-20,Internal,Lot Rejection,Production,  Blow Molding  ,In-Process Quality Deviation,Major,LOTE-M-SOP-009-3266
NC-00156,2026-10-25,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-009-3270
NC-00157,2026-10-26,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-3271
NC-00158,2026-11-03,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-003-3279
NC-00159,2026-11-08,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-021-3282
NC-00160,2026-11-10,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-009-3283
NC-00161,2026-11-13,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-009-3285
NC-00162,2026-11-18,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3289
NC-00163,2026-11-20,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-009-3290
NC-00164,2026-11-22,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-021-3292
NC-00165,2026-11-27,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-003-3295
NC-00166,2026-11-30,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-003-3297
NC-00167,2026-12-02,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-009-3298
NC-00168,2026-12-04,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-021-3300
NC-00169,2026-12-07,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-006-3302
NC-00170,2026-12-09,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-3303
NC-00171,2026-12-11,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3304
NC-00172,2026-12-13,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-025-3305
NC-00173,2026-12-30,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-006-3320
NC-00174,2025-07-21,Internal,Lot Rejection,Production,blow molding,In-Process Quality Deviation,Major,LOTE-M-SOP-012-3338
NC-00175,2025-07-26,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-012-3342
NC-00176,2025-08-22,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-026-3366
NC-00177,2025-09-05,Internal,Lot Rework,Production,BLOW MOLDING,In-Process Quality Deviation,Major,LOTE-M-SOP-004-3375
NC-00178,2025-10-03,Internal,Lot Rejection,Production,blow molding,In-Process Quality Deviation,Major,LOTE-M-SOP-012-3395
NC-00179,2025-10-08,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-026-3400
NC-00180,2025-10-22,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-029-3413
NC-00181,2025-11-02,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-029-3421
NC-00182,2025-11-26,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-029-3439
NC-00183,2026-01-28,Internal,Lot Rework,Production,BLOW MOLDING,In-Process Quality Deviation,Major,LOTE-M-SOP-004-3486
NC-00184,2026-02-24,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-026-3507
NC-00185,2026-03-08,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-004-3515
NC-00186,2026-04-09,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-029-3539
NC-00187,2026-06-04,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-012-3583
NC-00188,2026-08-01,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-004-3626
NC-00189,2026-08-15,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-012-3635
NC-00190,2026-10-17,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-029-3683
NC-00191,2026-11-18,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-026-3709
NC-00192,2026-12-22,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-026-3733
NC-00193,2026-12-30,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-004-3739
NC-00194,2025-09-26,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-027-3807
NC-00195,2025-10-05,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-013-3814
NC-00196,2025-10-21,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-010-3826
NC-00197,2025-11-17,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-010-3847
NC-00198,2025-12-21,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-023-3874
NC-00199,2026-01-09,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-013-3890
NC-00200,2026-01-11,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-027-3892
NC-00201,2026-01-31,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-023-3907
NC-00202,2026-02-03,Internal,Lot Rejection,Production,blow molding,In-Process Quality Deviation,Major,LOTE-M-SOP-023-3909
NC-00203,2026-02-09,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-013-3912
NC-00204,2026-02-18,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-010-3918
NC-00205,2026-02-21,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-023-3922
NC-00206,2026-05-03,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-010-3979
NC-00207,2026-06-17,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-027-4015
NC-00208,2026-08-27,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-013-4067
