ComplaintId,Date,CustomerId,ProductFamily,Process,ProductId,WorkOrder,LotId,DefectType,Severity,QtyAffected,Status,ResolutionDate,SalesOrderId
CC-20012,2026-05-21,CUST-006,Bottle,Blow Molding,FR-008-rPET-350,WO-2237,2617331020223737,Missing or Illegible Label,Major,45,Closed,2026-06-21,SO-10966
CC-20013,2026-07-10,CUST-001,Bottle,Blow Molding,FR-005-rPET-330,WO-2319,2625211020231920,Wall Thickness Out of Specification,Critical,48,Closed,2026-08-05,SO-11028
CC-20014,2026-07-12,CUST-009,Bottle,Blow Molding,FR-005-rPET-330,WO-2336,2626521020233637,Deformation/Collapsed Bottle,Major,93,Closed,2026-08-08,SO-11043
CC-20015,2026-09-26,CUST-004,Bottle,  Blow Molding  ,FR-008-rPET-350,WO-2427,2635731020242729,Late Delivery,Major,20,Closed,2026-09-30,SO-11110
CC-20016,2026-10-17,CUST-005,Bottle,Blow Molding,FR-002-HDPE-PCR-300,WO-2478,2640711020247880,Short Shipment (Quantity Shortfall),Major,58,Open,,SO-11154
CC-20017,2026-10-29,CUST-008,Bottle,Blow Molding,FR-002-HDPE-PCR-300,WO-2497,2642631020249799,Wall Thickness Out of Specification,Major,6,Closed,2026-11-07,SO-11172
CC-20018,2025-08-18,CUST-008,Bottle,BLOW MOLDING,FR-006-rPET-330,WO-2661,2532331030266155,Wrong Product Shipped,Major,17,Closed,2025-09-12,SO-11291
CC-20019,2025-10-02,CUST-012,Bottle,Blow Molding,FR-025-PET-1000,WO-2721,2538121030272116,Foreign Material / Contamination,Critical,9,Closed,2025-11-01,SO-11333
CC-20020,2025-10-08,CUST-012,Bottle,Blow Molding,FR-009-HDPE-PCR-350,WO-2723,2538221030272318,Weight Out of Specification,Minor,44,Closed,2025-10-28,SO-11335
CC-20021,2025-10-17,CUST-008,Bottle,Blow Molding,FR-025-PET-1000,WO-2742,2540211030274237,Short Shipment (Quantity Shortfall),Major,57,Closed,2025-11-02,SO-11354
CC-20022,2025-10-21,CUST-003,Bottle,Blow Molding,FR-009-PET-350,WO-2745,2540411030274540,Late Delivery,Minor,36,Closed,2025-11-01,SO-11356
CC-20023,2025-10-31,CUST-008,Bottle,Blow Molding,FR-009-PETG-350,WO-2753,2541331030275348,Foreign Material / Contamination,Minor,18,Closed,2025-11-05,SO-11364
CC-20024,2025-10-31,CUST-004,Bottle,Blow Molding,FR-021-rPET-750,WO-2757,2541521030275752,Late Delivery,Major,8,Closed,2025-11-24,SO-11368
CC-20025,2025-11-05,CUST-003,Bottle,Blow Molding,FR-025-PET-1000,WO-2765,2542431030276560,Late Delivery,Major,28,Open,,SO-11374
CC-20026,2025-11-03,CUST-008,Bottle,  Blow Molding  ,FR-006-rPET-330,WO-2773,2543231030277368,Weight Out of Specification,Critical,39,Closed,2025-11-26,SO-11380
CC-20027,2025-12-07,CUST-013,Bottle,Blow Molding,FR-025-PET-1000,WO-2811,2547211030281107,Foreign Material / Contamination,Major,63,Closed,2025-12-13,SO-11405
CC-20028,2025-12-04,CUST-012,Bottle,Blow Molding,FR-025-PET-1000,WO-2818,2547721030281814,Foreign Material / Contamination,Major,36,Closed,2026-01-02,SO-11410
CC-20029,2026-04-01,CUST-007,Bottle,Blow Molding,FR-021-rPET-750,WO-2981,2611731030298178,Wall Thickness Out of Specification,Major,8,Closed,2026-04-14,SO-11523
CC-20030,2026-04-22,CUST-010,Bottle,Blow Molding,FR-006-rPET-330,WO-3000,2613631030300097,Wrong Product Shipped,Minor,39,Closed,2026-05-18,SO-11535
CC-20031,2026-04-16,CUST-006,Bottle,Blow Molding,FR-025-PET-1000,WO-3009,2614631030300907,Deformation/Collapsed Bottle,Minor,41,Closed,2026-05-02,SO-11538
CC-20032,2026-04-15,CUST-001,Bottle,Blow Molding,FR-009-HDPE-350,WO-3013,2615211030301311,Foreign Material / Contamination,Minor,51,Closed,2026-05-07,SO-11541
CC-20033,2026-05-04,CUST-014,Bottle,Blow Molding,FR-006-rPET-330,WO-3016,2615411030301614,Wall Thickness Out of Specification,Critical,28,Closed,2026-05-12,SO-11544
CC-20034,2026-05-13,CUST-014,Bottle,Blow Molding,FR-009-PET-350,WO-3051,2619111030305149,Late Delivery,Minor,22,Closed,2026-05-19,SO-11571
CC-20035,2026-05-26,CUST-012,Bottle,Blow Molding,FR-003-rPET-300,WO-3060,2619721030306058,Late Delivery,Minor,36,Closed,2026-06-19,SO-11576
CC-20036,2026-06-19,CUST-007,Bottle,Blow Molding,FR-025-PET-1000,WO-3089,2622621030308987,Deformation/Collapsed Bottle,Major,33,Closed,2026-07-03,SO-11593
CC-20037,2026-06-28,CUST-001,Bottle,Blow Molding,FR-006-rPET-330,WO-3091,2623111030309189,Wrong Product Shipped,Minor,39,Open,,SO-11595
CC-20038,2026-08-02,CUST-013,Bottle,Blow Molding,FR-025-PET-1000,WO-3172,2631111030317271,Deformation/Collapsed Bottle,Critical,30,Closed,2026-08-18,SO-11648
CC-20039,2026-09-02,CUST-002,Bottle,Blow Molding,FR-021-rPET-750,WO-3213,2635131030321313,Foreign Material / Contamination,Major,36,Closed,2026-09-28,SO-11677
CC-20040,2026-09-18,CUST-009,Bottle,Blow Molding,FR-021-rPET-750,WO-3214,2635121030321414,Short Shipment (Quantity Shortfall),Critical,34,Open,,SO-11678
CC-20041,2026-12-05,CUST-003,Bottle,Blow Molding,FR-006-rPET-330,WO-3348,2648231030334849,Short Shipment (Quantity Shortfall),Minor,40,Closed,2026-12-18,SO-11752
CC-20042,2026-12-06,CUST-004,Bottle,Blow Molding,FR-006-rPET-330,WO-3349,2648231030334950,Bottle Leaking,Major,14,Closed,2026-12-29,SO-11753
CC-20043,2026-12-04,CUST-006,Bottle,Blow Molding,FR-003-rPET-300,WO-3351,2648411030335152,Bottle Leaking,Major,49,Closed,2027-01-01,SO-11755
CC-20044,2025-10-04,CUST-005,Bottle,Blow Molding,FR-012-PET-400,WO-3531,2539621040353132,Missing or Illegible Label,Critical,2,Closed,2025-11-06,SO-11876
CC-20045,2025-10-25,CUST-002,Bottle,Blow Molding,FR-029-MDPE-5000,WO-3550,2541511040355051,Short Shipment (Quantity Shortfall),Major,12,Closed,2025-11-11,SO-11888
CC-20046,2025-11-16,CUST-012,Bottle,Blow Molding,FR-029-MDPE-5000,WO-3581,2544531040358182,Missing or Illegible Label,Minor,5,Closed,2025-12-10,SO-11913
CC-20047,2025-11-15,CUST-012,Bottle,Blow Molding,FR-029-MDPE-5000,WO-3587,2545121040358788,Weight Out of Specification,Minor,8,Closed,2025-11-23,SO-11919
CC-20048,2026-06-17,CUST-012,Bottle,Blow Molding,FR-026-HDPE-4000,WO-3890,2622221040389094,Bottle Leaking,Minor,4,Closed,2026-07-15,SO-12170
CC-20049,2026-07-24,CUST-001,Bottle,Blow Molding,FR-026-HDPE-4000,WO-3955,2628721040395560,Deformation/Collapsed Bottle,Major,4,Closed,2026-08-07,SO-12224
CC-20050,2026-09-10,CUST-007,Bottle,Blow Molding,FR-029-MDPE-5000,WO-4023,2635411040402329,Foreign Material / Contamination,Major,3,Closed,2026-09-13,SO-12276
CC-20051,2025-08-20,CUST-008,Bottle,Blow Molding,FR-023-HDPE-1000,WO-4250,2532221050425049,Missing or Illegible Label,Minor,59,Open,,SO-12455
CC-20052,2025-08-23,CUST-003,Bottle,Blow Molding,FR-010-PET-400,WO-4254,2532511050425453,Weight Out of Specification,Critical,3,Closed,2025-09-11,SO-12457
CC-20053,2025-08-18,CUST-003,Bottle,Blow Molding,FR-023-HDPE-1000,WO-4262,2533531050426261,Foreign Material / Contamination,Minor,41,Closed,2025-08-21,SO-12465
CC-20054,2025-10-10,CUST-013,Bottle,Blow Molding,FR-010-PET-400,WO-4300,2537511050430099,Missing or Illegible Label,Minor,127,Closed,2025-10-31,SO-12499
CC-20055,2025-10-09,CUST-001,Bottle,Blow Molding,FR-023-rPET-1000,WO-4318,2539321050431818,Missing or Illegible Label,Critical,-18,Closed,2025-10-28,SO-12512
CC-20056,2025-10-13,CUST-008,Bottle,Blow Molding,FR-027-HDPE-5000,WO-4328,2540321050432828,Weight Out of Specification,Critical,3,Open,,SO-12518
CC-20057,2025-12-15,CUST-011,Bottle,blow molding,FR-023-rPET-1000,WO-4396,2547321050439696,Missing or Illegible Label,Major,28,Closed,2026-01-13,SO-12569
CC-20058,2026-04-17,CUST-014,Bottle,Blow Molding,FR-027-HDPE-5000,WO-4586,2615311050458688,Weight Out of Specification,Critical,1,Closed,2026-04-28,SO-12718
CC-20059,2026-07-26,CUST-007,Bottle,Blow Molding,FR-023-HDPE-1000,WO-4711,2628311050471115,Wall Thickness Out of Specification,Minor,41,Closed,2026-07-31,SO-12821
CC-20060,2026-08-03,CUST-006,Bottle,Blow Molding,FR-027-HDPE-5000,WO-4729,2630221050472933,Deformation/Collapsed Bottle,Major,6,Closed,2026-09-05,SO-12837
CC-20061,2026-08-19,CUST-010,Bottle,Blow Molding,FR-027-HDPE-5000,WO-4732,2630511050473236,Bottle Leaking,Minor,13,Closed,2026-09-01,SO-12840
CC-20062,2026-09-04,CUST-008,Bottle,BLOW MOLDING,FR-010-PET-400,WO-4763,2634131050476367,Deformation/Collapsed Bottle,Critical,54,Closed,2026-09-22,SO-12866
CC-20063,2026-10-31,CUST-007,Bottle,Blow Molding,FR-023-rPET-1000,WO-4844,2642211050484449,Wrong Product Shipped,Major,4,Closed,2026-11-15,SO-12936
CC-20064,2026-11-28,CUST-003,Bottle,Blow Molding,FR-010-PET-400,WO-4887,2646721050488792,Late Delivery,Major,59,Closed,2026-12-22,SO-12970
CC-20065,2026-12-24,CUST-011,Bottle,Blow Molding,FR-027-HDPE-5000,WO-4917,2650111050491723,Late Delivery,Critical,3,Closed,2027-01-23,SO-12995
CC-20066,2025-09-05,CUST-001,Bottle,Blow Molding,FR-014-PETG-500,WO-5029,2535211060502981,Short Shipment (Quantity Shortfall),Minor,62,Closed,2025-09-23,SO-13081
CC-20067,2025-12-05,CUST-001,Bottle,Blow Molding,FR-024-PET-1000,WO-5137,2545631060513790,Bottle Leaking,Critical,2,Closed,2025-12-23,SO-13167
CC-20068,2025-12-09,CUST-004,Bottle,Blow Molding,FR-014-PETG-500,WO-5152,2547321060515206,Bottle Leaking,Major,40,Closed,2026-01-04,SO-13181
CC-20069,2025-12-24,CUST-009,Bottle,Blow Molding,FR-024-PET-1000,WO-5180,2550111060518034,Deformation/Collapsed Bottle,Critical,46,Closed,2026-01-11,SO-13204
CC-20070,2025-12-29,CUST-004,Bottle,Blow Molding,FR-018-LDPE-600,WO-5197,2551731060519751,Missing or Illegible Label,Minor,26,Open,,SO-13216
CC-20071,2026-01-25,CUST-010,Bottle,Blow Molding,FR-018-MDPE-600,WO-5222,2602331060522276,Bottle Leaking,Critical,110,Closed,2026-01-29,SO-13237
CC-20072,2026-02-09,CUST-003,Bottle,blow molding,FR-028-HDPE-5000,WO-5248,2604611060524803,Deformation/Collapsed Bottle,Critical,8,Closed,2026-02-28,SO-13257
CC-20073,2026-03-01,CUST-005,Bottle,Blow Molding,FR-018-PET-600,WO-5261,2605711060526116,Deformation/Collapsed Bottle,Major,105,Closed,2026-03-29,SO-13269
CC-20074,2026-03-30,CUST-004,Bottle,Blow Molding,FR-024-PET-1000,WO-5329,2612531060532984,Wall Thickness Out of Specification,Minor,20,Open,,SO-13320
CC-20075,2026-07-02,CUST-014,Bottle,BLOW MOLDING,FR-028-HDPE-5000,WO-5463,2625411060546320,Deformation/Collapsed Bottle,Minor,5,Closed,2026-07-15,SO-13425
CC-20076,2026-07-25,CUST-003,Bottle,Blow Molding,FR-011-PET-400,WO-5493,2628221060549350,Deformation/Collapsed Bottle,Critical,68,Closed,2026-07-28,SO-13448
CC-20077,2026-08-15,CUST-004,Bottle,Blow Molding,FR-028-HDPE-5000,WO-5517,2630531060551774,Bottle Leaking,Major,6,Open,,SO-13468
CC-20078,2026-08-20,CUST-004,Bottle,Blow Molding,FR-014-PP-500,WO-5530,2631731060553087,Missing or Illegible Label,Major,7,Closed,2026-09-05,SO-13479
CC-20079,2026-10-23,CUST-010,Bottle,blow molding,FR-011-PET-400,WO-5636,2642211060563694,Missing or Illegible Label,Critical,36,Open,,SO-13566
CC-20080,2026-12-04,CUST-009,Bottle,BLOW MOLDING,FR-014-rPET-500,WO-5672,2645521060567231,Weight Out of Specification,Critical,41,Closed,2026-12-11,SO-13594
CC-20081,2026-12-05,CUST-013,Bottle,  Blow Molding  ,FR-014-PETG-500,WO-5695,2648131060569554,Foreign Material / Contamination,Critical,9,Closed,2026-12-22,SO-13613
CC-20082,2025-09-21,CUST-005,Bottle,Blow Molding,FR-017-HDPE-600,WO-5829,2535231070582982,Missing or Illegible Label,Critical,14,Closed,2025-10-10,SO-13709
CC-20083,2025-09-21,CUST-003,Bottle,blow molding,FR-020-HDPE-750,WO-5850,2537221070585004,Wall Thickness Out of Specification,Major,26,Closed,2025-10-08,SO-13725
CC-20084,2025-11-11,CUST-009,Bottle,Blow Molding,FR-017-PP-PCR-600,WO-5927,2544421070592781,Missing or Illegible Label,Major,31,Open,,SO-13794
CC-20085,2025-11-21,CUST-012,Bottle,Blow Molding,FR-020-PP-750,WO-5950,2546521070595005,Short Shipment (Quantity Shortfall),Major,4,Closed,2025-12-02,SO-13815
CC-20086,2025-12-14,CUST-005,Bottle,Blow Molding,FR-015-HDPE-PCR-500,WO-5969,2548411070596924,Wrong Product Shipped,Minor,7,Closed,2025-12-21,SO-13831
CC-20087,2026-02-07,CUST-009,Bottle,Blow Molding,FR-017-PP-PCR-600,WO-6052,2604421070605208,Wall Thickness Out of Specification,Major,129,Closed,2026-03-09,SO-13893
CC-20088,2026-02-13,CUST-002,Bottle,Blow Molding,FR-017-PP-PCR-600,WO-6055,2604621070605511,Deformation/Collapsed Bottle,Critical,49,Closed,2026-03-16,SO-13896
CC-20089,2026-02-11,CUST-004,Bottle,Blow Molding,FR-002-HDPE-PCR-300,WO-6060,2605311070606016,Wrong Product Shipped,Major,50,Closed,2026-03-02,SO-13901
CC-20090,2026-06-06,CUST-012,Bottle,  Blow Molding  ,FR-015-HDPE-PCR-500,WO-6219,2620621070621976,Deformation/Collapsed Bottle,Critical,62,Open,,SO-14033
CC-20091,2026-06-29,CUST-012,Bottle,Blow Molding,FR-017-PP-600,WO-6258,2624421070625816,Wrong Product Shipped,Major,36,Closed,2026-07-28,SO-14068
CC-20092,2026-07-31,CUST-005,Bottle,Blow Molding,FR-020-rPET-750,WO-6304,2628731070630462,Late Delivery,Major,38,Closed,2026-08-28,SO-14104
CC-20093,2026-09-18,CUST-005,Bottle,Blow Molding,FR-017-HDPE-600,WO-6375,2635631070637534,Bottle Leaking,Minor,44,Closed,2026-09-26,SO-14160
CC-20094,2026-09-23,CUST-012,Bottle,Blow Molding,FR-017-rPET-600,WO-6406,2638521070640665,Deformation/Collapsed Bottle,Minor,85,Open,,SO-14188
CC-20095,2026-10-23,CUST-010,Bottle,  Blow Molding  ,FR-002-HDPE-PCR-300,WO-6418,2639621070641877,Bottle Leaking,Major,65,Closed,2026-11-21,SO-14198
CC-20096,2025-08-24,CUST-009,Bottle,Blow Molding,FR-022-PVC-1000,WO-6623,2533121080662360,Wrong Product Shipped,Major,42,Open,,SO-14351
CC-20097,2025-12-10,CUST-009,Bottle,Blow Molding,FR-016-HDPE-600,WO-6765,2547221080676504,Wrong Product Shipped,Major,78,Closed,2025-12-23,SO-14464
CC-20098,2025-12-30,CUST-013,Bottle,Blow Molding,FR-022-PETG-1000,WO-6803,2551111080680342,Late Delivery,Critical,30,Closed,2026-01-03,SO-14494
CC-20099,2026-03-11,CUST-012,Bottle,Blow Molding,FR-022-HDPE-1000,WO-6901,2608531080690141,Foreign Material / Contamination,Major,11,Closed,2026-03-25,SO-14565
CC-20100,2026-03-26,CUST-005,Bottle,Blow Molding,FR-022-PETG-1000,WO-6916,2610111080691656,Bottle Leaking,Critical,22,Closed,2026-04-26,SO-14575
CC-20101,2026-03-19,CUST-002,Bottle,Blow Molding,FR-019-PP-750,WO-6930,2611331080693070,Foreign Material / Contamination,Major,177,Closed,2026-03-31,SO-14585
CC-20102,2026-11-04,CUST-014,Bottle,Blow Molding,FR-019-PP-750,WO-7248,2642121080724891,Missing or Illegible Label,Major,6,Closed,2026-11-11,SO-14829
CC-20103,2026-11-13,CUST-007,Bottle,Blow Molding,FR-019-HDPE-600,WO-7255,2642631080725598,Missing or Illegible Label,Major,5,Closed,2026-12-17,SO-14833
CC-20104,2026-11-24,CUST-013,Bottle,Blow Molding,FR-016-HDPE-600,WO-7280,2645411080728024,Wrong Product Shipped,Major,41,Closed,2026-12-26,SO-14852
CC-20105,2026-12-20,CUST-011,Bottle,Blow Molding,FR-022-HDPE-1000,WO-7316,2649231080731660,Wall Thickness Out of Specification,Major,175,Closed,2026-12-25,SO-14885
CC-20106,2026-06-21,CUST-006,Cap,Injection Molding,TR-001-PP-24410,WO-7869,2623322010786914,Torque Too High,Major,59,Closed,2026-07-22,SO-15273
CC-20107,2026-09-07,CUST-001,Cap,Injection Molding,TR-001-PP-PCR-24410,WO-7989,2634532010798935,Wrong Product Shipped,Critical,238,Closed,2026-09-22,SO-15359
CC-20108,2026-10-27,CUST-001,Cap,Injection Molding,TR-001-HDPE-24410,WO-8073,2642312010807320,Incorrect Color,Minor,157,Closed,2026-11-27,SO-15413
CC-20109,2026-12-17,CUST-012,Cap,Injection Molding,TR-001-HDPE-24410,WO-8139,2648532010813986,Broken/Cracked Cap,Minor,152,Closed,2027-01-14,SO-15458
CC-20110,2025-07-18,CUST-008,Cap,Injection Molding,TR-002-PP-PCR-24410,WO-8190,2527222020819002,Broken/Cracked Cap,Major,36,Open,,SO-15492
CC-20111,2025-08-09,CUST-001,Cap,Injection Molding,TR-002-PP-PCR-24410,WO-8210,2529112020821022,Missing or Illegible Label,Major,67,Open,,SO-15504
CC-20112,2025-08-08,CUST-004,Cap,Injection Molding,TR-002-PP-24410,WO-8211,2529232020821123,Missing or Illegible Label,Minor,42,Closed,2025-09-10,SO-15505
CC-20113,2025-08-15,CUST-002,Cap,injection molding,TR-002-HDPE-24410,WO-8234,2531412020823446,Cap Back-off (Reopens After Closing / Torque Retention Failure),Critical,179,Closed,2025-09-18,SO-15526
CC-20114,2025-08-20,CUST-002,Cap,Injection Molding,TR-002-PETG-24410,WO-8245,2532522020824557,Wrong Product Shipped,Critical,136,Closed,2025-08-31,SO-15529
CC-20115,2025-08-23,CUST-001,Cap,Injection Molding,TR-002-PP-PCR-24410,WO-8247,2532712020824759,Wrong Product Shipped,Critical,6,Closed,2025-09-20,SO-15531
CC-20116,2025-09-13,CUST-003,Cap,  Injection Molding  ,TR-002-PP-24410,WO-8262,2534332020826274,Torque Too High,Critical,57,Closed,2025-09-19,SO-15542
CC-20117,2025-09-27,CUST-011,Cap,Injection Molding,TR-002-PP-PCR-24410,WO-8277,2535512020827789,Broken/Cracked Cap,Major,53,Open,,SO-15551
CC-20118,2025-10-08,CUST-005,Cap,Injection Molding,TR-002-PP-PCR-24410,WO-8306,2538322020830619,Missing or Illegible Label,Minor,59,Closed,2025-10-12,SO-15565
CC-20119,2025-10-28,CUST-003,Cap,Injection Molding,TR-002-PP-PCR-24410,WO-8325,2540122020832538,Cap Back-off (Reopens After Closing / Torque Retention Failure),Minor,6,Closed,2025-11-13,SO-15578
CC-20120,2025-11-03,CUST-009,Cap,Injection Molding,TR-002-HDPE-24410,WO-8353,2542512020835366,Late Delivery,Major,10,Closed,2025-11-22,SO-15597
CC-20121,2025-12-04,CUST-006,Cap,Injection Molding,TR-002-PP-24410,WO-8407,2547222020840721,Broken/Cracked Cap,Minor,71,Closed,2025-12-21,SO-15628
CC-20122,2025-12-14,CUST-001,Cap,Injection Molding,TR-002-PETG-24410,WO-8410,2547422020841024,Broken/Cracked Cap,Major,133,Open,,SO-15631
CC-20123,2025-12-03,CUST-010,Cap,Injection Molding,TR-002-PP-24410,WO-8412,2547612020841226,Incorrect Color,Critical,48,Closed,2025-12-22,SO-15633
CC-20124,2025-12-22,CUST-013,Cap,Injection Molding,TR-002-PP-24410,WO-8427,2549212020842741,Incorrect Color,Major,-76,Closed,2026-01-13,SO-15647
CC-20125,2025-12-13,CUST-006,Cap,Injection Molding,TR-002-PP-PCR-24410,WO-8430,2549432020843044,Broken/Cracked Cap,Minor,247,Closed,2026-01-08,SO-15650
CC-20126,2025-12-29,CUST-011,Cap,Injection Molding,TR-002-HDPE-24410,WO-8446,2551232020844660,Late Delivery,Major,15,Closed,2026-01-01,SO-15658
CC-20127,2026-01-30,CUST-012,Cap,Injection Molding,TR-002-PP-PCR-24410,WO-8483,2602412020848397,Late Delivery,Critical,77,Closed,2026-02-07,SO-15691
CC-20128,2026-02-04,CUST-005,Cap,Injection Molding,TR-002-PETG-24410,WO-8491,2603332020849106,Torque Too Low,Major,40,Closed,2026-02-07,SO-15694
CC-20129,2026-02-12,CUST-010,Cap,Injection Molding,TR-002-PETG-24410,WO-8512,2605322020851227,Late Delivery,Minor,134,Closed,2026-03-04,SO-15710
CC-20130,2026-03-01,CUST-014,Cap,Injection Molding,TR-002-PP-24410,WO-8531,2606722020853146,Torque Too Low,Major,112,Closed,2026-03-06,SO-15721
CC-20131,2026-03-27,CUST-003,Cap,Injection Molding,TR-002-PP-PCR-24410,WO-8566,2610432020856681,Late Delivery,Major,175,Open,,SO-15743
CC-20132,2026-04-02,CUST-002,Cap,Injection Molding,TR-002-PP-24410,WO-8581,2612132020858196,Broken/Cracked Cap,Critical,86,Closed,2026-05-01,SO-15756
CC-20133,2026-04-26,CUST-009,Cap,Injection Molding,TR-002-HDPE-24410,WO-8603,2614212020860319,Late Delivery,Critical,133,Closed,2026-04-30,SO-15768
CC-20134,2026-04-19,CUST-009,Cap,Injection Molding,TR-002-PETG-24410,WO-8609,2614612020860925,Torque Too Low,Critical,21,Open,,SO-15772
CC-20135,2026-04-20,CUST-006,Cap,injection molding,TR-002-HDPE-24410,WO-8617,2615332020861733,Torque Too Low,Major,107,Open,,SO-15779
CC-20136,2026-04-23,CUST-010,Cap,Injection Molding,TR-002-HDPE-24410,WO-8621,2615622020862137,Broken/Cracked Cap,Minor,33,Closed,2026-04-30,SO-15780
CC-20137,2026-05-12,CUST-003,Cap,Injection Molding,TR-002-PETG-24410,WO-8649,2618332020864965,Wrong Product Shipped,Major,120,Closed,2026-06-10,SO-15800
CC-20138,2026-05-27,CUST-014,Cap,Injection Molding,TR-002-PETG-24410,WO-8659,2619332020865975,Torque Too Low,Minor,64,Closed,2026-06-12,SO-15809
CC-20139,2026-05-28,CUST-006,Cap,Injection Molding,TR-002-PETG-24410,WO-8669,2620322020866985,Short Shipment (Quantity Shortfall),Minor,141,Closed,2026-06-23,SO-15817
CC-20140,2026-06-01,CUST-005,Cap,Injection Molding,TR-002-PETG-24410,WO-8670,2620422020867086,Torque Too High,Critical,77,Closed,2026-06-12,SO-15818
CC-20141,2026-06-01,CUST-011,Cap,Injection Molding,TR-002-HDPE-24410,WO-8677,2621232020867793,Broken/Cracked Cap,Major,34,Open,,SO-15825
CC-20142,2026-07-21,CUST-009,Cap,Injection Molding,TR-002-PP-PCR-24410,WO-8754,2628322020875471,Wrong Product Shipped,Minor,77,Closed,2026-07-29,SO-15863
CC-20143,2026-08-01,CUST-002,Cap,Injection Molding,TR-002-HDPE-24410,WO-8755,2628422020875572,Broken/Cracked Cap,Major,94,Closed,2026-08-14,SO-15864
CC-20144,2026-08-06,CUST-009,Cap,Injection Molding,TR-002-PETG-24410,WO-8786,2631312020878604,Incorrect Color,Critical,37,Closed,2026-08-11,SO-15886
CC-20145,2026-08-20,CUST-011,Cap,Injection Molding,TR-002-PP-24410,WO-8796,2632212020879614,Late Delivery,Critical,166,Closed,2026-09-01,SO-15890
CC-20146,2026-09-01,CUST-014,Cap,Injection Molding,TR-002-PETG-24410,WO-8816,2634122020881634,Broken/Cracked Cap,Minor,4,Closed,2026-09-13,SO-15900
CC-20147,2026-09-16,CUST-013,Cap,Injection Molding,TR-002-PETG-24410,WO-8822,2634632020882240,Late Delivery,Minor,95,Closed,2026-10-16,SO-15903
CC-20148,2026-09-09,CUST-001,Cap,Injection Molding,TR-002-PP-PCR-24410,WO-8827,2635332020882745,Missing or Illegible Label,Major,3,Closed,2026-10-07,SO-15905
CC-20149,2026-09-26,CUST-002,Cap,Injection Molding,TR-002-PETG-24410,WO-8843,2636522020884361,Missing or Illegible Label,Critical,-4,Closed,2026-09-30,SO-15915
CC-20150,2026-09-11,CUST-007,Cap,Injection Molding,TR-002-PETG-24410,WO-8844,2636612020884462,Cap Back-off (Reopens After Closing / Torque Retention Failure),Critical,29,Closed,2026-09-16,SO-15916
CC-20151,2026-09-22,CUST-012,Cap,Injection Molding,TR-002-PETG-24410,WO-8860,2638132020886078,Missing or Illegible Label,Major,78,Closed,2026-10-20,SO-15925
CC-20152,2026-10-01,CUST-002,Cap,Injection Molding,TR-002-PETG-24410,WO-8861,2638212020886179,Torque Too High,Critical,126,Closed,2026-10-27,SO-15926
CC-20153,2026-10-18,CUST-010,Cap,Injection Molding,TR-002-HDPE-24410,WO-8875,2639422020887593,Cap Back-off (Reopens After Closing / Torque Retention Failure),Critical,78,Closed,2026-11-04,SO-15937
CC-20154,2026-11-20,CUST-010,Cap,Injection Molding,TR-002-PP-PCR-24410,WO-8931,2644622020893150,Broken/Cracked Cap,Critical,53,Closed,2026-12-04,SO-15973
