PrintLot,ProductBatch,SourceBottleWorkOrder,WorkOrder,ProductionDate,Shift,MachineId,PrintToolId,BottleId,ColorCount,ColorsUsed,Characteristic,Class,AQL,Standard,InspectionLevel,Frequency,Equipment,LotSize,CodeLetter,SampleSize,AcceptanceNumber,RejectionNumber,DefectsFound,LotDecision,InspectionDateTime,Inspector
LOTE-SK-M-SOP-007-2001,LOTE-M-SOP-007-2001,WO-1002,WO-12277,2025-07-04,shift 3,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-002, COR-001, COR-003",Coverage,Major,0.65,ISO 2859-1,II,Every 30 min,D65 Light Booth,4411,L,200,5,6,1,Approved,2025-07-04 06:16:18.531,Beatriz Costa
LOTE-SK-M-SOP-007-2001,LOTE-M-SOP-007-2001,WO-1002,WO-12277,2025-07-04,Shift 3,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-002, COR-001, COR-003",Smudge,Minor,1.5,ISO 2859-1,II,Continuous,D65 Light Booth,4411,L,200,10,11,2,Approved,2025-07-04 11:19:36.127,Carlos Mendes
LOTE-SK-M-SOP-007-2001,LOTE-M-SOP-007-2001,WO-1002,WO-12277,2025-07-04,Shift 3,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-002, COR-001, COR-003",Cure,Critical,0.1,ISO 2859-1,II,Per lot,MEK Rub Test,4411,L,200,0,1,0,Approved,2025-07-04 12:47:22.631,Beatriz Costa
LOTE-SK-M-SOP-007-2002,LOTE-M-SOP-007-2002,WO-1003,WO-12278,2025-07-04,Shift 3,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-004, COR-006, COR-008",Coverage,Major,0.65,ISO 2859-1,II,Every 30 min,D65 Light Booth,9334,L,200,5,6,1,Approved,2025-07-04 19:04:46.700,Ana Silva
LOTE-SK-M-SOP-007-2002,LOTE-M-SOP-007-2002,WO-1003,WO-12278,2025-07-04,Shift 3,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-004, COR-006, COR-008",Smudge,Minor,1.5,ISO 2859-1,II,Continuous,D65 Light Booth,9334,L,200,10,11,0,Approved,2025-07-04 09:25:33.979,Ana Silva
LOTE-SK-M-SOP-007-2002,LOTE-M-SOP-007-2002,WO-1003,WO-12278,2025-07-04,  Shift 3  ,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-004, COR-006, COR-008",Adhesion,Critical,0.1,ISO 2859-1,II,Per lot,Cross Hatch Kit (ASTM D3359),9334,L,200,0,1,0,Approved,2025-07-04 04:06:05.276,Diogo Ferreira
LOTE-SK-M-SOP-007-2002,LOTE-M-SOP-007-2002,WO-1004,WO-12279,2025-07-05,  Shift 3  ,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-003, COR-007, COR-008",Centering,Critical,0.65,ISO 2859-1,II,Every 30 min,Registration Gauge,10140,M,315,7,8,0,Approved,2025-07-05 10:50:52.234,Carlos Mendes
LOTE-SK-M-SOP-007-2002,LOTE-M-SOP-007-2002,WO-1004,WO-12279,2025-07-05,Shift 3,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-003, COR-007, COR-008",Coverage,Major,0.65,ISO 2859-1,II,Every 30 min,D65 Light Booth,10140,M,315,7,8,1,Approved,2025-07-05 06:20:59.146,Ana Silva
LOTE-SK-M-SOP-007-2002,LOTE-M-SOP-007-2002,WO-1004,WO-12279,2025-07-05,Shift 3,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-003, COR-007, COR-008",Color,Minor,1.5,ISO 2859-1,II,Every 30 min,Colorimeter,10140,M,315,14,15,1,Approved,2025-07-06 00:19:55.195,Ana Silva
LOTE-SK-M-SOP-007-2002,LOTE-M-SOP-007-2002,WO-1004,WO-12279,2025-07-05,Shift 3,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-003, COR-007, COR-008",Smudge,Minor,1.5,ISO 2859-1,II,Continuous,D65 Light Booth,10140,M,315,14,15,1,Approved,2025-07-06 01:43:58.388,Carlos Mendes
LOTE-SK-M-SOP-007-2002,LOTE-M-SOP-007-2002,WO-1004,WO-12279,2025-07-05,Shift 3,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-003, COR-007, COR-008",Pinholes,Minor,1.5,ISO 2859-1,II,Continuous,Lupa 10x,10140,M,315,14,15,5,Approved,2025-07-05 19:22:05.207,Elena Santos
LOTE-SK-M-SOP-007-2002,LOTE-M-SOP-007-2002,WO-1004,WO-12279,2025-07-05,Shift 3,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-003, COR-007, COR-008",Adhesion,Critical,0.1,ISO 2859-1,II,Per lot,Cross Hatch Kit (ASTM D3359),10140,M,315,0,1,0,Approved,2025-07-05 07:21:20.786,Carlos Mendes
LOTE-SK-M-SOP-007-2002,LOTE-M-SOP-007-2002,WO-1004,WO-12279,2025-07-05,Shift 3,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-003, COR-007, COR-008",Cure,Critical,0.1,ISO 2859-1,II,Per lot,MEK Rub Test,10140,M,315,0,1,0,Approved,2025-07-05 12:28:15.117,Ana Silva
LOTE-SK-M-SOP-001-2003,LOTE-M-SOP-001-2003,WO-1005,WO-12280,2025-07-05,  Shift 3  ,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-006,Centering,Critical,0.65,ISO 2859-1,II,Every 30 min,Registration Gauge,6038,L,200,5,6,1,Approved,2025-07-06 01:28:18.397,Beatriz Costa
LOTE-SK-M-SOP-001-2003,LOTE-M-SOP-001-2003,WO-1005,WO-12280,2025-07-05,Shift 3,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-006,Coverage,Major,0.65,ISO 2859-1,II,Every 30 min,D65 Light Booth,6038,L,200,5,6,1,Approved,2025-07-06 05:45:25.644,Diogo Ferreira
LOTE-SK-M-SOP-001-2003,LOTE-M-SOP-001-2003,WO-1005,WO-12280,2025-07-05,Shift 3,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-006,Color,Minor,1.5,ISO 2859-1,II,Every 30 min,Colorimeter,6038,L,200,10,11,0,Approved,2025-07-06 01:47:51.353,Ana Silva
LOTE-SK-M-SOP-001-2003,LOTE-M-SOP-001-2003,WO-1005,WO-12280,2025-07-05,Shift 3,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-006,Smudge,Minor,1.5,ISO 2859-1,II,Continuous,D65 Light Booth,6038,L,200,10,11,3,Approved,2025-07-06 05:16:16.001,Diogo Ferreira
LOTE-SK-M-SOP-001-2003,LOTE-M-SOP-001-2003,WO-1005,WO-12280,2025-07-05,Shift 3,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-006,Pinholes,Minor,1.5,ISO 2859-1,II,Continuous,Lupa 10x,6038,L,200,10,11,2,Approved,2025-07-05 23:02:25.496,Diogo Ferreira
LOTE-SK-M-SOP-001-2003,LOTE-M-SOP-001-2003,WO-1005,WO-12280,2025-07-05,Shift 3,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-006,Adhesion,Critical,0.1,ISO 2859-1,II,Per lot,Cross Hatch Kit (ASTM D3359),6038,L,200,0,1,0,Approved,2025-07-06 09:42:56.682,Carlos Mendes
LOTE-SK-M-SOP-007-2007,LOTE-M-SOP-007-2007,WO-1011,WO-12283,2025-07-10,Shift 1,SS-001,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-003,Centering,Critical,0.65,ISO 2859-1,II,Every 30 min,Registration Gauge,9173,L,200,5,6,0,Approved,2025-07-10 17:46:29.600,Carlos Mendes
LOTE-SK-M-SOP-007-2007,LOTE-M-SOP-007-2007,WO-1011,WO-12283,2025-07-10,Shift 1,SS-001,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-003,Coverage,Major,0.65,ISO 2859-1,II,Every 30 min,D65 Light Booth,9173,L,200,5,6,0,Approved,2025-07-10 23:11:50.169,Diogo Ferreira
LOTE-SK-M-SOP-007-2007,LOTE-M-SOP-007-2007,WO-1011,WO-12283,2025-07-10,Shift 1,SS-001,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-003,Smudge,Minor,1.5,ISO 2859-1,II,Continuous,D65 Light Booth,9173,L,200,10,11,0,Approved,2025-07-11 03:47:45.156,Carlos Mendes
LOTE-SK-M-SOP-007-2007,LOTE-M-SOP-007-2007,WO-1011,WO-12283,2025-07-10,Shift 1,SS-001,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-003,Adhesion,Critical,0.1,ISO 2859-1,II,Per lot,Cross Hatch Kit (ASTM D3359),9173,L,200,0,1,0,Approved,2025-07-11 03:33:43.472,Diogo Ferreira
LOTE-SK-M-SOP-007-2007,LOTE-M-SOP-007-2007,WO-1011,WO-12283,2025-07-10,Shift 1,SS-001,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-003,Cure,Critical,0.1,ISO 2859-1,II,Per lot,MEK Rub Test,9173,L,200,0,1,0,Approved,2025-07-10 21:43:09.485,Diogo Ferreira
LOTE-SK-M-SOP-007-2007,LOTE-M-SOP-007-2007,WO-1012,WO-12284,2025-07-11,Shift 1,SS-001,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-005,Coverage,Major,0.65,ISO 2859-1,II,Every 30 min,D65 Light Booth,7517,L,200,5,6,0,Approved,2025-07-11 15:41:22.676,Ana Silva
LOTE-SK-M-SOP-007-2007,LOTE-M-SOP-007-2007,WO-1012,WO-12284,2025-07-11,  Shift 1  ,SS-001,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-005,Color,Minor,1.5,ISO 2859-1,II,Every 30 min,Colorimeter,7517,L,200,10,11,2,Approved,2025-07-11 14:03:44.364,Carlos Mendes
LOTE-SK-M-SOP-007-2007,LOTE-M-SOP-007-2007,WO-1012,WO-12284,2025-07-11,Shift 1,SS-001,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-005,Pinholes,Minor,1.5,ISO 2859-1,II,Continuous,Lupa 10x,7517,L,200,10,11,3,Approved,2025-07-11 20:19:32.322,Beatriz Costa
LOTE-SK-M-SOP-007-2007,LOTE-M-SOP-007-2007,WO-1012,WO-12284,2025-07-11,Shift 1,SS-001,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-005,Cure,Critical,0.1,ISO 2859-1,II,Per lot,MEK Rub Test,7517,L,200,0,1,0,Approved,2025-07-11 14:40:20.612,Elena Santos
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1013,WO-12285,2025-07-11,shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-004,Centering,Critical,0.65,ISO 2859-1,II,Every 30 min,Registration Gauge,4680,L,200,5,6,0,Approved,2025-07-11 19:09:01.329,Elena Santos
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1013,WO-12285,2025-07-11,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-004,Color,Minor,1.5,ISO 2859-1,II,Every 30 min,Colorimeter,4680,L,200,10,11,2,Approved,2025-07-11 20:35:25.900,Elena Santos
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1013,WO-12285,2025-07-11,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-004,Smudge,Minor,1.5,ISO 2859-1,II,Continuous,D65 Light Booth,4680,L,200,10,11,3,Approved,2025-07-12 01:16:15.962,Carlos Mendes
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1014,WO-12286,2025-07-12,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,Registration,Critical,0.65,ISO 2859-1,II,Setup + 30 min,Registration Gauge,4064,L,200,5,6,1,Approved,2025-07-12 23:40:00.862,Diogo Ferreira
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1014,WO-12286,2025-07-12,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,Centering,Critical,0.65,ISO 2859-1,II,Every 30 min,Registration Gauge,4064,L,200,5,6,0,Approved,2025-07-13 06:17:50.212,Beatriz Costa
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1014,WO-12286,2025-07-12,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,Coverage,Major,0.65,ISO 2859-1,II,Every 30 min,D65 Light Booth,4064,L,200,5,6,0,Approved,2025-07-13 04:43:10.909,Ana Silva
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1014,WO-12286,2025-07-12,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,Smudge,Minor,1.5,ISO 2859-1,II,Continuous,D65 Light Booth,4064,L,200,10,11,2,Approved,2025-07-13 02:43:22.893,Carlos Mendes
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1014,WO-12286,2025-07-12,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,Pinholes,Minor,1.5,ISO 2859-1,II,Continuous,Lupa 10x,4064,L,200,10,11,3,Approved,2025-07-13 02:16:58.603,Elena Santos
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1014,WO-12286,2025-07-12,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,Adhesion,Critical,0.1,ISO 2859-1,II,Per lot,Cross Hatch Kit (ASTM D3359),4064,L,200,0,1,0,Approved,2025-07-13 05:29:47.860,Elena Santos
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1015,WO-12287,2025-07-12,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-004,Registration,Critical,0.65,ISO 2859-1,II,Setup + 30 min,Registration Gauge,203,L,200,5,6,0,Approved,2025-07-12 19:01:47.310,Elena Santos
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1015,WO-12287,2025-07-12,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-004,Centering,Critical,0.65,ISO 2859-1,II,Every 30 min,Registration Gauge,203,L,200,5,6,0,Approved,2025-07-12 23:55:35.547,Carlos Mendes
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1015,WO-12287,2025-07-12,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-004,Coverage,Major,0.65,ISO 2859-1,II,Every 30 min,D65 Light Booth,203,L,200,5,6,2,Approved,2025-07-13 03:52:37.365,Ana Silva
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1015,WO-12287,2025-07-12,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-004,Color,Minor,1.5,ISO 2859-1,II,Every 30 min,Colorimeter,203,L,200,10,11,0,Approved,2025-07-13 03:40:37.288,Diogo Ferreira
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1015,WO-12287,2025-07-12,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-004,Smudge,Minor,1.5,ISO 2859-1,II,Continuous,D65 Light Booth,203,L,200,10,11,4,Approved,2025-07-13 03:54:44.708,Diogo Ferreira
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1015,WO-12287,2025-07-12,shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-004,Cure,Critical,0.1,ISO 2859-1,II,Per lot,MEK Rub Test,203,L,200,0,1,0,Approved,2025-07-13 04:03:41.154,Diogo Ferreira
LOTE-SK-M-SOP-001-2009,LOTE-M-SOP-001-2009,WO-1016,WO-12288,2025-07-13,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-002,Centering,Critical,0.65,ISO 2859-1,II,Every 30 min,Registration Gauge,5877,L,200,5,6,0,Approved,2025-07-13 20:53:51.934,Diogo Ferreira
LOTE-SK-M-SOP-001-2009,LOTE-M-SOP-001-2009,WO-1016,WO-12288,2025-07-13,  Shift 1  ,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-002,Coverage,Major,0.65,ISO 2859-1,II,Every 30 min,D65 Light Booth,5877,L,200,5,6,1,Approved,2025-07-13 21:58:03.812,Diogo Ferreira
LOTE-SK-M-SOP-001-2009,LOTE-M-SOP-001-2009,WO-1016,WO-12288,2025-07-13,SHIFT 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-002,Smudge,Minor,1.5,ISO 2859-1,II,Continuous,D65 Light Booth,5877,L,200,10,11,1,Approved,2025-07-13 18:37:52.411,Elena Santos
LOTE-SK-M-SOP-001-2009,LOTE-M-SOP-001-2009,WO-1016,WO-12288,2025-07-13,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-002,Pinholes,Minor,1.5,ISO 2859-1,II,Continuous,Lupa 10x,5877,L,200,10,11,2,Approved,2025-07-13 16:42:27.830,Ana Silva
LOTE-SK-M-SOP-001-2009,LOTE-M-SOP-001-2009,WO-1016,WO-12288,2025-07-13,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-002,Adhesion,Critical,0.1,ISO 2859-1,II,Per lot,Cross Hatch Kit (ASTM D3359),5877,L,200,0,1,0,Approved,2025-07-13 21:52:28.506,Diogo Ferreira
LOTE-SK-M-SOP-001-2009,LOTE-M-SOP-001-2009,WO-1016,WO-12288,2025-07-13,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-002,Cure,Critical,0.1,ISO 2859-1,II,Per lot,MEK Rub Test,5877,L,200,0,1,0,Approved,2025-07-13 13:45:29.508,Ana Silva
LOTE-SK-M-SOP-001-2009,LOTE-M-SOP-001-2009,WO-1017,WO-12289,2025-07-13,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-003,Registration,Critical,0.65,ISO 2859-1,II,Setup + 30 min,Registration Gauge,4129,L,200,5,6,0,Approved,2025-07-13 12:07:20.100,Beatriz Costa
LOTE-SK-M-SOP-001-2009,LOTE-M-SOP-001-2009,WO-1017,WO-12289,2025-07-13,shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-003,Centering,Critical,0.65,ISO 2859-1,II,Every 30 min,Registration Gauge,4129,L,200,5,6,0,Approved,2025-07-13 14:09:26.171,Diogo Ferreira
LOTE-SK-M-SOP-001-2009,LOTE-M-SOP-001-2009,WO-1017,WO-12289,2025-07-13,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-003,Coverage,Major,0.65,ISO 2859-1,II,Every 30 min,D65 Light Booth,4129,L,200,5,6,0,Approved,2025-07-13 11:26:14.415,Ana Silva
LOTE-SK-M-SOP-001-2009,LOTE-M-SOP-001-2009,WO-1017,WO-12289,2025-07-13,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-003,Smudge,Minor,1.5,ISO 2859-1,II,Continuous,D65 Light Booth,4129,L,200,10,11,1,Approved,2025-07-13 23:33:33.768,Carlos Mendes
LOTE-SK-M-SOP-001-2009,LOTE-M-SOP-001-2009,WO-1017,WO-12289,2025-07-13,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-003,Adhesion,Critical,0.1,ISO 2859-1,II,Per lot,Cross Hatch Kit (ASTM D3359),4129,L,200,0,1,0,Approved,2025-07-13 23:49:25.563,Diogo Ferreira
LOTE-SK-M-SOP-001-2009,LOTE-M-SOP-001-2009,WO-1017,WO-12289,2025-07-13,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-003,Cure,Critical,0.1,ISO 2859-1,II,Per lot,MEK Rub Test,4129,L,200,0,1,0,Approved,2025-07-13 12:34:46.204,Diogo Ferreira
LOTE-SK-M-SOP-007-2013,LOTE-M-SOP-007-2013,WO-1023,WO-12293,2025-07-18,Shift 2,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-005, COR-003, COR-006",Registration,Critical,0.65,ISO 2859-1,II,Setup + 30 min,Registration Gauge,5910,L,200,5,6,0,Approved,2025-07-19 01:53:19.877,Diogo Ferreira
LOTE-SK-M-SOP-007-2013,LOTE-M-SOP-007-2013,WO-1023,WO-12293,2025-07-18,Shift 2,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-005, COR-003, COR-006",Color,Minor,1.5,ISO 2859-1,II,Every 30 min,Colorimeter,5910,L,200,10,11,2,Approved,2025-07-19 10:16:04.640,Beatriz Costa
LOTE-SK-M-SOP-007-2013,LOTE-M-SOP-007-2013,WO-1023,WO-12293,2025-07-18,Shift 2,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-005, COR-003, COR-006",Smudge,Minor,1.5,ISO 2859-1,II,Continuous,D65 Light Booth,5910,L,200,10,11,2,Approved,2025-07-19 16:15:22.741,Carlos Mendes
LOTE-SK-M-SOP-007-2013,LOTE-M-SOP-007-2013,WO-1023,WO-12293,2025-07-18,Shift 2,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-005, COR-003, COR-006",Cure,Critical,0.1,ISO 2859-1,II,Per lot,MEK Rub Test,5910,L,200,0,1,0,Approved,2025-07-19 13:10:48.793,Beatriz Costa
LOTE-SK-M-SOP-007-2013,LOTE-M-SOP-007-2013,WO-1024,WO-12294,2025-07-19,Shift 3,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-007, COR-006, COR-002",Registration,Critical,0.65,ISO 2859-1,II,Setup + 30 min,Registration Gauge,6868,L,200,5,6,0,Approved,2025-07-19 16:03:55.135,Carlos Mendes
LOTE-SK-M-SOP-007-2013,LOTE-M-SOP-007-2013,WO-1024,WO-12294,2025-07-19,Shift 3,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-007, COR-006, COR-002",Centering,Critical,0.65,ISO 2859-1,II,Every 30 min,Registration Gauge,6868,L,200,5,6,0,Approved,2025-07-19 16:30:01.588,Ana Silva
LOTE-SK-M-SOP-007-2013,LOTE-M-SOP-007-2013,WO-1024,WO-12294,2025-07-19,Shift 3,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-007, COR-006, COR-002",Pinholes,Minor,1.5,ISO 2859-1,II,Continuous,Lupa 10x,6868,L,200,10,11,3,Approved,2025-07-19 16:07:40.442,Beatriz Costa
LOTE-SK-M-SOP-007-2013,LOTE-M-SOP-007-2013,WO-1024,WO-12294,2025-07-19,Shift 3,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-007, COR-006, COR-002",Cure,Critical,0.1,ISO 2859-1,II,Per lot,MEK Rub Test,6868,L,200,0,1,0,Approved,2025-07-19 13:54:20.666,Diogo Ferreira
