SalesOrderId,Date,CustomerId,ProductFamily,Process,ProductId,WorkOrder,LotId,MachineId,ShippedQty,UnitPriceBRL,TotalValueBRL
SO-10023,2025-07-29,CUST-006,Bottle,Blow Molding,FR-007-HDPE-350,WO-1027,2529621010102728,ISBM-001,7615,0.1784,1358.52
SO-10024,2025-07-23,CUST-001,Bottle,Blow Molding,FR-007-HDPE-350,WO-1028,2529721010102829,ISBM-001,5682,0.1497,850.6
SO-10025,2025-07-29,CUST-001,Bottle,Blow Molding,FR-001-HDPE-300,WO-1029,2530121010102930,ISBM-001,4854,0.1558,756.25
SO-10026,2025-07-28,CUST-012,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1031,2530331010103132,ISBM-001,2440,0.3459,844.0
SO-10027,2025-07-31,CUST-008,Bottle,BLOW MOLDING,FR-001-HDPE-PCR-300,WO-1032,2530321010103233,ISBM-001,7448,0.1429,1064.32
SO-10028,2025-08-04,CUST-008,Bottle,  Blow Molding  ,FR-001-HDPE-PCR-300,WO-1033,2530411010103334,ISBM-001,2444,0.1556,380.29
SO-10029,2025-08-06,CUST-013,Bottle,Blow Molding,FR-007-rPET-350,WO-1035,2530511010103536,ISBM-001,3087,0.1436,443.29
SO-10030,2025-08-01,CUST-008,Bottle,Blow Molding,FR-007-rPET-350,WO-1036,2530611010103637,ISBM-001,3400,0.2939,999.26
SO-10031,2025-08-07,CUST-003,Bottle,Blow Molding,FR-007-PP-PCR-350,WO-1037,2530731010103738,ISBM-001,7807,0.2932,2289.01
SO-10032,2025-07-31,CUST-009,Bottle,Blow Molding,FR-007-PP-PCR-350,WO-1039,2531121010103940,ISBM-001,6433,0.2056,1322.62
SO-10033,2025-08-06,CUST-010,Bottle,Blow Molding,FR-001-HDPE-300,WO-1040,2531211010104041,ISBM-001,5800,0.1857,1077.06
SO-10034,2025-08-15,CUST-006,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1047,2531711010104748,ISBM-001,4137,0.1677,693.77
SO-10035,2025-08-07,CUST-003,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1049,2532121010104950,ISBM-001,4990,0.1417,707.08
SO-10036,2025-08-11,CUST-005,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1051,2532221010105152,ISBM-001,6305,0.1294,815.87
SO-10037,2025-08-18,CUST-004,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1052,2532321010105253,ISBM-001,6765,0.2761,1867.82
SO-10038,2025-08-18,CUST-012,Bottle,Blow Molding,FR-001-rPET-300,WO-1053,2532411010105354,ISBM-001,4985,0.3297,1643.55
SO-10039,2025-08-09,CUST-010,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1054,2532531010105455,ISBM-001,4075,0.1623,661.37
SO-10040,2025-08-11,CUST-009,Bottle,Blow Molding,FR-007-rPET-350,WO-1055,2532521010105556,ISBM-001,4080,0.3409,1390.87
SO-10041,2025-08-15,CUST-001,Bottle,Blow Molding,FR-007-rPET-350,WO-1056,2532621010105657,ISBM-001,2964,0.1146,339.67
SO-10042,2025-08-14,CUST-002,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1057,2532711010105758,ISBM-001,4182,0.1471,615.17
SO-10043,2025-08-16,CUST-010,Bottle,Blow Molding,FR-007-PVC-350,WO-1058,2533131010105859,ISBM-001,9148,0.0812,742.82
SO-10044,2025-08-23,CUST-007,Bottle,Blow Molding,FR-007-PVC-350,WO-1059,2533131010105960,ISBM-001,3401,0.2103,715.23
SO-10045,2025-08-19,CUST-010,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1060,2533211010106061,ISBM-001,8780,0.1681,1475.92
SO-10046,2025-08-18,CUST-011,Bottle,  Blow Molding  ,FR-007-rPET-350,WO-1062,2533331010106263,ISBM-001,7615,0.0959,730.28
SO-10047,2025-08-22,CUST-002,Bottle,Blow Molding,FR-001-HDPE-300,WO-1064,2533511010106465,ISBM-001,3084,0.2508,773.47
SO-10048,2025-08-25,CUST-014,Bottle,Blow Molding,FR-001-HDPE-300,WO-1065,2533631010106566,ISBM-001,6399,0.1606,1027.68
SO-10049,2025-08-19,CUST-003,Bottle,Blow Molding,FR-001-HDPE-300,WO-1066,2533621010106667,ISBM-001,3443,0.1326,456.54
SO-10050,2025-08-22,CUST-003,Bottle,Blow Molding,FR-001-rPET-300,WO-1068,2533721010106869,ISBM-001,5545,0.1397,774.64
SO-10051,2025-08-28,CUST-014,Bottle,Blow Molding,FR-001-rPET-300,WO-1069,2534121010106970,ISBM-001,6058,0.3108,1882.83
SO-10052,2025-08-31,CUST-003,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1070,2534221010107071,ISBM-001,7420,0.2031,1507.0
SO-10053,2025-08-28,CUST-005,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1071,2534321010107172,ISBM-001,7479,0.1474,1102.4
SO-10054,2025-08-24,CUST-013,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1072,2534411010107273,ISBM-001,2916,0.1665,485.51
SO-10055,2025-08-29,CUST-002,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1073,2534431010107374,ISBM-001,5108,0.2283,1166.16
SO-10056,2025-08-25,CUST-008,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1074,2534521010107475,ISBM-001,3862,0.159,614.06
SO-10057,2025-08-30,CUST-001,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1075,2534611010107576,ISBM-001,5121,0.1923,984.77
SO-10058,2025-08-26,CUST-001,Bottle,Blow Molding,FR-007-PP-350,WO-1076,2534731010107677,ISBM-001,7173,0.2386,1711.48
SO-10059,2025-08-29,CUST-014,Bottle,Blow Molding,FR-001-rPET-300,WO-1078,2535111010107879,ISBM-001,6940,0.2042,1417.15
SO-10060,2025-08-30,CUST-004,Bottle,Blow Molding,FR-001-rPET-300,WO-1080,2535221010108081,ISBM-001,7423,0.1535,1139.43
SO-10061,2025-08-30,CUST-014,Bottle,Blow Molding,FR-007-PETG-350,WO-1081,2535311010108182,ISBM-001,5241,0.2049,1073.88
SO-10062,2025-09-05,CUST-012,Bottle,Blow Molding,FR-007-HDPE-350,WO-1082,2535431010108283,ISBM-001,1713,0.1814,310.74
SO-10063,2025-08-31,CUST-004,Bottle,Blow Molding,FR-007-PP-350,WO-1083,2535531010108384,ISBM-001,3960,0.0988,391.25
SO-10064,2025-09-04,CUST-009,Bottle,Blow Molding,FR-007-PP-350,WO-1084,2535521010108485,ISBM-001,5773,0.2634,1520.61
SO-10065,2025-09-03,CUST-003,Bottle,Blow Molding,FR-007-PP-350,WO-1085,2535611010108586,ISBM-001,3370,0.1744,587.73
SO-10066,2025-09-03,CUST-009,Bottle,Blow Molding,FR-007-PETG-350,WO-1086,2535711010108687,ISBM-001,7025,0.2605,1830.01
SO-10067,2025-09-07,CUST-013,Bottle,  Blow Molding  ,FR-001-HDPE-PCR-300,WO-1087,2536131010108788,ISBM-001,5492,0.3055,1677.81
SO-10068,2025-09-03,CUST-012,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1088,2536121010108889,ISBM-001,4807,0.1174,564.34
SO-10069,2025-09-07,CUST-012,Bottle,Blow Molding,FR-007-PP-PCR-350,WO-1089,2536211010108990,ISBM-001,2985,0.1235,368.65
SO-10070,2025-09-08,CUST-004,Bottle,Blow Molding,FR-001-rPET-300,WO-1090,2536231010109091,ISBM-001,4650,0.1152,535.68
SO-10071,2025-09-06,CUST-013,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1091,2536321010109192,ISBM-001,8029,0.1005,806.91
SO-10072,2025-09-08,CUST-012,Bottle,  Blow Molding  ,FR-001-HDPE-PCR-300,WO-1092,2536411010109293,ISBM-001,3436,0.2297,789.25
SO-10073,2025-09-08,CUST-013,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1093,2536431010109394,ISBM-001,7261,0.282,2047.6
SO-10074,2025-09-08,CUST-011,Bottle,Blow Molding,FR-007-PP-PCR-350,WO-1094,2536521010109495,ISBM-001,5678,0.1095,621.74
SO-10075,2025-09-16,CUST-007,Bottle,Blow Molding,FR-001-HDPE-300,WO-1098,2537121010109899,ISBM-001,7202,0.3134,2257.11
SO-10076,2025-09-16,CUST-005,Bottle,Blow Molding,FR-007-rPET-350,WO-1099,2537211010109901,ISBM-001,6407,0.3431,2198.24
SO-10077,2025-09-16,CUST-008,Bottle,Blow Molding,FR-007-rPET-350,WO-1100,2537331010110002,ISBM-001,5540,0.2855,1581.67
SO-10078,2025-09-14,CUST-007,Bottle,Blow Molding,FR-007-rPET-350,WO-1101,2537321010110103,ISBM-001,5562,0.333,1852.15
SO-10079,2025-09-19,CUST-009,Bottle,Blow Molding,FR-007-PETG-350,WO-1102,2537431010110204,ISBM-001,3201,0.2849,911.96
SO-10080,2025-09-14,CUST-011,Bottle,Blow Molding,FR-007-PETG-350,WO-1104,2537521010110406,ISBM-001,7574,0.2927,2216.91
SO-10081,2025-09-19,CUST-006,Bottle,Blow Molding,FR-001-rPET-300,WO-1105,2537611010110507,ISBM-001,1133,0.1248,141.4
SO-10082,2025-09-22,CUST-002,Bottle,Blow Molding,FR-001-HDPE-300,WO-1106,2537731010110608,ISBM-001,3725,0.3319,1236.33
SO-10083,2025-09-26,CUST-008,Bottle,Blow Molding,FR-001-HDPE-300,WO-1107,2537721010110709,ISBM-001,3722,0.2113,786.46
SO-10084,2025-09-27,CUST-005,Bottle,Blow Molding,FR-001-rPET-300,WO-1108,2538111010110810,ISBM-001,3124,0.2555,798.18
SO-10085,2025-09-24,CUST-009,Bottle,Blow Molding,FR-001-rPET-300,WO-1109,2538211010110911,ISBM-001,2898,0.1181,342.25
SO-10086,2025-09-28,CUST-010,Bottle,Blow Molding,FR-001-rPET-300,WO-1110,2538331010111012,ISBM-001,4475,0.3047,1363.53
SO-10087,2025-09-24,CUST-014,Bottle,Blow Molding,FR-001-rPET-300,WO-1111,2538321010111113,ISBM-001,938,0.1791,168.0
SO-10088,2025-09-21,CUST-002,Bottle,Blow Molding,FR-007-PETG-350,WO-1112,2538431010111214,ISBM-001,2004,0.1893,379.36
SO-10089,2025-09-24,CUST-005,Bottle,  Blow Molding  ,FR-001-HDPE-300,WO-1113,2538421010111315,ISBM-001,7622,0.1465,1116.62
SO-10090,2025-09-24,CUST-006,Bottle,Blow Molding,FR-001-HDPE-300,WO-1115,2538631010111517,ISBM-001,6552,0.2003,1312.37
SO-10091,2025-09-23,CUST-004,Bottle,Blow Molding,FR-007-HDPE-350,WO-1117,2538721010111719,ISBM-001,4732,0.2869,1357.61
SO-10092,2025-09-23,CUST-009,Bottle,  Blow Molding  ,FR-007-HDPE-350,WO-1118,2539111010111820,ISBM-001,1757,0.1695,297.81
SO-10093,2025-09-30,CUST-011,Bottle,  Blow Molding  ,FR-007-PVC-350,WO-1119,2539131010111921,ISBM-001,3293,0.334,1099.86
SO-10094,2025-10-05,CUST-010,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1124,2539431010112426,ISBM-001,4884,0.1656,808.79
SO-10095,2025-10-08,CUST-006,Bottle,blow molding,FR-007-PVC-350,WO-1125,2539531010112527,ISBM-001,3000,0.1917,575.1
SO-10096,2025-10-02,CUST-003,Bottle,Blow Molding,FR-007-PVC-350,WO-1126,2539621010112628,ISBM-001,2352,0.3221,757.58
SO-10097,2025-10-04,CUST-002,Bottle,Blow Molding,FR-001-HDPE-300,WO-1127,2539711010112729,ISBM-001,3310,0.1246,412.43
SO-10098,2025-10-01,CUST-013,Bottle,BLOW MOLDING,FR-001-HDPE-300,WO-1128,2540131010112830,ISBM-001,3997,0.2063,824.58
SO-10099,2025-10-10,CUST-008,Bottle,Blow Molding,FR-007-PP-PCR-350,WO-1129,2540121010112931,ISBM-001,688,0.2244,154.39
SO-10100,2025-10-12,CUST-006,Bottle,Blow Molding,FR-007-PP-PCR-350,WO-1131,2540221010113133,ISBM-001,2738,0.2943,805.79
SO-10101,2025-10-05,CUST-001,Bottle,Blow Molding,FR-007-rPET-350,WO-1132,2540321010113234,ISBM-001,8125,0.3411,2771.44
SO-10102,2025-10-04,CUST-005,Bottle,Blow Molding,FR-001-rPET-300,WO-1133,2540411010113335,ISBM-001,6459,0.2936,1896.36
SO-10103,2025-10-15,CUST-003,Bottle,Blow Molding,FR-001-rPET-300,WO-1135,2540531010113537,ISBM-001,6573,0.3492,2295.29
SO-10104,2025-10-15,CUST-011,Bottle,Blow Molding,FR-001-HDPE-300,WO-1136,2540611010113638,ISBM-001,2645,0.1793,474.25
SO-10105,2025-10-11,CUST-010,Bottle,Blow Molding,FR-001-HDPE-300,WO-1138,2540711010113840,ISBM-001,6079,0.1023,621.88
SO-10106,2025-10-15,CUST-011,Bottle,Blow Molding,FR-001-HDPE-300,WO-1139,2541131010113941,ISBM-001,3841,0.2556,981.76
SO-10107,2025-10-17,CUST-014,Bottle,Blow Molding,FR-001-HDPE-300,WO-1140,2541121010114042,ISBM-001,3503,0.0996,348.9
SO-10108,2025-10-12,CUST-002,Bottle,Blow Molding,FR-007-PP-350,WO-1141,2541211010114143,ISBM-001,3188,0.1672,533.03
SO-10109,2025-10-20,CUST-011,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1142,2541311010114244,ISBM-001,3386,0.2311,782.5
SO-10110,2025-10-19,CUST-002,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1143,2541431010114345,ISBM-001,4536,0.2787,1264.18
SO-10111,2025-10-20,CUST-009,Bottle,Blow Molding,FR-001-rPET-300,WO-1145,2541511010114547,ISBM-001,8004,0.1054,843.62
SO-10112,2025-10-15,CUST-007,Bottle,blow molding,FR-007-rPET-350,WO-1146,2541611010114648,ISBM-001,2567,0.2561,657.41
SO-10113,2025-10-19,CUST-014,Bottle,Blow Molding,FR-007-rPET-350,WO-1147,2541711010114749,ISBM-001,1334,0.2837,378.46
SO-10114,2025-10-16,CUST-010,Bottle,Blow Molding,FR-007-PETG-350,WO-1148,2542131010114850,ISBM-001,3125,0.2002,625.62
SO-10115,2025-10-17,CUST-013,Bottle,Blow Molding,FR-007-PVC-350,WO-1149,2542121010114951,ISBM-001,3254,0.2933,954.4
SO-10116,2025-10-22,CUST-006,Bottle,Blow Molding,FR-007-PVC-350,WO-1150,2542231010115052,ISBM-001,1661,0.2584,429.2
SO-10117,2025-10-22,CUST-004,Bottle,Blow Molding,FR-007-PETG-350,WO-1151,2542221010115153,ISBM-001,2997,0.1633,489.41
SO-10118,2025-10-24,CUST-011,Bottle,Blow Molding,FR-007-PVC-350,WO-1152,2542331010115254,ISBM-001,2019,0.3117,629.32
SO-10119,2025-10-25,CUST-006,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1153,2542331010115355,ISBM-001,6804,0.3305,2248.72
SO-10120,2025-10-19,CUST-014,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1154,2542411010115456,ISBM-001,4061,0.2601,1056.27
SO-10121,2025-10-25,CUST-010,Bottle,Blow Molding,FR-001-rPET-300,WO-1155,2542531010115557,ISBM-001,3839,0.2878,1104.86
SO-10122,2025-10-23,CUST-009,Bottle,BLOW MOLDING,FR-001-rPET-300,WO-1156,2542521010115658,ISBM-001,1786,0.1233,220.21
SO-10123,2025-10-27,CUST-003,Bottle,  Blow Molding  ,FR-001-rPET-300,WO-1157,2542631010115759,ISBM-001,7174,0.275,1972.85
SO-10124,2025-10-28,CUST-007,Bottle,Blow Molding,FR-001-rPET-300,WO-1158,2542621010115860,ISBM-001,3396,0.3436,1166.87
SO-10125,2025-10-21,CUST-014,Bottle,Blow Molding,FR-007-PP-350,WO-1159,2542711010115961,ISBM-001,7089,0.3419,2423.73
SO-10126,2025-10-21,CUST-013,Bottle,  Blow Molding  ,FR-007-PP-PCR-350,WO-1160,2542721010116062,ISBM-001,3721,0.2191,815.27
SO-10127,2025-11-01,CUST-014,Bottle,Blow Molding,FR-007-PP-PCR-350,WO-1161,2543111010116163,ISBM-001,7874,0.1835,1444.88
SO-10128,2025-10-31,CUST-006,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1162,2543211010116264,ISBM-001,6139,0.2538,1558.08
SO-10129,2025-11-03,CUST-008,Bottle,Blow Molding,FR-007-PVC-350,WO-1164,2543311010116466,ISBM-001,9545,0.1823,1740.05
SO-10130,2025-10-27,CUST-010,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1167,2543521010116769,ISBM-001,4246,0.2587,1098.44
SO-10131,2025-11-05,CUST-002,Bottle,Blow Molding,FR-007-rPET-350,WO-1172,2544111010117274,ISBM-001,4620,0.1003,463.39
SO-10132,2025-11-03,CUST-014,Bottle,Blow Molding,FR-007-rPET-350,WO-1173,2544121010117375,ISBM-001,1429,0.3139,448.56
SO-10133,2025-11-08,CUST-006,Bottle,Blow Molding,FR-007-rPET-350,WO-1174,2544211010117476,ISBM-001,2888,0.1217,351.47
SO-10134,2025-11-05,CUST-003,Bottle,Blow Molding,FR-007-rPET-350,WO-1175,2544231010117577,ISBM-001,4709,0.1182,556.6
SO-10135,2025-11-02,CUST-005,Bottle,Blow Molding,FR-001-HDPE-300,WO-1177,2544411010117779,ISBM-001,5147,0.1126,579.55
SO-10136,2025-11-11,CUST-003,Bottle,Blow Molding,FR-007-rPET-350,WO-1178,2544531010117880,ISBM-001,5257,0.1625,854.26
SO-10137,2025-11-04,CUST-012,Bottle,Blow Molding,FR-007-HDPE-350,WO-1179,2544531010117981,ISBM-001,5317,0.1717,912.93
SO-10138,2025-11-13,CUST-006,Bottle,Blow Molding,FR-001-rPET-300,WO-1181,2544711010118183,ISBM-001,5646,0.3164,1786.39
SO-10139,2025-11-12,CUST-002,Bottle,Blow Molding,FR-001-rPET-300,WO-1182,2545131010118284,ISBM-001,2802,0.1272,356.41
SO-10140,2025-11-06,CUST-011,Bottle,Blow Molding,FR-007-HDPE-350,WO-1186,2545311010118688,ISBM-001,2328,0.246,572.69
SO-10141,2025-11-15,CUST-006,Bottle,Blow Molding,FR-007-PP-PCR-350,WO-1187,2545331010118789,ISBM-001,4920,0.2028,997.78
SO-10142,2025-11-18,CUST-012,Bottle,  Blow Molding  ,FR-007-PP-PCR-350,WO-1188,2545411010118890,ISBM-001,5103,0.1805,921.09
SO-10143,2025-11-13,CUST-003,Bottle,Blow Molding,FR-007-PP-350,WO-1190,2545521010119092,ISBM-001,7770,0.2812,2184.92
SO-10144,2025-11-13,CUST-010,Bottle,  Blow Molding  ,FR-007-PP-350,WO-1191,2545611010119193,ISBM-001,6374,0.2703,1722.89
SO-10145,2025-11-19,CUST-005,Bottle,Blow Molding,FR-001-rPET-300,WO-1192,2545731010119294,ISBM-001,5853,0.2083,1219.18
SO-10146,2025-11-14,CUST-012,Bottle,Blow Molding,FR-001-rPET-300,WO-1194,2546111010119496,ISBM-001,9059,0.2495,2260.22
SO-10147,2025-11-12,CUST-007,Bottle,Blow Molding,FR-001-HDPE-300,WO-1195,2546231010119597,ISBM-001,5229,0.2794,1460.98
SO-10148,2025-11-20,CUST-007,Bottle,Blow Molding,FR-007-PETG-350,WO-1197,2546311010119799,ISBM-001,2610,0.3072,801.79
SO-10149,2025-11-19,CUST-010,Bottle,Blow Molding,FR-007-PETG-350,WO-1198,2546431010119801,ISBM-001,3951,0.2193,866.45
SO-10150,2025-11-25,CUST-001,Bottle,Blow Molding,FR-001-rPET-300,WO-1201,2546531010120104,ISBM-001,4794,0.2629,1260.34
SO-10151,2025-11-22,CUST-006,Bottle,Blow Molding,FR-001-rPET-300,WO-1202,2546621010120205,ISBM-001,2042,0.2918,595.86
SO-10152,2025-11-25,CUST-001,Bottle,Blow Molding,FR-007-HDPE-350,WO-1203,2546731010120306,ISBM-001,5201,0.2985,1552.5
SO-10153,2025-11-26,CUST-014,Bottle,Blow Molding,FR-007-HDPE-350,WO-1204,2546721010120407,ISBM-001,5985,0.0881,527.28
SO-10154,2025-11-21,CUST-013,Bottle,blow molding,FR-007-HDPE-350,WO-1205,2547111010120508,ISBM-001,1940,0.2831,549.21
SO-10155,2025-11-26,CUST-013,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1206,2547231010120609,ISBM-001,7900,0.1504,1188.16
SO-10156,2025-11-23,CUST-001,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1207,2547231010120710,ISBM-001,5823,0.3428,1996.12
SO-10157,2025-11-23,CUST-001,Bottle,Blow Molding,FR-001-rPET-300,WO-1209,2547431010120912,ISBM-001,3484,0.2496,869.61
SO-10158,2025-11-29,CUST-014,Bottle,Blow Molding,FR-001-rPET-300,WO-1210,2547421010121013,ISBM-001,3930,0.1656,650.81
SO-10159,2025-11-23,CUST-009,Bottle,Blow Molding,FR-001-rPET-300,WO-1211,2547531010121114,ISBM-001,6637,0.0864,573.44
SO-10160,2025-11-27,CUST-001,Bottle,Blow Molding,FR-001-rPET-300,WO-1212,2547521010121215,ISBM-001,9872,0.2043,2016.85
SO-10161,2025-12-01,CUST-012,Bottle,Blow Molding,FR-001-rPET-300,WO-1213,2547621010121316,ISBM-001,8729,0.2474,2159.55
SO-10162,2025-11-27,CUST-011,Bottle,Blow Molding,FR-007-PVC-350,WO-1214,2547721010121417,ISBM-001,4883,0.1065,520.04
SO-10163,2025-12-05,CUST-006,Bottle,Blow Molding,FR-001-rPET-300,WO-1215,2548111010121518,ISBM-001,4946,0.3097,1531.78
SO-10164,2025-11-29,CUST-009,Bottle,Blow Molding,FR-007-PVC-350,WO-1216,2548211010121619,ISBM-001,3330,0.2621,872.79
SO-10165,2025-12-01,CUST-008,Bottle,Blow Molding,FR-001-rPET-300,WO-1217,2548221010121720,ISBM-001,2317,0.2691,623.5
SO-10166,2025-12-05,CUST-005,Bottle,Blow Molding,FR-001-HDPE-300,WO-1218,2548311010121821,ISBM-001,7332,0.3326,2438.62
SO-10167,2025-12-05,CUST-013,Bottle,blow molding,FR-001-HDPE-300,WO-1219,2548331010121922,ISBM-001,4531,0.1975,894.87
SO-10168,2025-11-29,CUST-010,Bottle,Blow Molding,FR-001-HDPE-300,WO-1220,2548411010122023,ISBM-001,6620,0.3047,2017.11
SO-10169,2025-12-04,CUST-005,Bottle,Blow Molding,FR-001-HDPE-300,WO-1221,2548511010122124,ISBM-001,3378,0.1659,560.41
SO-10170,2025-12-02,CUST-005,Bottle,Blow Molding,FR-001-HDPE-300,WO-1223,2548631010122326,ISBM-001,2748,0.1332,366.03
SO-10171,2025-12-10,CUST-006,Bottle,Blow Molding,FR-001-rPET-300,WO-1224,2548721010122427,ISBM-001,6303,0.3416,2153.1
SO-10172,2025-12-05,CUST-002,Bottle,Blow Molding,FR-001-rPET-300,WO-1225,2549111010122528,ISBM-001,4083,0.1013,413.61
SO-10173,2025-12-07,CUST-011,Bottle,Blow Molding,FR-007-PVC-350,WO-1226,2549231010122629,ISBM-001,5767,0.2582,1489.04
SO-10174,2025-12-11,CUST-013,Bottle,Blow Molding,FR-007-PVC-350,WO-1227,2549221010122730,ISBM-001,3551,0.12,426.12
SO-10175,2025-12-09,CUST-012,Bottle,Blow Molding,FR-007-PVC-350,WO-1228,2549321010122831,ISBM-001,5635,0.1242,699.87
SO-10176,2025-12-09,CUST-004,Bottle,Blow Molding,FR-001-HDPE-300,WO-1229,2549411010122932,ISBM-001,6698,0.221,1480.26
SO-10177,2025-12-15,CUST-005,Bottle,Blow Molding,FR-001-HDPE-300,WO-1230,2549531010123033,ISBM-001,5750,0.1635,940.12
SO-10178,2025-12-09,CUST-012,Bottle,Blow Molding,FR-007-rPET-350,WO-1231,2549521010123134,ISBM-001,5009,0.123,616.11
SO-10179,2025-12-18,CUST-006,Bottle,Blow Molding,FR-007-rPET-350,WO-1232,2549621010123235,ISBM-001,3459,0.0871,301.28
SO-10180,2025-12-15,CUST-002,Bottle,Blow Molding,FR-007-PVC-350,WO-1236,2550221010123639,ISBM-001,9007,0.3042,2739.93
SO-10181,2025-12-22,CUST-006,Bottle,Blow Molding,FR-007-PVC-350,WO-1237,2550311010123740,ISBM-001,4841,0.3234,1565.58
