Date,Process,MachineId,ToolId,WorkOrder,ProductId,ProductBatch,StartTime,EndTime,PlannedQty,ProducedQty,RejectedQty,OperatorId,IsRedo,RedoOfBatch
2025-07-20,  Blow Molding  ,ISBM-001,M-SOP-007,WO-1028,FR-007-HDPE-350,LOTE-M-SOP-007-2015,15:52:02,15:22:02,12096,6109,159,OP-SOP-003,False,
2025-07-21,Blow Molding,ISBM-001,M-SOP-001,WO-1029,FR-001-HDPE-300,LOTE-M-SOP-001-2016,17:19:33,08:39:10,9620,8131,207,OP-SOP-002,False,
2025-07-22,Blow Molding,ISBM-001,M-SOP-007,WO-1030,FR-007-PP-PCR-350,LOTE-M-SOP-007-2017,10:29:42,22:58:32,7917,7798,83,OP-SOP-001,False,
2025-07-23,Blow Molding,ISBM-001,M-SOP-001,WO-1031,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2018,01:18:04,13:36:08,5824,3315,56,OP-SOP-002,False,
2025-07-23,Blow Molding,ISBM-001,M-SOP-001,WO-1032,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2019,14:37:59,05:43:25,9620,8486,205,OP-SOP-003,False,
2025-07-24,Blow Molding,ISBM-001,M-SOP-001,WO-1033,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2019,06:51:27,19:45:14,7585,5685,123,OP-SOP-004,False,
2025-07-24,Blow Molding,ISBM-001,M-SOP-001,WO-1034,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2019,20:53:42,09:39:20,8053,6657,136,OP-SOP-004,False,
2025-07-25,Blow Molding,ISBM-001,M-SOP-007,WO-1035,FR-007-rPET-350,LOTE-M-SOP-007-2020,10:23:13,07:41:15,10738,6827,116,OP-SOP-002,False,
2025-07-26,Blow Molding,ISBM-001,M-SOP-007,WO-1036,FR-007-rPET-350,LOTE-M-SOP-007-2020,08:13:25,00:12:32,9639,7632,129,OP-SOP-003,False,
2025-07-27,Blow Molding,ISBM-001,M-SOP-007,WO-1037,FR-007-PP-PCR-350,LOTE-M-SOP-007-2021,00:29:44,20:53:46,12662,10474,239,OP-SOP-004,False,
2025-07-27,Blow Molding,ISBM-001,M-SOP-007,WO-1038,FR-007-PP-PCR-350,LOTE-M-SOP-007-2021,21:44:28,13:53:42,8073,5324,183,OP-SOP-001,False,
2025-07-28,Blow Molding,ISBM-001,M-SOP-007,WO-1039,FR-007-PP-PCR-350,LOTE-M-SOP-007-2021,14:19:30,05:58:13,10055,8652,248,OP-SOP-003,False,
2025-07-29,Blow Molding,ISBM-001,M-SOP-001,WO-1040,FR-001-HDPE-300,LOTE-M-SOP-001-2022,07:11:48,19:42:51,7904,7228,128,OP-SOP-003,False,
2025-07-29,Blow Molding,ISBM-001,M-SOP-001,WO-1041,FR-001-HDPE-300,LOTE-M-SOP-001-2022,19:52:25,16:45:09,13208,12036,282,OP-SOP-003,False,
2025-07-30,Blow Molding,ISBM-001,M-SOP-001,WO-1042,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2023,17:57:04,12:35:52,12044,11128,253,OP-SOP-002,False,
2025-07-31,Blow Molding,ISBM-001,M-SOP-001,WO-1043,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2023,13:22:09,01:21:31,7735,7002,138,OP-SOP-003,False,
2025-08-01,Blow Molding,ISBM-001,M-SOP-001,WO-1044,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2023,02:27:41,20:52:00,11622,9918,189,OP-SOP-004,False,
2025-08-01,Blow Molding,ISBM-001,M-SOP-001,WO-1045,FR-001-rPET-300,LOTE-M-SOP-001-2024,21:18:01,17:28:04,11414,9192,212,OP-SOP-001,False,
2025-08-02,Blow Molding,ISBM-001,M-SOP-001,WO-1046,FR-001-rPET-300,LOTE-M-SOP-001-2024,18:31:23,07:37:54,8333,7128,187,OP-SOP-004,False,
2025-08-03,Blow Molding,ISBM-001,M-SOP-001,WO-1047,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2025,08:22:40,00:23:10,7767,5056,95,OP-SOP-003,False,
2025-08-04,Blow Molding,ISBM-001,M-SOP-001,WO-1048,FR-001-rPET-300,LOTE-M-SOP-001-2026,00:59:12,16:44:05,8983,7524,150,OP-SOP-004,False,
2025-08-04,Blow Molding,ISBM-001,M-SOP-007,WO-1049,FR-007-HDPE-PCR-350,LOTE-M-SOP-007-2027,18:35:55,08:34:53,8976,8090,238,OP-SOP-001,False,
2025-08-05,Blow Molding,ISBM-001,M-SOP-007,WO-1050,FR-007-HDPE-PCR-350,LOTE-M-SOP-007-2028,09:43:49,20:55:18,6857,6085,105,OP-SOP-004,False,
2025-08-05,Blow Molding,ISBM-001,M-SOP-007,WO-1051,FR-007-HDPE-PCR-350,LOTE-M-SOP-007-2028,21:16:57,14:33:19,9555,7270,241,OP-SOP-001,False,
2025-08-06,Blow Molding,ISBM-001,M-SOP-007,WO-1052,FR-007-HDPE-PCR-350,LOTE-M-SOP-007-2028,14:46:01,09:26:15,12044,10443,196,OP-SOP-001,False,
2025-08-07,Blow Molding,ISBM-001,M-SOP-001,WO-1053,FR-001-rPET-300,LOTE-M-SOP-001-2029,11:38:31,22:41:38,7007,6247,103,OP-SOP-004,False,
2025-08-08,Blow Molding,ISBM-001,M-SOP-007,WO-1054,FR-007-HDPE-PCR-350,LOTE-M-SOP-007-2030,00:37:13,15:57:26,7728,5065,131,---,False,
2025-08-08,Blow Molding,ISBM-001,M-SOP-007,WO-1055,FR-007-rPET-350,LOTE-M-SOP-007-2031,16:48:12,16:18:12,10530,5396,161,OP-SOP-001,False,
2025-08-09,Blow Molding,ISBM-001,M-SOP-007,WO-1056,FR-007-rPET-350,LOTE-M-SOP-007-2031,17:29:00,07:21:35,8047,6621,184,OP-SOP-003,False,
2025-08-10,Blow Molding,ISBM-001,M-SOP-001,WO-1057,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2032,09:20:47,03:29:10,9451,6164,100,OP-SOP-001,False,
2025-08-11,Blow Molding,ISBM-001,M-SOP-007,WO-1058,FR-007-PVC-350,LOTE-M-SOP-007-2033,04:52:25,22:05:51,10900,10112,403,OP-SOP-004,False,
2025-08-11,Blow Molding,ISBM-001,M-SOP-007,WO-1059,FR-007-PVC-350,LOTE-M-SOP-007-2033,22:40:17,11:43:55,7943,7140,184,OP-SOP-001,False,
2025-08-12,Blow Molding,ISBM-001,M-SOP-007,WO-1060,FR-007-HDPE-PCR-350,LOTE-M-SOP-007-2034,12:35:52,08:56:10,13032,11899,267,OP-SOP-002,False,
2025-08-13,Blow Molding,ISBM-001,M-SOP-007,WO-1061,FR-007-HDPE-PCR-350,LOTE-M-SOP-007-2034,09:13:42,21:36:53,6948,4853,80,OP-SOP-001,False,
2025-08-13,BLOW MOLDING,ISBM-001,M-SOP-007,WO-1062,FR-007-rPET-350,LOTE-M-SOP-007-2035,22:20:40,15:35:50,10692,10162,221,OP-SOP-004,False,
2025-08-14,Blow Molding,ISBM-001,M-SOP-001,WO-1063,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2036,16:36:52,10:25:06,8996,5554,125,OP-SOP-003,False,
2025-08-15,Blow Molding,ISBM-001,M-SOP-001,WO-1064,FR-001-HDPE-300,LOTE-M-SOP-001-2037,10:38:48,04:23:45,8404,4790,86,OP-SOP-001,False,
2025-08-16,Blow Molding,ISBM-001,M-SOP-001,WO-1065,FR-001-HDPE-300,LOTE-M-SOP-001-2037,04:38:09,18:50:57,8703,7691,166,OP-SOP-002,False,
2025-08-16,Blow Molding,ISBM-001,M-SOP-001,WO-1066,FR-001-HDPE-300,LOTE-M-SOP-001-2037,19:03:38,03:54:37,5063,4210,114,OP-SOP-002,False,
2025-08-17,Blow Molding,ISBM-001,M-SOP-001,WO-1067,FR-001-rPET-300,LOTE-M-SOP-001-2038,04:33:35,17:40:04,6701,4612,82,OP-SOP-001,False,
2025-08-17,Blow Molding,ISBM-001,M-SOP-001,WO-1068,FR-001-rPET-300,LOTE-M-SOP-001-2038,18:06:36,14:42:24,11784,9613,235,OP-SOP-001,False,
2025-08-18,Blow Molding,ISBM-001,M-SOP-001,WO-1069,FR-001-rPET-300,LOTE-M-SOP-001-2038,15:43:53,13:38:09,13175,11803,329,OP-SOP-002,False,
2025-08-19,Blow Molding,ISBM-001,M-SOP-007,WO-1070,FR-007-HDPE-PCR-350,LOTE-M-SOP-007-2039,15:51:45,15:21:45,12714,7875,231,OP-SOP-003,False,
2025-08-20,Blow Molding,ISBM-001,M-SOP-007,WO-1071,FR-007-HDPE-PCR-350,LOTE-M-SOP-007-2039,16:09:06,06:45:04,9418,8459,246,OP-SOP-003,False,
2025-08-21,Blow Molding,ISBM-001,M-SOP-007,WO-1072,FR-007-HDPE-PCR-350,LOTE-M-SOP-007-2039,07:30:44,20:36:07,7702,6752,144,OP-SOP-003,False,
2025-08-21,Blow Molding,ISBM-001,M-SOP-001,WO-1073,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2040,22:36:57,18:28:29,12421,11487,214,OP-SOP-003,False,
2025-08-22,Blow Molding,ISBM-001,M-SOP-001,WO-1074,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2040,18:41:39,08:25:08,8476,7279,207,OP-SOP-004,False,
2025-08-23,Blow Molding,ISBM-001,M-SOP-001,WO-1075,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2040,09:02:10,01:14:10,10432,9951,159,OP-SOP-002,False,
2025-08-24,Blow Molding,ISBM-001,M-SOP-007,WO-1076,FR-007-PP-350,LOTE-M-SOP-007-2041,03:51:48,19:23:12,9275,7882,199,OP-SOP-002,False,
2025-08-24,blow molding,ISBM-001,M-SOP-007,WO-1077,FR-007-PP-350,LOTE-M-SOP-007-2041,20:02:25,09:50:13,7175,5201,128,OP-SOP-001,False,
2025-08-25,BLOW MOLDING,ISBM-001,M-SOP-001,WO-1078,FR-001-rPET-300,LOTE-M-SOP-001-2042,11:39:32,02:36:50,9509,7707,162,OP-SOP-001,False,
2025-08-26,Blow Molding,ISBM-001,M-SOP-001,WO-1079,FR-001-rPET-300,LOTE-M-SOP-001-2042,03:11:14,18:30:26,9776,8506,131,OP-SOP-001,False,
2025-08-26,Blow Molding,ISBM-001,M-SOP-001,WO-1080,FR-001-rPET-300,LOTE-M-SOP-001-2042,18:48:00,10:16:20,9711,8083,163,OP-SOP-001,False,
2025-08-27,Blow Molding,ISBM-001,M-SOP-007,WO-1081,FR-007-PETG-350,LOTE-M-SOP-007-2043,12:12:57,00:14:03,7397,6282,125,OP-SOP-001,False,
2025-08-28,Blow Molding,ISBM-001,M-SOP-007,WO-1082,FR-007-HDPE-350,LOTE-M-SOP-007-2044,01:01:33,00:25:42,9867,4118,88,OP-SOP-002,False,
2025-08-29,Blow Molding,ISBM-001,M-SOP-007,WO-1083,FR-007-PP-350,LOTE-M-SOP-007-2045,01:29:29,13:03:01,7007,6105,130,OP-SOP-003,False,
2025-08-29,  Blow Molding  ,ISBM-001,M-SOP-007,WO-1084,FR-007-PP-350,LOTE-M-SOP-007-2045,14:11:44,11:19:28,12408,9895,199,OP-SOP-003,False,
2025-08-30,Blow Molding,ISBM-001,M-SOP-007,WO-1085,FR-007-PP-350,LOTE-M-SOP-007-2045,11:49:32,05:43:31,7813,3502,66,OP-SOP-001,False,
2025-08-31,Blow Molding,ISBM-001,M-SOP-007,WO-1086,FR-007-PETG-350,LOTE-M-SOP-007-2046,06:47:07,23:04:47,10439,10006,166,OP-SOP-003,False,
2025-09-01,Blow Molding,ISBM-001,M-SOP-001,WO-1087,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2047,00:47:13,18:13:11,11115,10656,189,OP-SOP-003,False,
2025-09-01,Blow Molding,ISBM-001,M-SOP-001,WO-1088,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2047,19:22:38,04:48:43,5700,4932,120,OP-SOP-003,False,
2025-09-02,Blow Molding,ISBM-001,M-SOP-007,WO-1089,FR-007-PP-PCR-350,LOTE-M-SOP-007-2048,06:06:36,20:49:36,8788,7210,202,OP-SOP-002,False,
2025-09-02,  Blow Molding  ,ISBM-001,M-SOP-001,WO-1090,FR-001-rPET-300,LOTE-M-SOP-001-2049,23:42:47,14:51:28,9613,9007,190,OP-SOP-001,False,
2025-09-03,Blow Molding,ISBM-001,M-SOP-001,WO-1091,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2050,15:01:14,05:11:01,9113,8441,220,OP-SOP-003,False,
2025-09-04,Blow Molding,ISBM-001,M-SOP-001,WO-1092,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2050,06:17:29,22:56:55,9327,6632,150,OP-SOP-002,False,
2025-09-04,Blow Molding,ISBM-001,M-SOP-001,WO-1093,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2050,23:35:17,19:22:43,10588,7831,143,OP-SOP-001,False,
2025-09-05,Blow Molding,ISBM-001,M-SOP-007,WO-1094,FR-007-PP-PCR-350,LOTE-M-SOP-007-2051,20:17:11,09:16:32,8287,7577,167,OP-SOP-001,False,
2025-09-06,Blow Molding,ISBM-001,M-SOP-007,WO-1095,FR-007-PP-PCR-350,LOTE-M-SOP-007-2051,09:22:44,04:36:30,10653,8849,228,OP-SOP-001,False,
2025-09-07,Blow Molding,ISBM-001,M-SOP-001,WO-1096,FR-001-HDPE-300,LOTE-M-SOP-001-2052,06:05:57,20:02:08,7559,5954,115,OP-SOP-001,False,
2025-09-07,Blow Molding,ISBM-001,M-SOP-001,WO-1097,FR-001-HDPE-300,LOTE-M-SOP-001-2052,20:37:50,16:07:54,11947,10175,274,OP-SOP-002,False,
2025-09-08,Blow Molding,ISBM-001,M-SOP-001,WO-1098,FR-001-HDPE-300,LOTE-M-SOP-001-2052,16:14:26,07:31:29,9776,8788,202,OP-SOP-001,False,
2025-09-09,Blow Molding,ISBM-001,M-SOP-007,WO-1099,FR-007-rPET-350,LOTE-M-SOP-007-2053,10:28:42,00:27:56,8976,7631,150,OP-SOP-004,False,
2025-09-10,Blow Molding,ISBM-001,M-SOP-007,WO-1100,FR-007-rPET-350,LOTE-M-SOP-007-2053,01:24:42,16:36:24,9555,8771,182,OP-SOP-002,False,
2025-09-10,Blow Molding,ISBM-001,M-SOP-007,WO-1101,FR-007-rPET-350,LOTE-M-SOP-007-2053,17:13:36,04:25:14,6636,5718,135,OP-SOP-001,False,
2025-09-11,Blow Molding,ISBM-001,M-SOP-007,WO-1102,FR-007-PETG-350,LOTE-M-SOP-007-2054,05:30:24,18:54:06,7111,5277,-151,OP-SOP-002,False,
2025-09-11,Blow Molding,ISBM-001,M-SOP-007,WO-1103,FR-007-PETG-350,LOTE-M-SOP-007-2054,19:23:00,14:27:49,12278,10175,266,OP-SOP-001,False,
2025-09-12,BLOW MOLDING,ISBM-001,M-SOP-007,WO-1104,FR-007-PETG-350,LOTE-M-SOP-007-2054,15:20:43,07:53:10,10718,9560,267,OP-SOP-002,False,
2025-09-13,Blow Molding,ISBM-001,M-SOP-001,WO-1105,FR-001-rPET-300,LOTE-M-SOP-001-2055,09:42:03,23:56:04,5947,2666,49,OP-SOP-002,False,
2025-09-14,Blow Molding,ISBM-001,M-SOP-001,WO-1106,FR-001-HDPE-300,LOTE-M-SOP-001-2056,00:12:00,15:54:32,8710,6183,140,OP-SOP-002,False,
2025-09-14,Blow Molding,ISBM-001,M-SOP-001,WO-1107,FR-001-HDPE-300,LOTE-M-SOP-001-2056,16:48:07,12:49:25,10783,7616,236,OP-SOP-001,False,
2025-09-15,Blow Molding,ISBM-001,M-SOP-001,WO-1108,FR-001-rPET-300,LOTE-M-SOP-001-2057,13:44:02,08:42:41,8157,4002,65,OP-SOP-002,False,
2025-09-16,Blow Molding,ISBM-001,M-SOP-001,WO-1109,FR-001-rPET-300,LOTE-M-SOP-001-2057,09:20:38,02:16:13,8632,5779,109,OP-SOP-003,False,
2025-09-17,Blow Molding,ISBM-001,M-SOP-001,WO-1110,FR-001-rPET-300,LOTE-M-SOP-001-2058,03:11:44,13:59:34,6838,6358,142,OP-SOP-004,False,
2025-09-17,BLOW MOLDING,ISBM-001,M-SOP-001,WO-1111,FR-001-rPET-300,LOTE-M-SOP-001-2058,14:54:43,03:55:00,4771,985,23,OP-SOP-002,False,
2025-09-18,Blow Molding,ISBM-001,M-SOP-007,WO-1112,FR-007-PETG-350,LOTE-M-SOP-007-2059,05:51:59,12:52:03,4296,3590,75,OP-SOP-002,False,
2025-09-18,Blow Molding,ISBM-001,M-SOP-001,WO-1113,FR-001-HDPE-300,LOTE-M-SOP-001-2060,15:17:43,05:34:50,9204,8480,271,OP-SOP-002,False,
2025-09-19,Blow Molding,ISBM-001,M-SOP-001,WO-1114,FR-001-HDPE-300,LOTE-M-SOP-001-2060,06:08:59,23:34:08,8365,4794,93,OP-SOP-003,False,
2025-09-20,BLOW MOLDING,ISBM-001,M-SOP-001,WO-1115,FR-001-HDPE-300,LOTE-M-SOP-001-2060,00:11:40,21:23:10,10484,7015,165,OP-SOP-002,False,
2025-09-20,Blow Molding,ISBM-001,M-SOP-001,WO-1116,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2061,22:05:40,13:53:25,8580,6563,119,OP-SOP-002,False,
2025-09-21,Blow Molding,ISBM-001,M-SOP-007,WO-1117,FR-007-HDPE-350,LOTE-M-SOP-007-2062,16:12:34,08:25:15,10146,7971,211,OP-SOP-003,False,
2025-09-22,Blow Molding,ISBM-001,M-SOP-007,WO-1118,FR-007-HDPE-350,LOTE-M-SOP-007-2062,08:36:50,23:20:06,6285,3152,73,OP-SOP-003,False,
2025-09-22,  Blow Molding  ,ISBM-001,M-SOP-007,WO-1119,FR-007-PVC-350,LOTE-M-SOP-007-2063,23:43:40,08:35:08,5674,5067,232,OP-SOP-004,False,
2025-09-23,Blow Molding,ISBM-001,M-SOP-001,WO-1120,FR-001-HDPE-300,LOTE-M-SOP-001-2064,10:58:13,22:50:03,6012,3863,53,OP-SOP-002,False,
2025-09-24,Blow Molding,ISBM-001,M-SOP-007,WO-1121,FR-007-PVC-350,LOTE-M-SOP-007-2065,00:38:06,15:38:08,9470,8232,180,OP-SOP-003,False,
2025-09-24,blow molding,ISBM-001,M-SOP-001,WO-1122,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2066,17:11:35,03:50:38,6825,6593,166,OP-SOP-003,False,
2025-09-25,Blow Molding,ISBM-001,M-SOP-001,WO-1123,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2066,04:07:41,21:04:36,8320,5439,121,OP-SOP-002,False,
2025-09-25,Blow Molding,ISBM-001,M-SOP-001,WO-1124,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2066,22:03:47,21:33:47,11791,6286,131,OP-SOP-004,False,
2025-09-26,  Blow Molding  ,ISBM-001,M-SOP-007,WO-1125,FR-007-PVC-350,LOTE-M-SOP-007-2067,23:05:31,19:26:24,10555,7197,279,OP-SOP-002,False,
2025-09-27,  Blow Molding  ,ISBM-001,M-SOP-007,WO-1126,FR-007-PVC-350,LOTE-M-SOP-007-2067,20:17:55,03:47:00,4647,4547,93,OP-SOP-002,False,
2025-09-28,Blow Molding,ISBM-001,M-SOP-001,WO-1127,FR-001-HDPE-300,LOTE-M-SOP-001-2068,06:39:06,23:44:35,8242,4885,90,OP-SOP-004,False,
2025-09-29,Blow Molding,ISBM-001,M-SOP-001,WO-1128,FR-001-HDPE-300,LOTE-M-SOP-001-2068,00:47:53,13:38:39,7975,7578,137,OP-SOP-002,False,
2025-09-29,Blow Molding,ISBM-001,M-SOP-007,WO-1129,FR-007-PP-PCR-350,LOTE-M-SOP-007-2069,14:51:45,01:34:23,4381,1716,47,OP-SOP-004,False,
2025-09-30,BLOW MOLDING,ISBM-001,M-SOP-007,WO-1130,FR-007-PP-PCR-350,LOTE-M-SOP-007-2069,01:43:40,19:29:15,11290,10749,313,OP-SOP-003,False,
2025-09-30,Blow Molding,ISBM-001,M-SOP-007,WO-1131,FR-007-PP-PCR-350,LOTE-M-SOP-007-2069,20:30:00,13:56:54,7241,3129,116,OP-SOP-003,False,
2025-10-01,Blow Molding,ISBM-001,M-SOP-007,WO-1132,FR-007-rPET-350,LOTE-M-SOP-007-2070,14:24:27,10:37:29,12343,9494,331,OP-SOP-002,False,
2025-10-02,Blow Molding,ISBM-001,M-SOP-001,WO-1133,FR-001-rPET-300,LOTE-M-SOP-001-2071,12:14:51,01:07:54,8144,6962,121,OP-SOP-001,False,
2025-10-03,Blow Molding,ISBM-001,M-SOP-001,WO-1134,FR-001-rPET-300,LOTE-M-SOP-001-2071,02:05:08,21:33:59,9503,6304,125,OP-SOP-004,False,
2025-10-03,Blow Molding,ISBM-001,M-SOP-001,WO-1135,FR-001-rPET-300,LOTE-M-SOP-001-2071,22:28:13,12:36:13,8729,7991,151,OP-SOP-001,False,
2025-10-04,Blow Molding,ISBM-001,M-SOP-001,WO-1136,FR-001-HDPE-300,LOTE-M-SOP-001-2072,13:41:48,02:42:08,6896,5099,80,OP-SOP-001,False,
2025-10-05,Blow Molding,ISBM-001,M-SOP-001,WO-1137,FR-001-HDPE-300,LOTE-M-SOP-001-2072,03:24:07,13:23:29,6266,5768,111,OP-SOP-001,False,
2025-10-05,Blow Molding,ISBM-001,M-SOP-001,WO-1138,FR-001-HDPE-300,LOTE-M-SOP-001-2072,13:52:01,02:33:26,7631,6821,113,OP-SOP-002,False,
2025-10-06,Blow Molding,ISBM-001,M-SOP-001,WO-1139,FR-001-HDPE-300,LOTE-M-SOP-001-2073,03:05:06,20:38:38,11245,9203,208,OP-SOP-004,False,
2025-10-06,BLOW MOLDING,ISBM-001,M-SOP-001,WO-1140,FR-001-HDPE-300,LOTE-M-SOP-001-2073,21:46:41,10:20:09,7962,6998,173,OP-SOP-004,False,
2025-10-07,Blow Molding,ISBM-001,M-SOP-007,WO-1141,FR-007-PP-350,LOTE-M-SOP-007-2074,12:21:37,10:31:12,10049,4846,121,OP-SOP-001,False,
2025-10-08,Blow Molding,ISBM-001,M-SOP-001,WO-1142,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2075,11:43:47,03:44:40,9418,7457,128,OP-SOP-004,False,
2025-10-09,Blow Molding,ISBM-001,M-SOP-001,WO-1143,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2076,04:49:50,18:48:00,8814,7643,130,OP-SOP-003,False,
