WorkOrder,Process,MachineId,MoldId,ProductionDate,BarrelTemperatureC,InjectionSpeedPct,CoolingTimeSec,PackingPressureBar,MoldTemperatureC,MoldHumidityPct
WO-7380,injection molding,IM-001,M-INJ-001,2025-07-13,223.9,63.0,11.8,66.8,53.4,
WO-7381,Injection Molding,IM-001,M-INJ-001,2025-07-14,227.2,67.3,12.8,62.9,47.1,
WO-7382,Injection Molding,IM-001,M-INJ-001,2025-07-15,226.4,74.7,11.4,69.6,48.8,
WO-7383,Injection Molding,IM-001,M-INJ-001,2025-07-15,223.5,62.6,8.7,62.5,47.7,
WO-7384,Injection Molding,IM-001,M-INJ-001,2025-07-16,224.6,77.1,11.1,62.7,47.5,
WO-7385,Injection Molding,IM-001,M-INJ-001,2025-07-17,225.9,66.7,12.4,65.5,42.8,
WO-7386,INJECTION MOLDING,IM-001,M-INJ-001,2025-07-18,226.7,74.4,9.5,66.9,44.2,
WO-7387,Injection Molding,IM-001,M-INJ-001,2025-07-18,226.0,74.0,11.7,73.2,45.9,
WO-7388,Injection Molding,IM-001,M-INJ-001,2025-07-19,228.0,67.9,10.6,74.3,44.2,
WO-7389,injection molding,IM-001,M-INJ-001,2025-07-20,221.5,69.8,12.2,65.5,44.3,
WO-7390,Injection Molding,IM-001,M-INJ-001,2025-07-21,222.2,75.5,11.5,62.1,46.8,
WO-7391,Injection Molding,IM-001,M-INJ-001,2025-07-22,227.3,63.5,12.8,58.2,45.7,
WO-7392,Injection Molding,IM-001,M-INJ-001,2025-07-22,223.7,69.9,13.0,60.7,40.7,
WO-7393,Injection Molding,IM-001,M-INJ-001,2025-07-23,223.7,73.0,11.9,67.4,40.4,
WO-7394,Injection Molding,IM-001,M-INJ-001,2025-07-23,223.2,58.2,11.5,70.5,42.7,
WO-7395,Injection Molding,IM-001,M-INJ-001,2025-07-24,223.1,70.6,11.9,64.7,46.6,
WO-7396,Injection Molding,IM-001,M-INJ-001,2025-07-25,223.8,65.3,11.9,64.4,47.0,
WO-7397,Injection Molding,IM-001,M-INJ-001,2025-07-26,227.4,75.4,10.7,77.1,42.8,
WO-7398,Injection Molding,IM-001,M-INJ-001,2025-07-27,226.3,68.5,11.8,64.4,48.2,
WO-7399,Injection Molding,IM-001,M-INJ-001,2025-07-28,222.9,65.5,10.9,64.7,40.7,
WO-7400,Injection Molding,IM-001,M-INJ-001,2025-07-28,223.1,75.5,10.2,62.9,40.3,
WO-7401,  Injection Molding  ,IM-001,M-INJ-001,2025-07-29,227.5,67.0,11.2,68.7,44.0,
WO-7402,Injection Molding,IM-001,M-INJ-001,2025-07-30,227.7,73.0,11.0,67.6,47.1,
WO-7403,Injection Molding,IM-001,M-INJ-001,2025-07-31,227.3,62.4,11.4,65.1,46.5,
WO-7404,Injection Molding,IM-001,M-INJ-001,2025-07-31,225.9,70.3,8.8,77.1,43.6,
WO-7405,Injection Molding,IM-001,M-INJ-001,2025-08-01,222.8,71.0,12.5,56.2,41.3,
WO-7406,Injection Molding,IM-001,M-INJ-001,2025-08-02,226.5,67.3,12.2,68.4,53.5,
WO-7407,injection molding,IM-001,M-INJ-001,2025-08-02,227.9,67.7,12.5,60.4,43.8,
WO-7408,Injection Molding,IM-001,M-INJ-001,2025-08-03,226.9,66.7,10.0,60.0,42.9,
WO-7409,Injection Molding,IM-001,M-INJ-001,2025-08-04,226.8,77.9,11.7,67.5,42.7,
WO-7410,Injection Molding,IM-001,M-INJ-001,2025-08-04,220.7,69.3,8.5,68.6,43.2,
WO-7411,injection molding,IM-001,M-INJ-001,2025-08-05,220.2,73.8,11.5,58.8,45.3,
WO-7412,  Injection Molding  ,IM-001,M-INJ-001,2025-08-06,224.2,67.0,11.1,69.1,42.7,
WO-7413,Injection Molding,IM-001,M-INJ-001,2025-08-06,221.8,69.9,12.6,67.8,44.1,
WO-7414,Injection Molding,IM-001,M-INJ-001,2025-08-07,226.3,66.9,10.3,55.4,43.6,
WO-7415,Injection Molding,IM-001,M-INJ-001,2025-08-08,224.3,68.9,12.9,60.2,44.8,
WO-7416,Injection Molding,IM-001,M-INJ-001,2025-08-08,222.5,73.5,12.3,64.8,49.1,
WO-7417,Injection Molding,IM-001,M-INJ-001,2025-08-09,227.1,65.6,10.4,64.0,39.6,
WO-7418,INJECTION MOLDING,IM-001,M-INJ-001,2025-08-10,226.6,69.0,12.6,66.3,49.4,
WO-7419,Injection Molding,IM-001,M-INJ-001,2025-08-11,229.3,68.0,11.4,62.2,46.1,
WO-7420,Injection Molding,IM-001,M-INJ-001,2025-08-11,226.0,63.4,11.1,59.2,40.8,
WO-7421,Injection Molding,IM-001,M-INJ-001,2025-08-12,225.3,62.3,10.0,78.8,45.1,
WO-7422,Injection Molding,IM-001,M-INJ-001,2025-08-12,225.0,69.6,9.0,62.6,43.5,
WO-7423,Injection Molding,IM-001,M-INJ-001,2025-08-13,224.8,70.4,10.9,58.9,50.3,
WO-7424,Injection Molding,IM-001,M-INJ-001,2025-08-14,227.1,76.6,12.4,59.5,46.1,
WO-7425,Injection Molding,IM-001,M-INJ-001,2025-08-15,221.4,71.2,11.6,60.6,40.1,
WO-7426,Injection Molding,IM-001,M-INJ-001,2025-08-15,225.5,74.9,11.5,68.2,46.1,
WO-7427,  Injection Molding  ,IM-001,M-INJ-001,2025-08-16,225.0,73.6,10.2,61.4,51.8,
WO-7428,Injection Molding,IM-001,M-INJ-001,2025-08-16,224.2,74.0,12.1,62.8,41.3,
WO-7429,Injection Molding,IM-001,M-INJ-001,2025-08-17,226.9,63.5,10.7,68.6,44.0,
WO-7430,Injection Molding,IM-001,M-INJ-001,2025-08-18,225.9,77.7,11.1,66.1,46.5,
WO-7431,  Injection Molding  ,IM-001,M-INJ-001,2025-08-18,225.7,67.6,11.2,73.0,44.0,
WO-7432,Injection Molding,IM-001,M-INJ-001,2025-08-19,224.4,59.1,10.1,59.2,42.0,
WO-7433,Injection Molding,IM-001,M-INJ-001,2025-08-20,227.4,76.1,12.5,60.9,46.2,
WO-7434,Injection Molding,IM-001,M-INJ-001,2025-08-20,226.9,80.4,13.0,52.8,43.4,
WO-7435,Injection Molding,IM-001,M-INJ-001,2025-08-20,224.7,69.4,10.1,67.5,44.6,
WO-7436,Injection Molding,IM-001,M-INJ-001,2025-08-21,223.1,67.5,11.0,62.4,47.4,
WO-7437,Injection Molding,IM-001,M-INJ-001,2025-08-22,224.4,72.9,9.9,57.2,44.3,
WO-7438,Injection Molding,IM-001,M-INJ-001,2025-08-22,221.5,74.0,11.1,49.9,43.8,
WO-7439,Injection Molding,IM-001,M-INJ-001,2025-08-23,222.9,70.3,12.3,63.1,45.4,
WO-7440,Injection Molding,IM-001,M-INJ-001,2025-08-24,227.8,73.8,11.6,57.8,45.2,
WO-7441,INJECTION MOLDING,IM-001,M-INJ-001,2025-08-24,227.6,73.1,9.1,63.3,43.5,
WO-7442,Injection Molding,IM-001,M-INJ-001,2025-08-25,222.7,73.1,10.8,70.6,40.5,
WO-7443,Injection Molding,IM-001,M-INJ-001,2025-08-25,223.0,78.1,10.9,63.2,43.2,
WO-7444,Injection Molding,IM-001,M-INJ-001,2025-08-26,227.7,70.6,8.7,54.8,44.0,
WO-7445,Injection Molding,IM-001,M-INJ-001,2025-08-26,222.8,69.6,12.0,65.1,48.1,
WO-7446,Injection Molding,IM-001,M-INJ-001,2025-08-27,226.3,75.3,11.2,69.7,45.8,
WO-7447,Injection Molding,IM-001,M-INJ-001,2025-08-28,226.4,75.9,11.9,64.2,42.9,
WO-7448,Injection Molding,IM-001,M-INJ-001,2025-08-29,227.1,69.3,12.9,57.1,41.3,
WO-7449,Injection Molding,IM-001,M-INJ-001,2025-08-30,224.9,68.2,10.7,63.7,46.9,
WO-7450,Injection Molding,IM-001,M-INJ-001,2025-08-31,223.4,69.0,10.7,61.2,47.7,
WO-7451,  Injection Molding  ,IM-001,M-INJ-001,2025-08-31,225.1,73.8,12.7,67.5,48.3,
WO-7452,Injection Molding,IM-001,M-INJ-001,2025-09-01,225.7,77.5,8.4,68.8,45.9,
WO-7453,injection molding,IM-001,M-INJ-001,2025-09-02,221.9,64.7,9.8,69.1,44.4,
WO-7454,Injection Molding,IM-001,M-INJ-001,2025-09-02,226.6,74.6,12.2,64.9,42.2,
WO-7455,Injection Molding,IM-001,M-INJ-001,2025-09-03,224.8,77.8,11.7,65.9,45.9,
WO-7456,Injection Molding,IM-001,M-INJ-001,2025-09-03,224.2,66.2,11.6,72.3,50.6,
WO-7457,Injection Molding,IM-001,M-INJ-001,2025-09-04,226.5,71.9,15.1,63.9,45.8,
WO-7458,Injection Molding,IM-001,M-INJ-001,2025-09-04,222.8,70.1,9.7,66.0,45.0,
WO-7459,Injection Molding,IM-001,M-INJ-001,2025-09-05,223.5,74.3,10.0,56.6,46.5,
WO-7460,Injection Molding,IM-001,M-INJ-001,2025-09-06,224.1,72.8,13.4,66.9,42.7,
WO-7461,Injection Molding,IM-001,M-INJ-001,2025-09-06,226.3,71.9,9.9,67.4,43.7,
WO-7462,Injection Molding,IM-001,M-INJ-001,2025-09-07,227.0,70.0,10.9,75.7,43.9,
WO-7463,Injection Molding,IM-001,M-INJ-001,2025-09-07,224.7,69.4,10.4,63.0,43.8,
WO-7464,  Injection Molding  ,IM-001,M-INJ-001,2025-09-08,225.2,67.7,10.6,59.0,44.3,
WO-7465,injection molding,IM-001,M-INJ-001,2025-09-08,226.3,68.8,10.1,69.8,46.5,
WO-7466,Injection Molding,IM-001,M-INJ-001,2025-09-09,226.1,72.5,12.0,65.6,44.0,
WO-7467,Injection Molding,IM-001,M-INJ-001,2025-09-10,227.6,69.2,10.4,62.4,43.1,
WO-7468,Injection Molding,IM-001,M-INJ-001,2025-09-11,225.8,65.4,10.4,70.0,48.0,
WO-7469,Injection Molding,IM-001,M-INJ-001,2025-09-11,226.3,67.8,11.0,62.7,40.9,
WO-7470,Injection Molding,IM-001,M-INJ-001,2025-09-12,227.4,78.2,11.9,69.7,45.0,
WO-7471,Injection Molding,IM-001,M-INJ-001,2025-09-12,223.8,69.5,10.5,57.5,41.8,
WO-7472,Injection Molding,IM-001,M-INJ-001,2025-09-13,223.6,69.7,11.2,59.8,50.5,
WO-7473,Injection Molding,IM-001,M-INJ-001,2025-09-14,223.9,74.0,12.3,66.1,41.2,
WO-7474,Injection Molding,IM-001,M-INJ-001,2025-09-14,222.0,68.8,12.8,58.5,44.3,
WO-7475,Injection Molding,IM-001,M-INJ-001,2025-09-15,224.5,64.7,12.8,58.2,47.0,
WO-7476,Injection Molding,IM-001,M-INJ-001,2025-09-16,223.2,71.2,9.2,67.5,51.7,
WO-7477,Injection Molding,IM-001,M-INJ-001,2025-09-16,225.0,59.2,10.8,64.3,49.2,
WO-7478,Injection Molding,IM-001,M-INJ-001,2025-09-17,224.0,63.7,11.5,63.8,47.5,
WO-7479,Injection Molding,IM-001,M-INJ-001,2025-09-18,223.9,72.4,10.3,68.9,44.4,
WO-7480,Injection Molding,IM-001,M-INJ-001,2025-09-18,223.4,73.3,10.5,53.6,45.3,
WO-7481,Injection Molding,IM-001,M-INJ-001,2025-09-19,226.6,66.5,8.9,61.5,51.6,
WO-7482,Injection Molding,IM-001,M-INJ-001,2025-09-20,223.4,71.1,10.3,65.2,43.5,
WO-7483,Injection Molding,IM-001,M-INJ-001,2025-09-21,225.5,61.6,11.5,68.2,45.3,
WO-7484,Injection Molding,IM-001,M-INJ-001,2025-09-21,227.5,65.1,11.8,66.1,40.9,
WO-7485,Injection Molding,IM-001,M-INJ-001,2025-09-22,223.5,65.5,10.5,70.4,41.5,
WO-7486,Injection Molding,IM-001,M-INJ-001,2025-09-23,224.9,72.8,11.3,62.4,45.6,
WO-7487,Injection Molding,IM-001,M-INJ-001,2025-09-24,228.7,70.5,10.3,61.8,43.0,
WO-7488,Injection Molding,IM-001,M-INJ-001,2025-09-24,230.0,70.2,11.2,61.6,42.9,
WO-7489,Injection Molding,IM-001,M-INJ-001,2025-09-25,226.0,68.3,10.8,62.7,46.1,
WO-7490,Injection Molding,IM-001,M-INJ-001,2025-09-26,226.7,68.2,10.8,71.3,49.3,
WO-7491,Injection Molding,IM-001,M-INJ-001,2025-09-27,222.0,66.5,10.6,68.8,46.2,
WO-7492,  Injection Molding  ,IM-001,M-INJ-001,2025-09-27,224.2,67.9,9.4,56.4,47.1,
WO-7493,Injection Molding,IM-001,M-INJ-001,2025-09-28,224.9,68.7,9.3,61.8,45.8,
WO-7494,Injection Molding,IM-001,M-INJ-001,2025-09-29,224.0,70.1,12.9,72.1,43.1,
WO-7495,Injection Molding,IM-001,M-INJ-001,2025-09-30,227.6,71.6,11.9,59.1,44.8,
WO-7496,Injection Molding,IM-001,M-INJ-001,2025-09-30,224.8,77.1,9.8,69.9,45.0,
WO-7497,Injection Molding,IM-001,M-INJ-001,2025-10-01,225.9,66.8,11.9,71.8,40.0,
WO-7498,Injection Molding,IM-001,M-INJ-001,2025-10-01,224.2,70.2,10.7,65.4,44.8,
WO-7499,Injection Molding,IM-001,M-INJ-001,2025-10-02,223.6,68.0,12.5,61.3,48.3,
WO-7500,Injection Molding,IM-001,M-INJ-001,2025-10-03,223.9,70.7,9.7,56.2,47.4,
WO-7501,Injection Molding,IM-001,M-INJ-001,2025-10-03,227.3,76.3,12.1,60.2,51.2,
WO-7502,Injection Molding,IM-001,M-INJ-001,2025-10-03,224.1,66.0,10.8,64.8,36.3,
WO-7503,Injection Molding,IM-001,M-INJ-001,2025-10-04,225.6,67.6,11.5,69.2,47.0,
WO-7504,Injection Molding,IM-001,M-INJ-001,2025-10-05,230.5,66.8,10.1,62.6,47.6,
WO-7505,Injection Molding,IM-001,M-INJ-001,2025-10-06,222.5,67.4,10.4,70.3,45.9,
WO-7506,Injection Molding,IM-001,M-INJ-001,2025-10-06,223.8,76.0,13.3,65.0,47.8,
WO-7507,Injection Molding,IM-001,M-INJ-001,2025-10-07,225.4,74.6,10.8,70.0,47.1,
WO-7508,  Injection Molding  ,IM-001,M-INJ-001,2025-10-08,227.7,67.9,12.7,60.2,41.6,
WO-7509,injection molding,IM-001,M-INJ-001,2025-10-08,225.0,65.4,11.2,62.3,41.2,
WO-7510,Injection Molding,IM-001,M-INJ-001,2025-10-09,227.2,65.8,11.4,71.7,42.0,
WO-7511,Injection Molding,IM-001,M-INJ-001,2025-10-10,224.9,74.3,9.8,64.4,45.4,
WO-7512,Injection Molding,IM-001,M-INJ-001,2025-10-10,227.9,71.1,10.6,71.7,47.4,
WO-7513,Injection Molding,IM-001,M-INJ-001,2025-10-11,228.1,73.4,11.1,58.7,47.3,
WO-7514,Injection Molding,IM-001,M-INJ-001,2025-10-12,226.5,68.1,12.4,64.5,43.9,
WO-7515,Injection Molding,IM-001,M-INJ-001,2025-10-12,223.9,71.0,11.1,61.5,48.9,
WO-7516,Injection Molding,IM-001,M-INJ-001,2025-10-13,226.2,72.6,12.0,62.8,45.2,
WO-7517,  Injection Molding  ,IM-001,M-INJ-001,2025-10-14,224.6,65.6,9.3,73.3,44.4,
WO-7518,Injection Molding,IM-001,M-INJ-001,2025-10-14,227.0,64.8,11.3,62.6,50.2,
WO-7519,Injection Molding,IM-001,M-INJ-001,2025-10-15,225.8,69.1,12.0,59.8,45.7,
WO-7520,Injection Molding,IM-001,M-INJ-001,2025-10-15,223.4,69.4,11.3,57.8,41.8,
WO-7521,  Injection Molding  ,IM-001,M-INJ-001,2025-10-16,222.5,64.5,12.2,62.9,45.4,
WO-7522,Injection Molding,IM-001,M-INJ-001,2025-10-17,224.5,72.9,11.6,73.2,40.9,
WO-7523,  Injection Molding  ,IM-001,M-INJ-001,2025-10-17,223.6,66.8,8.5,61.5,45.9,
WO-7524,Injection Molding,IM-001,M-INJ-001,2025-10-18,229.2,71.4,10.3,67.5,42.9,
WO-7525,Injection Molding,IM-001,M-INJ-001,2025-10-19,226.2,69.9,9.0,71.1,47.3,
WO-7526,Injection Molding,IM-001,M-INJ-001,2025-10-20,228.1,72.4,12.3,69.8,43.5,
WO-7527,Injection Molding,IM-001,M-INJ-001,2025-10-21,227.3,72.6,11.1,69.6,41.6,
WO-7528,Injection Molding,IM-001,M-INJ-001,2025-10-21,224.8,79.2,10.9,68.1,47.0,
WO-7529,Injection Molding,IM-001,M-INJ-001,2025-10-22,224.0,68.7,12.0,68.6,47.1,
WO-7530,Injection Molding,IM-001,M-INJ-001,2025-10-22,226.1,71.6,10.4,62.3,40.0,
WO-7531,  Injection Molding  ,IM-001,M-INJ-001,2025-10-23,227.0,67.6,9.9,63.8,47.8,
WO-7532,Injection Molding,IM-001,M-INJ-001,2025-10-24,224.8,61.5,10.7,67.6,45.6,
WO-7533,Injection Molding,IM-001,M-INJ-001,2025-10-24,226.6,71.0,10.3,58.8,45.3,
WO-7534,Injection Molding,IM-001,M-INJ-001,2025-10-25,224.7,76.0,12.2,59.6,44.7,
WO-7535,Injection Molding,IM-001,M-INJ-001,2025-10-26,223.0,70.3,11.5,74.6,43.9,
WO-7536,Injection Molding,IM-001,M-INJ-001,2025-10-27,227.0,71.6,10.1,70.0,46.0,
WO-7537,Injection Molding,IM-001,M-INJ-001,2025-10-27,226.0,66.5,10.4,60.8,42.2,
WO-7538,Injection Molding,IM-001,M-INJ-001,2025-10-28,227.7,74.3,11.0,56.2,42.1,
WO-7539,Injection Molding,IM-001,M-INJ-001,2025-10-29,226.9,76.4,10.0,68.7,46.7,
WO-7540,Injection Molding,IM-001,M-INJ-001,2025-10-30,222.6,65.6,11.9,59.1,47.5,
WO-7541,Injection Molding,IM-001,M-INJ-001,2025-10-30,225.9,67.1,12.9,52.5,43.7,
WO-7542,Injection Molding,IM-001,M-INJ-001,2025-10-31,222.5,71.1,9.9,70.3,46.0,
WO-7543,Injection Molding,IM-001,M-INJ-001,2025-11-01,224.4,75.0,11.3,71.4,47.1,
WO-7544,Injection Molding,IM-001,M-INJ-001,2025-11-01,222.2,66.7,9.7,53.4,43.4,
WO-7545,Injection Molding,IM-001,M-INJ-001,2025-11-02,231.0,66.7,12.1,59.1,46.3,
WO-7546,Injection Molding,IM-001,M-INJ-001,2025-11-02,225.9,74.1,11.2,69.7,46.3,
WO-7547,Injection Molding,IM-001,M-INJ-001,2025-11-03,226.2,61.9,11.5,65.5,47.0,
WO-7548,Injection Molding,IM-001,M-INJ-001,2025-11-04,226.1,71.0,10.8,74.8,41.7,
WO-7549,Injection Molding,IM-001,M-INJ-001,2025-11-05,227.8,64.6,12.9,69.5,47.1,
WO-7550,Injection Molding,IM-001,M-INJ-001,2025-11-06,222.6,64.9,10.6,67.0,45.9,
WO-7551,injection molding,IM-001,M-INJ-001,2025-11-07,226.9,69.5,10.9,63.8,39.4,
WO-7552,Injection Molding,IM-001,M-INJ-001,2025-11-07,225.5,64.2,7.8,62.7,43.8,
WO-7553,Injection Molding,IM-001,M-INJ-001,2025-11-08,220.2,65.4,10.8,57.3,53.5,
WO-7554,Injection Molding,IM-001,M-INJ-001,2025-11-08,227.5,63.0,10.0,63.3,42.4,
WO-7555,Injection Molding,IM-001,M-INJ-001,2025-11-09,223.1,75.3,9.6,57.6,46.5,
WO-7556,Injection Molding,IM-001,M-INJ-001,2025-11-10,223.9,69.6,11.3,58.9,45.2,
WO-7557,Injection Molding,IM-001,M-INJ-001,2025-11-11,223.6,70.7,13.3,70.2,43.8,
WO-7558,  Injection Molding  ,IM-001,M-INJ-001,2025-11-11,226.7,74.7,13.3,67.5,45.1,
WO-7559,Injection Molding,IM-001,M-INJ-001,2025-11-12,222.8,72.5,10.6,68.5,38.3,
WO-7560,Injection Molding,IM-001,M-INJ-001,2025-11-13,223.4,74.9,9.8,66.3,42.4,
WO-7561,Injection Molding,IM-001,M-INJ-001,2025-11-13,227.9,66.1,9.9,62.8,41.4,
WO-7562,injection molding,IM-001,M-INJ-001,2025-11-14,225.5,70.3,12.0,64.1,48.1,
WO-7563,Injection Molding,IM-001,M-INJ-001,2025-11-15,224.8,68.7,11.6,68.8,44.8,
WO-7564,Injection Molding,IM-001,M-INJ-001,2025-11-16,222.4,69.9,8.8,67.0,48.8,
WO-7565,Injection Molding,IM-001,M-INJ-001,2025-11-16,223.6,67.8,12.1,58.9,46.7,
WO-7566,Injection Molding,IM-001,M-INJ-001,2025-11-17,223.4,68.6,10.8,61.7,42.8,
WO-7567,Injection Molding,IM-001,M-INJ-001,2025-11-17,225.8,71.4,12.1,60.2,46.5,
WO-7568,Injection Molding,IM-001,M-INJ-001,2025-11-18,222.3,76.9,13.0,64.7,46.5,
WO-7569,Injection Molding,IM-001,M-INJ-001,2025-11-18,225.5,71.4,10.3,66.5,47.7,
WO-7570,Injection Molding,IM-001,M-INJ-001,2025-11-19,224.3,69.1,11.3,64.8,49.0,
WO-7571,Injection Molding,IM-001,M-INJ-001,2025-11-20,223.7,62.1,11.4,55.1,40.2,
WO-7572,Injection Molding,IM-001,M-INJ-001,2025-11-21,225.7,73.5,11.1,68.7,40.7,
WO-7573,INJECTION MOLDING,IM-001,M-INJ-001,2025-11-21,221.2,70.4,11.2,60.2,46.3,
WO-7574,Injection Molding,IM-001,M-INJ-001,2025-11-22,224.3,70.0,10.2,58.6,45.5,
WO-7575,Injection Molding,IM-001,M-INJ-001,2025-11-23,222.3,75.0,11.4,61.7,42.0,
WO-7576,Injection Molding,IM-001,M-INJ-001,2025-11-23,223.2,70.3,12.2,51.0,44.6,
WO-7577,injection molding,IM-001,M-INJ-001,2025-11-24,224.8,67.7,10.5,57.9,46.5,
WO-7578,Injection Molding,IM-001,M-INJ-001,2025-11-25,224.7,71.4,11.1,61.8,48.4,
WO-7579,Injection Molding,IM-001,M-INJ-001,2025-11-26,226.7,74.4,10.3,65.2,43.3,
WO-7580,Injection Molding,IM-001,M-INJ-001,2025-11-27,223.9,70.0,9.6,65.6,49.3,
WO-7581,Injection Molding,IM-001,M-INJ-001,2025-11-27,220.6,76.0,11.3,65.5,40.8,
WO-7582,Injection Molding,IM-001,M-INJ-001,2025-11-28,223.7,78.2,12.7,64.4,42.4,
WO-7583,injection molding,IM-001,M-INJ-001,2025-11-28,221.4,71.6,11.7,64.7,48.1,
WO-7584,Injection Molding,IM-001,M-INJ-001,2025-11-29,225.6,76.2,11.8,55.5,47.6,
WO-7585,Injection Molding,IM-001,M-INJ-001,2025-11-30,228.9,64.1,10.1,53.1,46.9,
WO-7586,Injection Molding,IM-001,M-INJ-001,2025-12-01,225.9,80.3,10.2,56.0,46.9,
WO-7587,Injection Molding,IM-001,M-INJ-001,2025-12-01,220.9,66.1,11.6,65.4,45.7,
WO-7588,Injection Molding,IM-001,M-INJ-001,2025-12-02,225.7,65.5,9.3,69.4,45.7,
WO-7589,Injection Molding,IM-001,M-INJ-001,2025-12-03,225.4,67.7,10.4,70.3,41.1,
WO-7590,Injection Molding,IM-001,M-INJ-001,2025-12-03,227.4,70.7,10.0,70.3,48.6,
WO-7591,Injection Molding,IM-001,M-INJ-001,2025-12-04,227.5,70.4,12.5,64.5,47.6,
WO-7592,Injection Molding,IM-001,M-INJ-001,2025-12-05,226.9,65.5,11.5,56.5,41.2,
WO-7593,Injection Molding,IM-001,M-INJ-001,2025-12-05,228.7,73.2,10.2,66.1,49.5,
WO-7594,Injection Molding,IM-001,M-INJ-001,2025-12-06,227.4,66.2,10.0,59.4,48.8,
WO-7595,Injection Molding,IM-001,M-INJ-001,2025-12-07,223.9,67.2,13.8,68.7,43.2,
WO-7596,Injection Molding,IM-001,M-INJ-001,2025-12-08,223.6,64.2,11.6,56.2,42.1,
WO-7597,Injection Molding,IM-001,M-INJ-001,2025-12-08,224.2,69.4,9.3,65.9,42.5,
WO-7598,Injection Molding,IM-001,M-INJ-001,2025-12-09,222.9,70.9,10.2,61.3,44.7,
WO-7599,Injection Molding,IM-001,M-INJ-001,2025-12-09,225.7,74.1,11.6,61.1,44.8,
WO-7600,Injection Molding,IM-001,M-INJ-001,2025-12-10,224.2,69.3,12.1,64.1,48.1,
WO-7601,Injection Molding,IM-001,M-INJ-001,2025-12-11,223.6,69.5,10.3,61.3,46.0,
WO-7602,Injection Molding,IM-001,M-INJ-001,2025-12-12,224.0,63.2,12.7,64.1,43.6,
WO-7603,  Injection Molding  ,IM-001,M-INJ-001,2025-12-12,222.4,63.8,12.5,70.4,42.2,
WO-7604,Injection Molding,IM-001,M-INJ-001,2025-12-13,226.3,68.6,10.8,60.3,47.0,
WO-7605,  Injection Molding  ,IM-001,M-INJ-001,2025-12-14,227.1,68.3,10.8,59.0,47.9,
WO-7606,Injection Molding,IM-001,M-INJ-001,2025-12-14,225.1,68.3,10.7,60.3,44.4,
WO-7607,Injection Molding,IM-001,M-INJ-001,2025-12-15,222.6,68.1,12.8,67.8,44.7,
WO-7608,Injection Molding,IM-001,M-INJ-001,2025-12-16,227.1,74.0,11.8,65.8,41.2,
WO-7609,Injection Molding,IM-001,M-INJ-001,2025-12-16,225.0,69.6,7.7,61.9,40.3,
WO-7610,Injection Molding,IM-001,M-INJ-001,2025-12-17,223.3,65.5,9.1,63.8,45.3,
WO-7611,Injection Molding,IM-001,M-INJ-001,2025-12-18,222.6,71.7,10.8,60.6,49.9,
WO-7612,Injection Molding,IM-001,M-INJ-001,2025-12-19,226.4,73.0,10.8,58.6,46.4,
WO-7613,Injection Molding,IM-001,M-INJ-001,2025-12-19,226.0,70.9,11.6,66.0,48.2,
WO-7614,INJECTION MOLDING,IM-001,M-INJ-001,2025-12-20,222.1,70.3,10.8,66.2,41.5,
WO-7615,Injection Molding,IM-001,M-INJ-001,2025-12-20,227.2,76.3,11.0,68.6,46.1,
