PrintLot,BottleLot,SourceBottleWorkOrder,WorkOrder,ProductionDate,Shift,MachineId,PrintToolId,BottleId,ColorCount,ColorsUsed,LotSize,CodeLetter,SampleSize,CriticalDefects,MajorDefects,MinorDefects,TotalSampleDefects,AttributesDecision,FinalLotDecision,DispositionDetail,LotDecisionDateTime,Remarks,Inspector
LOTE-SK-M-SOP-007-2020,LOTE-M-SOP-007-2020,WO-1036,WO-12300,2025-07-27,Shift 2,SS-001,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-003,11951,M,315,1,1,6,8,Approved,Rejected,Rejected - Scrapped,2025-07-28 20:25:40.075,—,Diogo Ferreira
LOTE-SK-M-SOP-001-2022,LOTE-M-SOP-001-2022,WO-1041,WO-12302,2025-07-31,Shift 3,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-003,12097,M,315,0,3,9,12,Approved,Approved,Approved - First Pass,2025-08-01 02:24:55.488,—,Elena Santos
LOTE-SK-M-SOP-007-2031,LOTE-M-SOP-007-2031,WO-1055,WO-12307,2025-08-10,Shift 2,SS-001,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-005,9020,L,200,0,1,6,7,Approved,Approved,Approved - First Pass,2025-08-11 12:40:20.454,—,Elena Santos
LOTE-SK-M-SOP-007-2035,LOTE-M-SOP-007-2035,WO-1062,WO-12311,2025-08-15,Shift 2,SS-001,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-001,6465,L,200,0,0,0,0,Approved,Approved,Approved - First Pass,2025-08-17 02:23:40.687,—,Carlos Mendes
LOTE-SK-M-SOP-001-2037,LOTE-M-SOP-001-2037,WO-1066,WO-12314,2025-08-17,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-006,13707,M,315,0,1,11,12,Approved,Approved,Approved - First Pass,2025-08-18 06:25:02.884,—,Beatriz Costa
LOTE-SK-M-SOP-007-2041,LOTE-M-SOP-007-2041,WO-1077,WO-12319,2025-08-26,Shift 1,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-001,11425,M,315,0,3,13,16,Approved,Approved,Approved - First Pass,2025-08-27 04:47:56.658,—,Beatriz Costa
LOTE-SK-M-SOP-007-2043,LOTE-M-SOP-007-2043,WO-1081,WO-12323,2025-08-28,Shift 3,SS-001,SK-FR-007-PETG-350-1C,FR-007-PETG-350,1,COR-001,4306,L,200,0,1,6,7,Approved,Approved,Approved - First Pass,2025-08-28 19:12:22.392,—,Carlos Mendes
LOTE-SK-M-SOP-007-2044,LOTE-M-SOP-007-2044,WO-1082,WO-12324,2025-08-30,Shift 3,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-005, COR-008, COR-006",3548,L,200,0,0,3,3,Approved,Approved,Approved - First Pass,2025-08-30 17:34:03.013,—,Carlos Mendes
LOTE-SK-M-SOP-007-2045,LOTE-M-SOP-007-2045,WO-1085,WO-12327,2025-09-01,Shift 1,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-003,17783,M,315,0,0,7,7,Approved,Approved,Approved - First Pass,2025-09-01 22:30:28.273,—,Ana Silva
LOTE-SK-M-SOP-007-2046,LOTE-M-SOP-007-2046,WO-1086,WO-12328,2025-09-01,Shift 2,SS-001,SK-FR-007-PETG-350-1C,FR-007-PETG-350,1,COR-003,8583,L,200,0,2,1,3,Approved,Approved,Approved - First Pass,2025-09-02 22:01:47.354,—,Elena Santos
LOTE-SK-M-SOP-001-2052,LOTE-M-SOP-001-2052,WO-1098,WO-12332,2025-09-10,Shift 3,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-007,15787,M,315,1,0,6,7,Rejected,Rejected,Rejected - Scrapped,2025-09-11 14:19:50.757,Cure:1(Re=1),Ana Silva
LOTE-SK-M-SOP-007-2053,LOTE-M-SOP-007-2053,WO-1100,WO-12334,2025-09-11,Shift 2,SS-002,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-004,15736,M,315,0,3,5,8,Approved,Approved,Approved - First Pass,2025-09-12 19:17:03.041,—,Diogo Ferreira
LOTE-SK-M-SOP-007-2054,LOTE-M-SOP-007-2054,WO-1104,WO-12338,2025-09-13,Shift 2,SS-002,SK-FR-007-PETG-350-1C,FR-007-PETG-350,1,COR-002,20384,M,315,0,2,20,22,Approved,Approved,Approved - First Pass,2025-09-14 21:35:04.333,—,Diogo Ferreira
LOTE-SK-M-SOP-001-2056,LOTE-M-SOP-001-2056,WO-1107,WO-12341,2025-09-16,Shift 2,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-007,9074,L,200,0,2,8,10,Approved,Approved,Approved - First Pass,2025-09-17 15:21:26.841,—,Ana Silva
LOTE-SK-M-SOP-007-2059,LOTE-M-SOP-007-2059,WO-1112,WO-12346,2025-09-19,Shift 2,SS-002,SK-FR-007-PETG-350-1C,FR-007-PETG-350,1,COR-003,3125,L,200,0,2,5,7,Approved,Approved,Approved - First Pass,2025-09-20 11:55:28.716,—,Beatriz Costa
LOTE-SK-M-SOP-001-2060,LOTE-M-SOP-001-2060,WO-1115,WO-12349,2025-09-21,Shift 1,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-004,13169,M,315,1,3,7,11,Approved,Rejected,Rejected - Scrapped,2025-09-22 04:51:53.376,—,Elena Santos
LOTE-SK-M-SOP-007-2062,LOTE-M-SOP-007-2062,WO-1118,WO-12351,2025-09-24,Shift 3,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-003, COR-006, COR-001",9161,L,200,0,0,2,2,Approved,Approved,Approved - First Pass,2025-09-24 12:47:04.803,—,Elena Santos
LOTE-SK-M-SOP-001-2064,LOTE-M-SOP-001-2064,WO-1120,WO-12353,2025-09-25,Shift 3,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,3281,L,200,0,0,3,3,Approved,Approved,Approved - First Pass,2025-09-26 03:09:45.411,—,Diogo Ferreira
LOTE-SK-M-SOP-001-2068,LOTE-M-SOP-001-2068,WO-1128,WO-12358,2025-09-29,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-001,9629,L,200,0,0,9,9,Approved,Approved,Approved - First Pass,2025-09-30 18:45:20.081,—,Beatriz Costa
LOTE-SK-M-SOP-007-2070,LOTE-M-SOP-007-2070,WO-1132,WO-12359,2025-10-03,Shift 3,SS-001,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-007,3954,L,200,0,2,2,4,Approved,Approved,Approved - First Pass,2025-10-04 20:11:26.665,—,Carlos Mendes
LOTE-SK-M-SOP-001-2072,LOTE-M-SOP-001-2072,WO-1138,WO-12365,2025-10-07,Shift 3,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-003,7217,L,200,1,1,9,11,Approved,Rejected,Rejected - Scrapped,2025-10-08 13:15:38.406,—,Beatriz Costa
LOTE-SK-M-SOP-001-2073,LOTE-M-SOP-001-2073,WO-1140,WO-12367,2025-10-08,Shift 3,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-001,10926,M,315,1,1,6,8,Approved,Rejected,Rejected - Scrapped,2025-10-09 11:51:17.782,—,Elena Santos
LOTE-SK-M-SOP-007-2074,LOTE-M-SOP-007-2074,WO-1141,WO-12368,2025-10-09,Shift 1,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-002,4039,L,200,0,0,6,6,Approved,Approved,Approved - First Pass,2025-10-10 02:13:32.656,—,Diogo Ferreira
LOTE-SK-M-SOP-007-2078,LOTE-M-SOP-007-2078,WO-1147,WO-12371,2025-10-13,Shift 1,SS-002,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-002,6282,L,200,0,0,7,7,Approved,Approved,Approved - First Pass,2025-10-13 22:32:51.122,—,Ana Silva
LOTE-SK-M-SOP-007-2079,LOTE-M-SOP-007-2079,WO-1148,WO-12372,2025-10-14,Shift 3,SS-002,SK-FR-007-PETG-350-1C,FR-007-PETG-350,1,COR-008,5820,L,200,0,0,3,3,Approved,Approved,Approved - First Pass,2025-10-15 01:16:51.159,—,Carlos Mendes
LOTE-SK-M-SOP-007-2081,LOTE-M-SOP-007-2081,WO-1151,WO-12375,2025-10-16,Shift 3,SS-001,SK-FR-007-PETG-350-1C,FR-007-PETG-350,1,COR-005,5002,L,200,0,2,5,7,Approved,Approved,Approved - First Pass,2025-10-16 23:24:46.228,—,Ana Silva
LOTE-SK-M-SOP-007-2087,LOTE-M-SOP-007-2087,WO-1159,WO-12381,2025-10-20,Shift 1,SS-001,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-004,7210,L,200,0,0,2,2,Approved,Approved,Approved - First Pass,2025-10-21 07:23:39.060,—,Ana Silva
LOTE-SK-M-SOP-007-2093,LOTE-M-SOP-007-2093,WO-1171,WO-12388,2025-10-28,Shift 3,SS-001,SK-FR-007-PETG-350-1C,FR-007-PETG-350,1,COR-004,11685,M,315,0,0,8,8,Approved,Approved,Approved - First Pass,2025-10-28 23:01:06.354,—,Diogo Ferreira
LOTE-SK-M-SOP-007-2094,LOTE-M-SOP-007-2094,WO-1174,WO-12391,2025-10-29,Shift 1,SS-001,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-006,6280,L,200,1,0,6,7,Rejected,Rejected,Rejected - Scrapped,2025-10-30 06:47:38.505,Cure:1(Re=1),Beatriz Costa
LOTE-SK-M-SOP-007-2095,LOTE-M-SOP-007-2095,WO-1175,WO-12392,2025-10-30,Shift 3,SS-001,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-004,8653,L,200,0,0,4,4,Approved,Approved,Approved - First Pass,2025-10-31 12:06:08.974,—,Beatriz Costa
LOTE-SK-M-SOP-001-2096,LOTE-M-SOP-001-2096,WO-1177,WO-12394,2025-11-01,Shift 3,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-003,11802,M,315,1,1,2,4,Approved,Rejected,Rejected - Scrapped,2025-11-02 04:02:54.641,—,Diogo Ferreira
LOTE-SK-M-SOP-007-2097,LOTE-M-SOP-007-2097,WO-1178,WO-12395,2025-11-01,Shift 3,SS-002,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-006,9208,L,200,0,1,6,7,Approved,Approved,Approved - First Pass,2025-11-01 20:23:09.569,—,Diogo Ferreira
LOTE-SK-M-SOP-007-2098,LOTE-M-SOP-007-2098,WO-1179,WO-12396,2025-11-01,shift 3,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-007, COR-008, COR-003",5824,L,200,0,0,1,1,Approved,Approved,Approved - First Pass,2025-11-03 08:39:08.463,—,Ana Silva
LOTE-SK-M-SOP-007-2099,LOTE-M-SOP-007-2099,WO-1180,WO-12397,2025-11-02,Shift 2,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-004, COR-007, COR-006",4746,L,200,0,0,2,2,Approved,Approved,Approved - First Pass,2025-11-03 12:30:00.224,—,Beatriz Costa
LOTE-SK-M-SOP-007-2102,LOTE-M-SOP-007-2102,WO-1185,WO-12402,2025-11-06,shift 1,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-006,17055,M,315,0,0,13,13,Approved,Approved,Approved - First Pass,2025-11-07 20:16:09.344,—,Beatriz Costa
LOTE-SK-M-SOP-007-2103,LOTE-M-SOP-007-2103,WO-1186,WO-12403,2025-11-07,Shift 3,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-005, COR-002, COR-007",4006,L,200,1,2,1,4,Rejected,Rejected,Rejected - Scrapped,2025-11-08 06:01:56.274,Cure:1(Re=1),Diogo Ferreira
LOTE-SK-M-SOP-007-2106,LOTE-M-SOP-007-2106,WO-1191,WO-12405,2025-11-09,Shift 3,SS-001,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-008,16012,M,315,0,0,2,2,Approved,Approved,Approved - First Pass,2025-11-10 09:53:53.610,—,Diogo Ferreira
LOTE-SK-M-SOP-001-2108,LOTE-M-SOP-001-2108,WO-1193,WO-12407,2025-11-10,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,7004,L,200,0,0,2,2,Approved,Approved,Approved - First Pass,2025-11-11 08:18:04.018,—,Carlos Mendes
LOTE-SK-M-SOP-001-2110,LOTE-M-SOP-001-2110,WO-1196,WO-12410,2025-11-12,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,13345,M,315,1,0,2,3,Approved,Rejected,Rejected - Scrapped,2025-11-14 02:58:19.957,—,Elena Santos
LOTE-SK-M-SOP-007-2111,LOTE-M-SOP-007-2111,WO-1197,WO-12411,2025-11-14,Shift 3,SS-002,SK-FR-007-PETG-350-1C,FR-007-PETG-350,1,COR-007,7683,L,200,0,1,3,4,Approved,Approved,Approved - First Pass,2025-11-14 16:43:28.366,—,Ana Silva
LOTE-SK-M-SOP-007-2112,LOTE-M-SOP-007-2112,WO-1200,WO-12414,2025-11-15,Shift 2,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-004, COR-006, COR-008",17993,M,315,0,0,9,9,Approved,Approved,Approved - First Pass,2025-11-17 06:38:44.767,—,Carlos Mendes
LOTE-SK-M-SOP-007-2114,LOTE-M-SOP-007-2114,WO-1204,WO-12418,2025-11-18,Shift 3,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-004, COR-007, COR-002",16453,M,315,1,3,11,15,Rejected,Rejected,Rejected - Scrapped,2025-11-19 12:10:01.428,Cure:1(Re=1),Ana Silva
LOTE-SK-M-SOP-001-2116,LOTE-M-SOP-001-2116,WO-1208,WO-12420,2025-11-20,  Shift 1  ,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-004,4711,L,200,0,1,2,3,Approved,Approved,Approved - First Pass,2025-11-21 13:25:22.755,—,Diogo Ferreira
LOTE-SK-M-SOP-001-2123,LOTE-M-SOP-001-2123,WO-1220,WO-12432,2025-11-29,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,21716,M,315,1,1,7,9,Approved,Rejected,Rejected - Scrapped,2025-11-30 18:36:55.146,—,Beatriz Costa
LOTE-SK-M-SOP-001-2124,LOTE-M-SOP-001-2124,WO-1223,WO-12435,2025-12-01,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-007,14916,M,315,0,1,17,18,Approved,Approved,Approved - First Pass,2025-12-02 11:58:14.880,—,Carlos Mendes
LOTE-SK-M-SOP-001-2127,LOTE-M-SOP-001-2127,WO-1229,WO-12441,2025-12-06,Shift 1,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-007,10028,M,315,0,0,5,5,Approved,Approved,Approved - First Pass,2025-12-07 17:04:50.138,—,Carlos Mendes
LOTE-SK-M-SOP-007-2128,LOTE-M-SOP-007-2128,WO-1231,WO-12443,2025-12-07,Shift 1,SS-001,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-007,7099,L,200,0,1,1,2,Approved,Approved,Approved - First Pass,2025-12-08 08:09:42.584,—,Elena Santos
LOTE-SK-M-SOP-007-2129,LOTE-M-SOP-007-2129,WO-1232,WO-12444,2025-12-07,SHIFT 2,SS-001,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-006,2745,L,200,0,0,2,2,Approved,Approved,Approved - First Pass,2025-12-09 03:38:08.652,—,Beatriz Costa
LOTE-SK-M-SOP-007-2130,LOTE-M-SOP-007-2130,WO-1235,WO-12447,2025-12-10,Shift 1,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-003, COR-001, COR-007",19204,M,315,0,0,6,6,Approved,Approved,Approved - First Pass,2025-12-11 16:47:51.556,—,Carlos Mendes
LOTE-SK-M-SOP-007-2133,LOTE-M-SOP-007-2133,WO-1240,WO-12451,2025-12-14,Shift 3,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-001,12299,M,315,0,0,5,5,Approved,Approved,Approved - First Pass,2025-12-15 04:18:28.808,—,Carlos Mendes
LOTE-SK-M-SOP-001-2135,LOTE-M-SOP-001-2135,WO-1243,WO-12453,2025-12-16,Shift 3,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,5030,L,200,0,2,2,4,Approved,Approved,Approved - First Pass,2025-12-16 19:49:03.186,—,Carlos Mendes
LOTE-SK-M-SOP-001-2140,LOTE-M-SOP-001-2140,WO-1254,WO-12461,2025-12-22,Shift 2,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-001,11718,M,315,0,0,10,10,Approved,Approved,Approved - First Pass,2025-12-24 07:21:11.763,—,Diogo Ferreira
LOTE-SK-M-SOP-001-2144,LOTE-M-SOP-001-2144,WO-1260,WO-12462,2025-12-27,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,12589,M,315,0,0,3,3,Approved,Approved,Approved - First Pass,2025-12-29 00:07:32.846,—,Carlos Mendes
LOTE-SK-M-SOP-001-2148,LOTE-M-SOP-001-2148,WO-1269,WO-12469,2026-01-02,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-004,13453,M,315,0,0,15,15,Approved,Approved,Approved - First Pass,2026-01-03 13:30:07.696,—,Carlos Mendes
LOTE-SK-M-SOP-001-2153,LOTE-M-SOP-001-2153,WO-1279,WO-12476,2026-01-09,Shift 1,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,14934,M,315,0,3,4,7,Approved,Approved,Approved - First Pass,2026-01-10 17:54:16.914,—,Ana Silva
LOTE-SK-M-SOP-001-2154,LOTE-M-SOP-001-2154,WO-1280,WO-12477,2026-01-10,Shift 2,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,17647,M,315,0,0,5,5,Approved,Approved,Approved - First Pass,2026-01-12 08:00:21.118,—,Diogo Ferreira
LOTE-SK-M-SOP-001-2157,LOTE-M-SOP-001-2157,WO-1288,WO-12481,2026-01-16,Shift 3,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,19308,M,315,0,3,8,11,Approved,Approved,Approved - First Pass,2026-01-17 00:58:11.949,—,Beatriz Costa
LOTE-SK-M-SOP-007-2158,LOTE-M-SOP-007-2158,WO-1290,WO-12483,2026-01-17,  Shift 2  ,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-005,9670,L,200,1,0,11,12,Approved,Rejected,Rejected - Scrapped,2026-01-19 02:18:54.718,—,Diogo Ferreira
LOTE-SK-M-SOP-007-2162,LOTE-M-SOP-007-2162,WO-1299,WO-12486,2026-01-24,Shift 1,SS-001,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-003,4113,L,200,0,0,1,1,Approved,Approved,Approved - First Pass,2026-01-24 16:46:11.540,—,Elena Santos
LOTE-SK-M-SOP-001-2168,LOTE-M-SOP-001-2168,WO-1310,WO-12491,2026-02-01,Shift 1,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-008,15603,M,315,0,0,5,5,Approved,Approved,Approved - First Pass,2026-02-02 22:25:51.942,—,Carlos Mendes
LOTE-SK-M-SOP-007-2169,LOTE-M-SOP-007-2169,WO-1311,WO-12492,2026-02-02,Shift 1,SS-002,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-005,7877,L,200,1,0,0,1,Rejected,Rejected,Rejected - Scrapped,2026-02-03 18:59:46.089,Adhesion:1(Re=1),Elena Santos
LOTE-SK-M-SOP-007-2170,LOTE-M-SOP-007-2170,WO-1314,WO-12495,2026-02-05,Shift 3,SS-002,SK-FR-007-PETG-350-1C,FR-007-PETG-350,1,COR-003,10170,M,315,0,2,11,13,Approved,Approved,Approved - First Pass,2026-02-05 20:21:28.445,—,Elena Santos
LOTE-SK-M-SOP-007-2172,LOTE-M-SOP-007-2172,WO-1319,WO-12500,2026-02-07,Shift 2,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-002, COR-004, COR-006",11231,M,315,0,1,4,5,Approved,Approved,Approved - First Pass,2026-02-09 05:42:51.762,—,Diogo Ferreira
LOTE-SK-M-SOP-001-2176,LOTE-M-SOP-001-2176,WO-1326,WO-12505,2026-02-13,Shift 3,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-006,6799,L,200,0,0,5,5,Approved,Approved,Approved - First Pass,2026-02-14 02:55:26.760,—,Elena Santos
LOTE-SK-M-SOP-007-2181,LOTE-M-SOP-007-2181,WO-1338,WO-12508,2026-02-21,Shift 3,SS-002,SK-FR-007-PETG-350-1C,FR-007-PETG-350,1,COR-005,15834,M,315,0,0,5,5,Approved,Approved,Approved - First Pass,2026-02-22 01:32:41.085,—,Diogo Ferreira
LOTE-SK-M-SOP-001-2182,LOTE-M-SOP-001-2182,WO-1340,WO-12510,2026-02-22,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-006,11470,M,315,0,1,8,9,Approved,Approved,Approved - First Pass,2026-02-23 16:48:36.365,—,Elena Santos
LOTE-SK-M-SOP-007-2183,LOTE-M-SOP-007-2183,WO-1341,WO-12511,2026-02-22,Shift 2,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-002, COR-007, COR-008",3435,L,200,1,0,2,3,Approved,Rejected,Rejected - Scrapped,2026-02-23 19:20:42.869,—,Carlos Mendes
LOTE-SK-M-SOP-001-2184,LOTE-M-SOP-001-2184,WO-1342,WO-12512,2026-02-23,Shift 1,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-002,1750,L,200,0,0,0,0,Approved,Approved,Approved - First Pass,2026-02-24 13:08:12.535,—,Diogo Ferreira
LOTE-SK-M-SOP-007-2188,LOTE-M-SOP-007-2188,WO-1352,WO-12519,2026-03-02,Shift 2,SS-002,SK-FR-007-PETG-350-1C,FR-007-PETG-350,1,COR-003,18332,M,315,1,0,2,3,Approved,Rejected,Rejected - Scrapped,2026-03-03 09:33:28.894,—,Carlos Mendes
LOTE-SK-M-SOP-007-2189,LOTE-M-SOP-007-2189,WO-1355,WO-12522,2026-03-04,Shift 1,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-006,15759,M,315,1,0,10,11,Rejected,Rejected,Rejected - Scrapped,2026-03-05 11:27:22.549,Adhesion:1(Re=1),Diogo Ferreira
LOTE-SK-M-SOP-007-2190,LOTE-M-SOP-007-2190,WO-1357,WO-12524,2026-03-05,Shift 2,SS-001,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-001,12923,M,315,1,0,5,6,Rejected,Rejected,Rejected - Scrapped,2026-03-06 12:00:58.228,Adhesion:1(Re=1),Elena Santos
LOTE-SK-M-SOP-007-2194,LOTE-M-SOP-007-2194,WO-1366,WO-12530,2026-03-12,Shift 3,SS-002,SK-FR-007-rPET-350-1C,FR-007-rPET-350,1,COR-008,5830,L,200,0,1,2,3,Approved,Approved,Approved - First Pass,2026-03-13 01:02:44.723,—,Diogo Ferreira
LOTE-SK-M-SOP-007-2195,LOTE-M-SOP-007-2195,WO-1368,WO-12532,2026-03-13,Shift 2,SS-001,SK-FR-007-PETG-350-1C,FR-007-PETG-350,1,COR-002,8087,L,200,0,2,2,4,Approved,Approved,Approved - First Pass,2026-03-15 09:01:58.639,—,Elena Santos
LOTE-SK-M-SOP-007-2196,LOTE-M-SOP-007-2196,WO-1369,WO-12533,2026-03-13,Shift 2,SS-002,SK-FR-007-PETG-350-1C,FR-007-PETG-350,1,COR-004,5803,L,200,0,0,4,4,Approved,Approved,Approved - First Pass,2026-03-15 01:15:00.984,—,Ana Silva
