SupplierComplaintId,Date,SupplierId,Material,MaterialLotId,PurchaseOrderId,IssueType,DateSupplierResponded,DateResolved,Status
SC-30014,2025-09-27,SUP-005,PVC,RM-PVC-00025,PO-5294,Off-Spec Test Result,2025-10-04,2025-10-13,Closed
SC-30015,2025-10-01,SUP-001,HDPE,RM-HDPE-00027,PO-5307,Off-Spec Test Result,2025-10-04,2025-10-07,Closed
SC-30016,2025-10-21,SUP-002,PP-PCR,RM-PP-PCR-00033,PO-5381,Off-Spec Test Result,2025-10-30,2025-11-04,Closed
SC-30017,2025-10-23,SUP-005,PP,RM-PP-00036,PO-5386,Off-Spec Test Result,2025-10-28,,Open
SC-30018,2025-10-27,SUP-004,rPET,RM-rPET-00041,PO-5404,Off-Spec Test Result,2025-11-04,2025-11-05,Closed
SC-30019,2025-11-05,SUP-005,PVC,RM-PVC-00039,PO-5436,Off-Spec Test Result,2025-11-11,2025-11-18,Closed
SC-30020,2025-11-06,SUP-001,MDPE,RM-MDPE-00037,PO-5437,Off-Spec Test Result,2025-11-13,2025-11-14,Closed
SC-30021,2025-12-01,SUP-007,PP,RM-PP-00048,PO-5527,Off-Spec Test Result,2025-12-03,2025-12-08,Closed
SC-30022,2025-12-02,SUP-001,LDPE,RM-LDPE-00055,PO-5529,Off-Spec Test Result,2025-12-09,2025-12-15,Closed
SC-30023,2025-12-20,SUP-003,PETG,RM-PETG-00054,PO-5593,Off-Spec Test Result,2025-12-25,2025-12-27,Closed
SC-30024,2025-12-21,SUP-002,PP-PCR,RM-PP-PCR-00053,PO-5600,Off-Spec Test Result,2025-12-28,2026-01-04,Closed
SC-30025,2025-12-22,SUP-005,PP,RM-PP-00055,PO-5604,Off-Spec Test Result,2026-01-02,2026-01-07,Closed
SC-30026,2025-12-31,SUP-001,MDPE,RM-MDPE-00057,PO-5635,Off-Spec Test Result,2026-01-11,2026-01-19,Closed
SC-30027,2025-12-31,SUP-005,PVC,RM-PVC-00055,PO-5638,Off-Spec Test Result,2026-01-04,2026-01-06,Closed
SC-30028,2026-01-03,SUP-001,MDPE,RM-MDPE-00060,PO-5646,Off-Spec Test Result,2026-01-10,2026-01-19,Closed
SC-30029,2026-01-10,SUP-005,PVC,RM-PVC-00059,PO-5674,Off-Spec Test Result,2026-01-19,2026-01-20,Closed
SC-30030,2026-01-15,SUP-006,HDPE,RM-HDPE-00070,PO-5689,Off-Spec Test Result,2026-01-17,2026-01-19,Closed
SC-30031,2026-01-26,SUP-006,PET,RM-PET-00058,PO-5725,Off-Spec Test Result,2026-01-28,2026-02-05,Closed
SC-30032,2026-01-26,SUP-004,rPET,RM-rPET-00067,PO-5726,Off-Spec Test Result,2026-02-06,,Open
SC-30033,2026-01-30,SUP-004,rPET,RM-rPET-00070,PO-5739,Off-Spec Test Result,2026-02-01,,Open
SC-30034,2026-02-21,SUP-005,PVC,RM-PVC-00066,PO-5810,Off-Spec Test Result,2026-02-23,2026-02-28,Closed
SC-30035,2026-02-23,SUP-008,Masterbatch,RM-Masterbatch-00071,PO-5814,Off-Spec Test Result,2026-02-28,2026-03-03,Closed
SC-30036,2026-03-01,SUP-005,PVC,RM-PVC-00069,PO-5835,Off-Spec Test Result,2026-03-04,2026-03-11,Closed
SC-30037,2026-03-07,SUP-005,PVC,RM-PVC-00073,PO-5851,Off-Spec Test Result,2026-03-11,,Open
SC-30038,2026-03-08,SUP-005,PP,RM-PP-00074,PO-5855,Off-Spec Test Result,2026-03-18,,Open
SC-30039,2026-03-13,SUP-005,PVC,RM-PVC-00077,PO-5873,Off-Spec Test Result,2026-03-24,2026-03-29,Closed
SC-30040,2026-03-16,SUP-005,PVC,RM-PVC-00079,PO-5887,Off-Spec Test Result,2026-03-22,2026-03-26,Closed
SC-30041,2026-03-21,SUP-005,PP,RM-PP-00080,PO-5903,Off-Spec Test Result,2026-03-30,2026-03-31,Closed
SC-30042,2026-03-28,SUP-005,PVC,RM-PVC-00081,PO-5924,Off-Spec Test Result,2026-04-01,2026-04-04,Closed
SC-30043,2026-04-07,SUP-004,HDPE-PCR,RM-HDPE-PCR-00092,PO-5953,Off-Spec Test Result,2026-04-11,2026-04-20,Closed
SC-30044,2026-04-17,SUP-007,HDPE,RM-HDPE-00096,PO-5986,Off-Spec Test Result,2026-04-24,2026-04-28,Closed
SC-30045,2026-04-18,SUP-005,PP,RM-PP-00087,PO-5990,Off-Spec Test Result,2026-04-21,2026-04-25,Closed
SC-30046,2026-04-21,SUP-004,rPET,RM-rPET-00096,PO-6001,Off-Spec Test Result,2026-05-01,2026-05-10,Closed
SC-30047,2026-04-29,SUP-002,PP-PCR,RM-PP-PCR-00095,PO-6031,Off-Spec Test Result,2026-05-03,2026-05-10,Closed
SC-30048,2026-05-04,SUP-002,PP-PCR,RM-PP-PCR-00097,PO-6049,Off-Spec Test Result,2026-05-07,2026-05-13,Closed
SC-30049,2026-05-05,SUP-003,PETG,RM-PETG-00094,PO-6052,Off-Spec Test Result,2026-05-16,2026-05-19,Closed
SC-30050,2026-05-05,SUP-004,rPET,RM-rPET-00103,PO-6053,Off-Spec Test Result,2026-05-08,2026-05-12,Closed
SC-30051,2026-05-06,SUP-001,LDPE,RM-LDPE-00105,PO-6054,Off-Spec Test Result,2026-05-10,2026-05-15,Closed
SC-30052,2026-05-12,SUP-002,PP-PCR,RM-PP-PCR-00099,PO-6079,Off-Spec Test Result,2026-05-18,2026-05-25,Closed
SC-30053,2026-05-26,SUP-001,MDPE,RM-MDPE-00103,PO-6133,Off-Spec Test Result,2026-05-29,2026-06-05,Closed
SC-30054,2026-06-03,SUP-001,LDPE,RM-LDPE-00114,PO-6157,Off-Spec Test Result,2026-06-06,2026-06-15,Closed
SC-30055,2026-06-07,SUP-005,PP,RM-PP-00105,PO-6173,Off-Spec Test Result,2026-06-11,2026-06-13,Closed
SC-30056,2026-06-21,SUP-007,PP,RM-PP-00111,PO-6223,Off-Spec Test Result,2026-07-02,2026-07-10,Closed
SC-30057,2026-06-23,SUP-005,PVC,RM-PVC-00104,PO-6231,Off-Spec Test Result,2026-07-03,2026-07-12,Closed
SC-30058,2026-07-02,SUP-002,PP-PCR,RM-PP-PCR-00113,PO-6260,Off-Spec Test Result,2026-07-11,2026-07-15,Closed
SC-30059,2026-07-11,SUP-001,MDPE,RM-MDPE-00116,PO-6292,Off-Spec Test Result,2026-07-21,2026-07-25,Closed
SC-30060,2026-07-19,SUP-005,PP,RM-PP-00122,PO-6310,Off-Spec Test Result,2026-07-24,2026-07-27,Closed
SC-30061,2026-08-12,SUP-001,MDPE,RM-MDPE-00129,PO-6385,Off-Spec Test Result,2026-08-22,2026-08-30,Closed
SC-30062,2026-09-07,SUP-002,PP,RM-PP-00139,PO-6468,Off-Spec Test Result,2026-09-12,2026-09-19,Closed
SC-30063,2026-09-23,SUP-002,PP-PCR,RM-PP-PCR-00134,PO-6524,Off-Spec Test Result,2026-09-29,2026-10-06,Closed
SC-30064,2026-10-02,SUP-001,LDPE,RM-LDPE-00147,PO-6554,Off-Spec Test Result,2026-10-10,2026-10-15,Closed
SC-30065,2026-10-09,SUP-008,Masterbatch,RM-Masterbatch-00132,PO-6575,Off-Spec Test Result,2026-10-15,2026-10-22,Closed
SC-30066,2026-10-19,SUP-004,HDPE-PCR,RM-HDPE-PCR-00148,PO-6604,Off-Spec Test Result,2026-10-26,,Open
SC-30067,2026-10-24,SUP-003,PETG,RM-PETG-00159,PO-6629,Off-Spec Test Result,2026-10-31,2026-11-03,Closed
SC-30068,2026-10-27,SUP-007,PP,RM-PP-00160,PO-6641,Off-Spec Test Result,2026-10-31,2026-11-08,Closed
SC-30069,2026-11-17,SUP-005,PVC,RM-PVC-00142,PO-6703,Off-Spec Test Result,2026-11-23,2026-11-24,Closed
SC-30070,2026-11-19,SUP-005,PP,RM-PP-00169,PO-6705,Off-Spec Test Result,2026-11-26,2026-11-30,Closed
SC-30071,2026-11-23,SUP-001,LDPE,RM-LDPE-00162,PO-6721,Off-Spec Test Result,2026-12-03,2026-12-07,Closed
SC-30072,2026-11-23,SUP-005,PVC,RM-PVC-00146,PO-6726,Off-Spec Test Result,2026-11-25,2026-11-30,Closed
SC-30073,2026-11-25,SUP-007,LDPE,RM-LDPE-00163,PO-6731,Off-Spec Test Result,2026-11-29,2026-12-05,Closed
SC-30074,2026-11-27,SUP-005,PP,RM-PP-00172,PO-6737,Off-Spec Test Result,2026-12-07,2026-12-13,Closed
SC-30075,2026-12-12,SUP-005,PVC,RM-PVC-00153,PO-6785,Off-Spec Test Result,2026-12-23,2026-12-29,Closed
SC-30076,2026-12-13,SUP-005,PP,RM-PP-00177,PO-6789,Off-Spec Test Result,2026-12-24,2026-12-26,Closed
SC-30077,2026-12-22,SUP-005,PP,RM-PP-00182,PO-6820,Off-Spec Test Result,2026-12-31,,Open
SC-30078,2026-12-30,SUP-005,PVC,RM-PVC-00159,PO-6843,Off-Spec Test Result,2027-01-03,,Open
