CAPAId,OpenDate,DueDate,CloseDate,Status,CAPAType,RelatedNCId,Area,Process,Severity,RootCauseCategory,Owner,EffectivenessCheck
CAPA-4014,2026-06-30,2026-07-27,2026-07-29,Closed,Corrective,NC-00023,Production,Blow Molding,Major,Machine/Equipment,Vitor Sousa,Pending
CAPA-4015,2026-07-12,2026-08-28,2026-07-23,Closed,Corrective,NC-00025,Production,Blow Molding,Major,Method/Procedure,Ana Silva,Pending
CAPA-4016,2026-07-14,2026-08-11,,Overdue,Preventive,NC-00027,Production,Blow Molding,Major,Man (Operator),Patrícia Lima,Not Effective
CAPA-4017,2026-07-22,2026-08-28,2026-07-31,Closed,Preventive,NC-00028,Production,Blow Molding,Major,Man (Operator),Ana Silva,Not Effective
CAPA-4018,2026-07-28,2026-09-02,2026-09-02,Closed,Corrective,NC-00029,Production,Blow Molding,Major,Raw Material,Carlos Mendes,Effective
CAPA-4019,2026-08-08,2026-09-06,2026-08-20,Closed,Corrective,NC-00030,Production,Blow Molding,Major,Method/Procedure,Sandra Reis,Not Effective
CAPA-4020,2026-08-14,2026-09-20,2026-09-29,Closed,Corrective,NC-00031,Production,Blow Molding,Major,Method/Procedure,Sandra Reis,Effective
CAPA-4021,2026-09-08,2026-11-06,,Overdue,Preventive,NC-00033,Production,Blow Molding,Major,Mold/Tooling,Sandra Reis,Effective
CAPA-4022,2026-09-11,2026-10-29,2026-09-23,Closed,Preventive,NC-00034,Production,Blow Molding,Major,Man (Operator),Vitor Sousa,Not Effective
CAPA-4023,2026-09-21,2026-10-17,2026-11-12,Closed,Corrective,NC-00035,Production,Blow Molding,Major,Raw Material,Carlos Mendes,Not Effective
CAPA-4024,2026-10-19,2026-11-14,2026-12-02,Closed,Preventive,NC-00036,Production,Blow Molding,Major,Man (Operator),Elena Santos,Not Effective
CAPA-4025,2026-11-14,2026-12-05,,Overdue,Preventive,NC-00037,Production,Blow Molding,Major,Machine/Equipment,Sandra Reis,Effective
CAPA-4026,2026-11-19,2026-12-31,2026-12-18,Closed,Corrective,NC-00038,Production,Blow Molding,Major,Raw Material,Elena Santos,Not Effective
CAPA-4027,2026-12-06,2027-01-06,2026-12-30,Closed,Preventive,NC-00040,Production,Blow Molding,Major,Method/Procedure,Carlos Mendes,Not Effective
CAPA-4028,2026-12-17,2027-02-11,2027-02-01,Closed,Corrective,NC-00041,Production,Blow Molding,Major,Raw Material,Sandra Reis,Effective
CAPA-4029,2026-12-18,2027-01-30,,Open,Preventive,NC-00042,Production,Blow Molding,Major,Raw Material,Ana Silva,Effective
CAPA-4030,2025-07-05,2025-08-07,2025-08-16,Closed,Corrective,NC-00043,Production,Blow Molding,Major,Machine/Equipment,Elena Santos,Not Effective
CAPA-4031,2025-08-01,2025-09-14,2025-08-14,Closed,Corrective,NC-00044,Production,BLOW MOLDING,Major,Machine/Equipment,Carlos Mendes,Effective
CAPA-4032,2025-08-22,2025-09-28,,Overdue,Preventive,NC-00045,Production,Blow Molding,Major,Method/Procedure,Elena Santos,Pending
CAPA-4033,2025-09-02,2025-10-20,2025-09-11,Closed,Preventive,NC-00046,Production,Blow Molding,Major,Method/Procedure,Carlos Mendes,Effective
CAPA-4034,2025-11-01,2025-11-24,2025-12-12,Closed,Corrective,NC-00048,Production,Blow Molding,Major,Machine/Equipment,Patrícia Lima,Effective
CAPA-4035,2025-11-16,2025-12-20,,Overdue,Preventive,NC-00049,Production,Blow Molding,Major,Machine/Equipment,Vitor Sousa,Effective
CAPA-4036,2025-12-31,2026-02-11,2026-01-09,Closed,Preventive,NC-00051,Production,Blow Molding,Major,Man (Operator),Carlos Mendes,Not Effective
CAPA-4037,2026-01-22,2026-03-07,,Overdue,Preventive,NC-00052,Production,Blow Molding,Major,Method/Procedure,Elena Santos,Effective
CAPA-4038,2026-01-31,2026-03-20,2026-02-20,Closed,Corrective,NC-00054,Production,Blow Molding,Major,Raw Material,Patrícia Lima,Not Effective
CAPA-4039,2026-06-30,2026-07-27,,Overdue,Preventive,NC-00058,Production,Blow Molding,Major,Method/Procedure,Carlos Mendes,Pending
CAPA-4040,2026-07-16,2026-09-07,2026-08-04,Closed,Corrective,NC-00059,Production,Blow Molding,Major,Raw Material,Vitor Sousa,Not Effective
CAPA-4041,2026-08-22,2026-10-03,2026-09-06,Closed,Preventive,NC-00061,Production,  Blow Molding  ,Major,Method/Procedure,Carlos Mendes,Effective
CAPA-4042,2026-10-04,2026-11-20,,Overdue,Preventive,NC-00062,Production,Blow Molding,Major,Machine/Equipment,Elena Santos,Pending
CAPA-4043,2026-10-31,2026-12-22,2026-12-11,Closed,Corrective,NC-00063,Production,Blow Molding,Major,Method/Procedure,Carlos Mendes,Effective
CAPA-4044,2026-12-27,2027-02-23,,Open,Corrective,NC-00065,Production,Blow Molding,Major,Machine/Equipment,Elena Santos,Effective
CAPA-4045,2025-07-11,2025-08-24,,Overdue,Corrective,NC-00066,Production,Blow Molding,Major,Method/Procedure,Ana Silva,Pending
CAPA-4046,2025-08-01,2025-08-24,,Overdue,Corrective,NC-00069,Production,Blow Molding,Major,Man (Operator),Elena Santos,Effective
CAPA-4047,2025-08-08,2025-09-07,,Overdue,Corrective,NC-00070,Production,Blow Molding,Major,Machine/Equipment,Ana Silva,Not Effective
CAPA-4048,2025-08-14,2025-09-13,2025-10-04,Closed,Corrective,NC-00072,Production,Blow Molding,Major,Method/Procedure,Carlos Mendes,Effective
CAPA-4049,2025-08-23,2025-09-17,2025-10-09,Closed,Corrective,NC-00075,Production,Blow Molding,Major,Man (Operator),Ana Silva,Not Effective
CAPA-4050,2025-09-11,2025-11-07,2025-10-22,Closed,Corrective,NC-00077,Production,Blow Molding,Minor,Method/Procedure,Carlos Mendes,Effective
CAPA-4051,2025-09-15,2025-10-28,2025-09-24,Closed,Corrective,NC-00078,Production,Blow Molding,Major,Method/Procedure,Vitor Sousa,Pending
CAPA-4052,2025-09-16,2025-10-16,2025-09-27,Closed,Corrective,NC-00079,Production,Blow Molding,Major,Mold/Tooling,Patrícia Lima,Not Effective
CAPA-4053,2025-09-20,2025-10-18,,Overdue,Preventive,NC-00080,Production,Blow Molding,Minor,Method/Procedure,Carlos Mendes,Not Effective
CAPA-4054,2025-09-21,2025-10-13,,Overdue,Preventive,NC-00081,Production,blow molding,Minor,Method/Procedure,Patrícia Lima,Pending
CAPA-4055,2025-09-25,2025-10-27,2025-10-06,Closed,Corrective,NC-00082,Production,Blow Molding,Major,Method/Procedure,Carlos Mendes,Not Effective
CAPA-4056,2025-10-21,2025-12-18,2025-12-10,Closed,Preventive,NC-00084,Production,Blow Molding,Minor,Method/Procedure,Elena Santos,Not Effective
CAPA-4057,2025-11-29,2025-12-28,2025-12-20,Closed,Corrective,NC-00088,Production,Blow Molding,Major,Machine/Equipment,Patrícia Lima,Pending
CAPA-4058,2025-12-02,2026-01-22,2026-01-14,Closed,Corrective,NC-00089,Production,Blow Molding,Major,Machine/Equipment,Carlos Mendes,Not Effective
CAPA-4059,2025-12-06,2026-01-10,2026-01-24,Closed,Corrective,NC-00090,Production,Blow Molding,Major,Man (Operator),Carlos Mendes,Pending
CAPA-4060,2025-12-04,2025-12-25,2025-12-27,Closed,Preventive,NC-00091,Production,Blow Molding,Major,Machine/Equipment,Vitor Sousa,Effective
CAPA-4061,2025-12-08,2026-02-01,2026-01-26,Closed,Preventive,NC-00092,Production,Blow Molding,Minor,Machine/Equipment,Patrícia Lima,Not Effective
CAPA-4062,2025-12-29,2026-02-01,2026-02-15,Closed,Corrective,NC-00095,Production,Blow Molding,Major,Method/Procedure,Carlos Mendes,Pending
CAPA-4063,2026-01-04,2026-03-02,2026-01-21,Closed,Corrective,NC-00097,Production,Blow Molding,Major,Machine/Equipment,Vitor Sousa,Not Effective
CAPA-4064,2026-01-07,2026-02-22,,Overdue,Preventive,NC-00098,Production,blow molding,Major,Machine/Equipment,Ana Silva,Effective
CAPA-4065,2026-02-09,2026-04-02,2026-03-03,Closed,Corrective,NC-00103,Production,Blow Molding,Major,Man (Operator),Carlos Mendes,Effective
CAPA-4066,2026-02-23,2026-03-29,2026-03-27,Closed,Preventive,NC-00105,Production,Blow Molding,Major,Mold/Tooling,Elena Santos,Pending
CAPA-4067,2026-02-26,2026-03-24,2026-03-29,Closed,Preventive,NC-00106,Production,Blow Molding,Major,Raw Material,Patrícia Lima,Effective
CAPA-4068,2026-02-25,2026-03-23,2026-04-12,Closed,Preventive,NC-00107,Production,Blow Molding,Major,Man (Operator),Vitor Sousa,Effective
CAPA-4069,2026-03-11,2026-05-01,2026-04-19,Closed,Preventive,NC-00109,Production,Blow Molding,Major,Method/Procedure,Vitor Sousa,Effective
CAPA-4070,2026-03-21,2026-05-13,2026-04-07,Closed,Corrective,NC-00110,Production,Blow Molding,Major,Method/Procedure,Sandra Reis,Not Effective
CAPA-4071,2026-03-24,2026-05-14,,Overdue,Corrective,NC-00112,Production,Blow Molding,Major,Mold/Tooling,Elena Santos,Pending
CAPA-4072,2026-04-07,2026-05-04,,Overdue,Corrective,NC-00113,Production,Blow Molding,Major,Raw Material,Carlos Mendes,Pending
CAPA-4073,2026-04-27,2026-06-18,,Overdue,Preventive,NC-00114,Production,Blow Molding,Major,Man (Operator),Elena Santos,Effective
CAPA-4074,2026-04-27,2026-05-26,2026-05-05,Closed,Corrective,NC-00115,Production,Blow Molding,Major,Man (Operator),Ana Silva,Pending
CAPA-4075,2026-04-28,2026-06-02,2026-05-26,Closed,Preventive,NC-00116,Production,Blow Molding,Major,Man (Operator),Patrícia Lima,Pending
CAPA-4076,2026-05-01,2026-06-27,,Overdue,Preventive,NC-00117,Production,Blow Molding,Major,Man (Operator),Patrícia Lima,Effective
CAPA-4077,2026-05-09,2026-06-17,2026-06-13,Closed,Preventive,NC-00118,Production,Blow Molding,Minor,Mold/Tooling,Carlos Mendes,Not Effective
CAPA-4078,2026-05-09,2026-06-14,2026-06-19,Closed,Corrective,NC-00119,Production,Blow Molding,Major,Method/Procedure,Patrícia Lima,Effective
CAPA-4079,2026-05-21,2026-06-23,2026-07-14,Closed,Preventive,NC-00121,Production,Blow Molding,Major,Raw Material,Sandra Reis,Pending
CAPA-4080,2026-05-30,2026-07-06,2026-06-29,Closed,Preventive,NC-00124,Production,Blow Molding,Major,Machine/Equipment,Carlos Mendes,Not Effective
CAPA-4081,2026-06-12,2026-07-17,2026-07-19,Closed,Preventive,NC-00126,Production,Blow Molding,Major,Man (Operator),Elena Santos,Effective
CAPA-4082,2026-06-22,2026-08-19,2026-08-13,Closed,Preventive,NC-00128,Production,Blow Molding,Major,Machine/Equipment,Sandra Reis,Pending
CAPA-4083,2026-07-09,2026-08-26,2026-07-18,Closed,Preventive,NC-00132,Production,Blow Molding,Major,Raw Material,Elena Santos,Pending
CAPA-4084,2026-07-15,2026-08-15,2026-09-07,Closed,Preventive,NC-00133,Production,  Blow Molding  ,Minor,Raw Material,Elena Santos,Effective
CAPA-4085,2026-08-04,2026-09-11,2026-08-30,Closed,Preventive,NC-00134,Production,Blow Molding,Minor,Mold/Tooling,Ana Silva,Pending
CAPA-4086,2026-08-17,2026-09-17,,Overdue,Corrective,NC-00137,Production,Blow Molding,Major,Raw Material,Carlos Mendes,Not Effective
CAPA-4087,2026-08-15,2026-09-19,2026-09-29,Closed,Corrective,NC-00138,Production,Blow Molding,Major,Mold/Tooling,Ana Silva,Effective
CAPA-4088,2026-08-15,2026-10-06,2026-09-13,Closed,Preventive,NC-00139,Production,BLOW MOLDING,Major,Machine/Equipment,Patrícia Lima,Not Effective
CAPA-4089,2026-08-26,2026-10-17,2026-10-16,Closed,Corrective,NC-00140,Production,Blow Molding,Minor,Raw Material,Patrícia Lima,Effective
CAPA-4090,2026-09-08,2026-10-10,2026-10-18,Closed,Preventive,NC-00143,Production,Blow Molding,Major,Raw Material,Elena Santos,Effective
CAPA-4091,2026-09-06,2026-10-30,,Overdue,Corrective,NC-00144,Production,blow molding,Major,Machine/Equipment,Vitor Sousa,Effective
CAPA-4092,2026-09-11,2026-10-27,2026-10-20,Closed,Preventive,NC-00146,Production,Blow Molding,Major,Raw Material,Sandra Reis,Not Effective
CAPA-4093,2026-09-20,2026-10-10,2026-10-29,Closed,Corrective,NC-00147,Production,Blow Molding,Major,Machine/Equipment,Ana Silva,Pending
CAPA-4094,2026-10-01,2026-11-07,2026-11-11,Closed,Corrective,NC-00148,Production,  Blow Molding  ,Major,Man (Operator),Sandra Reis,Effective
CAPA-4095,2026-10-04,2026-11-22,2026-10-19,Closed,Preventive,NC-00149,Production,  Blow Molding  ,Major,Method/Procedure,Elena Santos,Effective
CAPA-4096,2026-10-11,2026-11-03,2026-11-22,Closed,Corrective,NC-00152,Production,Blow Molding,Major,Man (Operator),Vitor Sousa,Not Effective
CAPA-4097,2026-10-17,2026-12-12,2026-11-06,Closed,Corrective,NC-00154,Production,Blow Molding,Major,Mold/Tooling,Carlos Mendes,Effective
CAPA-4098,2026-10-21,2026-12-06,2026-12-13,Closed,Corrective,NC-00155,Production,Blow Molding,Major,Man (Operator),Elena Santos,Pending
CAPA-4099,2026-10-29,2026-11-21,2026-11-17,Closed,Preventive,NC-00156,Production,Blow Molding,Minor,Machine/Equipment,Carlos Mendes,Not Effective
CAPA-4100,2026-10-27,2026-12-15,2026-12-12,Closed,Preventive,NC-00157,Production,Blow Molding,Major,Man (Operator),Ana Silva,Not Effective
CAPA-4101,2026-11-04,2026-12-27,2026-12-26,Closed,Preventive,NC-00158,Production,Blow Molding,Minor,Machine/Equipment,Elena Santos,Effective
CAPA-4102,2026-11-14,2026-12-08,2026-12-01,Closed,Preventive,NC-00160,Production,Blow Molding,Major,Man (Operator),Vitor Sousa,Effective
CAPA-4103,2026-11-17,2026-12-14,,Overdue,Preventive,NC-00161,Production,Blow Molding,Minor,Method/Procedure,Sandra Reis,Pending
CAPA-4104,2026-11-23,2027-01-04,2027-01-10,Closed,Corrective,NC-00162,Production,Blow Molding,Major,Machine/Equipment,Elena Santos,Not Effective
CAPA-4105,2026-11-26,2026-12-31,2026-12-23,Closed,Preventive,NC-00164,Production,Blow Molding,Major,Man (Operator),Elena Santos,Pending
CAPA-4106,2026-12-04,2027-01-15,,Open,Preventive,NC-00166,Production,BLOW MOLDING,Major,Method/Procedure,Carlos Mendes,Pending
CAPA-4107,2026-12-13,2027-01-21,,Open,Preventive,NC-00170,Production,Blow Molding,Major,Machine/Equipment,Ana Silva,Effective
CAPA-4108,2026-12-14,2027-01-07,2027-01-29,Closed,Preventive,NC-00171,Production,Blow Molding,Major,Man (Operator),Patrícia Lima,Pending
CAPA-4109,2026-12-14,2027-02-04,2027-01-28,Closed,Preventive,NC-00172,Production,Blow Molding,Major,Raw Material,Sandra Reis,Pending
CAPA-4110,2027-01-03,2027-02-23,2027-02-21,Closed,Corrective,NC-00173,Production,Blow Molding,Major,Man (Operator),Elena Santos,Not Effective
CAPA-4111,2025-07-28,2025-09-23,2025-08-20,Closed,Corrective,NC-00175,Production,Blow Molding,Major,Mold/Tooling,Elena Santos,Pending
CAPA-4112,2025-09-07,2025-10-15,,Overdue,Corrective,NC-00177,Production,  Blow Molding  ,Major,Mold/Tooling,Elena Santos,Pending
CAPA-4113,2025-10-11,2025-11-08,2025-10-21,Closed,Preventive,NC-00179,Production,Blow Molding,Major,Method/Procedure,Carlos Mendes,Effective
CAPA-4114,2025-10-25,2025-12-02,2025-11-15,Closed,Corrective,NC-00180,Production,Blow Molding,Major,Raw Material,Vitor Sousa,Effective
CAPA-4115,2025-11-05,2025-11-28,2025-12-02,Closed,Corrective,NC-00181,Production,Blow Molding,Major,Machine/Equipment,Sandra Reis,Not Effective
CAPA-4116,2026-01-29,2026-03-17,2026-02-12,Closed,Corrective,NC-00183,Production,Blow Molding,Major,Raw Material,Elena Santos,Effective
CAPA-4117,2026-03-01,2026-04-14,,Overdue,Preventive,NC-00184,Production,Blow Molding,Major,Raw Material,Ana Silva,Effective
CAPA-4118,2026-06-05,2026-07-06,2026-07-06,Closed,Preventive,NC-00187,Production,Blow Molding,Major,Man (Operator),Ana Silva,Not Effective
CAPA-4119,2026-08-20,2026-10-10,2026-09-04,Closed,Preventive,NC-00189,Production,Blow Molding,Major,Mold/Tooling,Sandra Reis,Not Effective
CAPA-4120,2026-11-23,2026-12-16,2027-01-08,Closed,Corrective,NC-00191,Production,Blow Molding,Major,Man (Operator),Elena Santos,Effective
CAPA-4121,2026-12-23,2027-01-24,2027-02-03,Closed,Corrective,NC-00192,Production,Blow Molding,Major,Man (Operator),Vitor Sousa,Pending
CAPA-4122,2027-01-04,2027-01-26,2027-02-01,Closed,Preventive,NC-00193,Production,Blow Molding,Major,Man (Operator),Patrícia Lima,Effective
CAPA-4123,2025-09-30,2025-11-20,2025-10-26,Closed,Preventive,NC-00194,Production,  Blow Molding  ,Major,Method/Procedure,Vitor Sousa,Pending
CAPA-4124,2025-11-21,2026-01-17,2025-11-30,Closed,Corrective,NC-00197,Production,  Blow Molding  ,Major,Method/Procedure,Patrícia Lima,Effective
CAPA-4125,2026-01-13,2026-03-06,2026-02-05,Closed,Corrective,NC-00200,Production,Blow Molding,Major,Man (Operator),Vitor Sousa,Not Effective
CAPA-4126,2026-02-03,2026-03-29,2026-03-09,Closed,Corrective,NC-00201,Production,  Blow Molding  ,Major,Machine/Equipment,Carlos Mendes,Effective
CAPA-4127,2026-02-04,2026-03-05,2026-02-14,Closed,Preventive,NC-00202,Production,Blow Molding,Major,Man (Operator),Sandra Reis,Effective
CAPA-4128,2026-02-10,2026-03-20,,Overdue,Corrective,NC-00203,Production,Blow Molding,Major,Mold/Tooling,Vitor Sousa,Pending
CAPA-4129,2026-02-25,2026-04-07,2026-04-17,Closed,Preventive,NC-00205,Production,Blow Molding,Major,Raw Material,Sandra Reis,Pending
CAPA-4130,2026-05-07,2026-05-30,2026-06-06,Closed,Corrective,NC-00206,Production,Blow Molding,Major,Man (Operator),Carlos Mendes,Not Effective
CAPA-4131,2026-06-20,2026-07-25,,Overdue,Corrective,NC-00207,Production,  Blow Molding  ,Major,Machine/Equipment,Sandra Reis,Effective
CAPA-4132,2026-10-28,2026-12-05,,Overdue,Preventive,NC-00210,Production,Blow Molding,Major,Mold/Tooling,Ana Silva,Pending
CAPA-4133,2026-11-21,2027-01-04,,Open,Corrective,NC-00211,Production,Blow Molding,Major,Mold/Tooling,Carlos Mendes,Pending
CAPA-4134,2026-12-02,2027-01-25,2027-01-14,Closed,Preventive,NC-00212,Production,Blow Molding,Major,Mold/Tooling,Ana Silva,Pending
CAPA-4135,2026-12-20,2027-02-04,2026-12-28,Closed,Corrective,NC-00213,Production,blow molding,Major,Raw Material,Elena Santos,Effective
CAPA-4136,2025-10-13,2025-12-03,2025-10-25,Closed,Corrective,NC-00215,Production,Blow Molding,Major,Machine/Equipment,Vitor Sousa,Pending
CAPA-4137,2025-10-28,2025-11-18,2025-11-12,Closed,Corrective,NC-00216,Production,Blow Molding,Major,Method/Procedure,Ana Silva,Not Effective
CAPA-4138,2025-11-10,2025-12-18,,Overdue,Preventive,NC-00217,Production,Blow Molding,Major,Method/Procedure,Patrícia Lima,Not Effective
CAPA-4139,2025-11-15,2025-12-06,2025-12-28,Closed,Preventive,NC-00218,Production,Blow Molding,Major,Machine/Equipment,Patrícia Lima,Pending
CAPA-4140,2025-11-30,2025-12-29,2026-01-05,Closed,Preventive,NC-00219,Production,Blow Molding,Major,Method/Procedure,Ana Silva,Effective
CAPA-4141,2025-12-18,2026-01-25,2026-02-06,Closed,Preventive,NC-00220,Production,BLOW MOLDING,Major,Man (Operator),Ana Silva,Effective
CAPA-4142,2025-12-20,2026-02-06,2026-01-20,Closed,Preventive,NC-00221,Production,Blow Molding,Major,Machine/Equipment,Sandra Reis,Pending
CAPA-4143,2026-02-25,2026-04-14,2026-04-01,Closed,Preventive,NC-00222,Production,Blow Molding,Major,Man (Operator),Patrícia Lima,Effective
CAPA-4144,2026-03-01,2026-04-10,2026-03-26,Closed,Corrective,NC-00223,Production,Blow Molding,Major,Raw Material,Ana Silva,Pending
CAPA-4145,2026-05-16,2026-07-12,2026-06-06,Closed,Preventive,NC-00226,Production,Blow Molding,Major,Machine/Equipment,Ana Silva,Pending
CAPA-4146,2026-05-26,2026-06-25,2026-06-18,Closed,Corrective,NC-00227,Production,Blow Molding,Major,Method/Procedure,Carlos Mendes,Effective
CAPA-4147,2026-07-20,2026-08-14,2026-09-12,Closed,Preventive,NC-00228,Production,Blow Molding,Major,Machine/Equipment,Sandra Reis,Pending
CAPA-4148,2026-09-05,2026-11-01,2026-09-28,Closed,Corrective,NC-00230,Production,BLOW MOLDING,Major,Man (Operator),Sandra Reis,Not Effective
CAPA-4149,2026-09-13,2026-10-10,,Overdue,Preventive,NC-00232,Production,Blow Molding,Major,Machine/Equipment,Carlos Mendes,Not Effective
CAPA-4150,2026-10-11,2026-11-10,2026-10-31,Closed,Preventive,NC-00233,Production,Blow Molding,Major,Man (Operator),Patrícia Lima,Pending
CAPA-4151,2026-10-31,2026-11-21,2026-12-20,Closed,Corrective,NC-00234,Production,Blow Molding,Major,Method/Procedure,Elena Santos,Pending
CAPA-4152,2026-11-09,2026-12-10,2026-12-19,Closed,Corrective,NC-00236,Production,BLOW MOLDING,Major,Mold/Tooling,Ana Silva,Effective
CAPA-4153,2026-12-17,2027-01-18,2027-01-10,Closed,Preventive,NC-00237,Production,Blow Molding,Major,Machine/Equipment,Elena Santos,Pending
CAPA-4154,2025-10-11,2025-11-08,,Overdue,Preventive,NC-00240,Production,Blow Molding,Major,Machine/Equipment,Patrícia Lima,Not Effective
CAPA-4155,2026-01-13,2026-03-01,2026-02-10,Closed,Corrective,NC-00242,Production,Blow Molding,Major,Method/Procedure,Patrícia Lima,Effective
CAPA-4156,2026-03-25,2026-04-18,2026-05-14,Closed,Corrective,NC-00244,Production,Blow Molding,Major,Man (Operator),Elena Santos,Effective
CAPA-4157,2026-05-13,2026-06-03,2026-07-05,Closed,Preventive,NC-00246,Production,blow molding,Major,Raw Material,Patrícia Lima,Effective
CAPA-4158,2026-05-22,2026-07-10,,Overdue,Corrective,NC-00247,Production,Blow Molding,Major,Method/Procedure,Carlos Mendes,Pending
CAPA-4159,2026-07-27,2026-09-06,,Overdue,Preventive,NC-00249,Production,Blow Molding,Major,Mold/Tooling,Ana Silva,Not Effective
CAPA-4160,2026-09-19,2026-11-13,2026-10-06,Closed,Preventive,NC-00250,Production,  Blow Molding  ,Major,Mold/Tooling,Elena Santos,Effective
CAPA-4161,2026-10-01,2026-11-08,2026-10-19,Closed,Preventive,NC-00251,Production,Blow Molding,Major,Mold/Tooling,Vitor Sousa,Not Effective
CAPA-4162,2026-11-28,2027-01-17,2027-01-03,Closed,Preventive,NC-00253,Production,Blow Molding,Major,Method/Procedure,Vitor Sousa,Pending
CAPA-4163,2026-12-10,2027-01-27,,Open,Preventive,NC-00254,Production,BLOW MOLDING,Major,Method/Procedure,Elena Santos,Pending
CAPA-4164,2026-12-17,2027-02-08,2027-02-01,Closed,Preventive,NC-00255,Production,Blow Molding,Major,Mold/Tooling,Vitor Sousa,Not Effective
CAPA-4165,2026-12-24,2027-02-15,,Open,Corrective,NC-00256,Production,Blow Molding,Major,Mold/Tooling,Vitor Sousa,Effective
CAPA-4166,2025-07-07,2025-08-02,2025-08-05,Closed,Corrective,NC-00257,Production,Blow Molding,Major,Machine/Equipment,Carlos Mendes,Not Effective
CAPA-4167,2025-08-07,2025-09-01,,Overdue,Corrective,NC-00259,Production,Blow Molding,Major,Method/Procedure,Vitor Sousa,Pending
CAPA-4168,2025-08-18,2025-10-11,2025-09-18,Closed,Corrective,NC-00260,Production,Blow Molding,Major,Man (Operator),Sandra Reis,Not Effective
CAPA-4169,2025-09-04,2025-11-01,2025-09-21,Closed,Preventive,NC-00261,Production,Blow Molding,Major,Mold/Tooling,Patrícia Lima,Not Effective
CAPA-4170,2025-09-09,2025-10-07,2025-11-02,Closed,Preventive,NC-00262,Production,Blow Molding,Major,Method/Procedure,Vitor Sousa,Pending
CAPA-4171,2025-09-17,2025-10-13,2025-10-14,Closed,Preventive,NC-00263,Production,Blow Molding,Major,Machine/Equipment,Sandra Reis,Not Effective
CAPA-4172,2025-11-01,2025-12-01,2025-12-23,Closed,Corrective,NC-00266,Production,Blow Molding,Major,Man (Operator),Sandra Reis,Effective
CAPA-4173,2025-12-09,2026-01-30,,Overdue,Preventive,NC-00267,Production,Blow Molding,Major,Machine/Equipment,Carlos Mendes,Effective
CAPA-4174,2026-01-01,2026-01-21,2026-02-04,Closed,Preventive,NC-00268,Production,Blow Molding,Major,Method/Procedure,Ana Silva,Not Effective
CAPA-4175,2026-01-04,2026-02-20,,Overdue,Corrective,NC-00269,Production,Blow Molding,Major,Mold/Tooling,Vitor Sousa,Not Effective
CAPA-4176,2026-02-23,2026-04-03,2026-04-10,Closed,Corrective,NC-00271,Production,Blow Molding,Major,Man (Operator),Patrícia Lima,Not Effective
CAPA-4177,2026-02-23,2026-04-03,,Overdue,Corrective,NC-00272,Production,Blow Molding,Major,Mold/Tooling,Elena Santos,Not Effective
CAPA-4178,2026-03-23,2026-04-13,2026-05-10,Closed,Corrective,NC-00273,Production,Blow Molding,Major,Mold/Tooling,Ana Silva,Pending
CAPA-4179,2026-05-13,2026-06-25,2026-06-21,Closed,Corrective,NC-00276,Production,Blow Molding,Major,Mold/Tooling,Carlos Mendes,Not Effective
