Date,Process,MachineId,ToolId,WorkOrder,PlannedQty,StartTime,EndTime,PlannedHours,ProductId
2025-07-23,BLOW MOLDING,ISBM-001,M-SOP-001,WO-1032,9620,14:37:59,05:25:59,14.8,FR-001-HDPE-PCR-300
2025-07-24,Blow Molding,ISBM-001,M-SOP-001,WO-1033,7585,06:51:27,18:31:39,11.67,FR-001-HDPE-PCR-300
2025-07-24,blow molding,ISBM-001,M-SOP-001,WO-1034,8053,20:53:42,09:17:06,12.39,FR-001-HDPE-PCR-300
2025-07-25,Blow Molding,ISBM-001,M-SOP-007,WO-1035,10738,10:23:13,02:54:25,16.52,FR-007-rPET-350
2025-07-26,Blow Molding,ISBM-001,M-SOP-007,WO-1036,9639,08:13:25,23:03:13,14.83,FR-007-rPET-350
2025-07-27,  Blow Molding  ,ISBM-001,M-SOP-007,WO-1037,12662,00:29:44,19:58:32,19.48,FR-007-PP-PCR-350
2025-07-27,Blow Molding,ISBM-001,M-SOP-007,WO-1038,8073,21:44:28,10:09:40,12.42,FR-007-PP-PCR-350
2025-07-28,Blow Molding,ISBM-001,M-SOP-007,WO-1039,10055,14:19:30,05:47:42,15.47,FR-007-PP-PCR-350
2025-07-29,Blow Molding,ISBM-001,M-SOP-001,WO-1040,7904,07:11:48,19:21:24,12.16,FR-001-HDPE-300
2025-07-29,Blow Molding,ISBM-001,M-SOP-001,WO-1041,13208,19:52:25,16:11:37,20.32,FR-001-HDPE-300
2025-07-30,Blow Molding,ISBM-001,M-SOP-001,WO-1042,12044,17:57:04,12:28:52,18.53,FR-001-HDPE-PCR-300
2025-07-31,Blow Molding,ISBM-001,M-SOP-001,WO-1043,7735,13:22:09,01:16:09,11.9,FR-001-HDPE-PCR-300
2025-08-01,Blow Molding,ISBM-001,M-SOP-001,WO-1044,11622,02:27:41,20:20:29,17.88,FR-001-HDPE-PCR-300
2025-08-01,Blow Molding,ISBM-001,M-SOP-001,WO-1045,11414,21:18:01,14:51:37,17.56,FR-001-rPET-300
2025-08-02,Blow Molding,ISBM-001,M-SOP-001,WO-1046,8333,18:31:23,07:20:35,12.82,FR-001-rPET-300
2025-08-03,Blow Molding,ISBM-001,M-SOP-001,WO-1047,7767,08:22:40,20:19:40,11.95,FR-001-HDPE-PCR-300
2025-08-04,Blow Molding,ISBM-001,M-SOP-001,WO-1048,8983,00:59:12,14:48:24,13.82,FR-001-rPET-300
2025-08-04,Blow Molding,ISBM-001,M-SOP-007,WO-1049,8976,18:35:55,08:24:31,13.81,FR-007-HDPE-PCR-350
2025-08-05,Blow Molding,ISBM-001,M-SOP-007,WO-1050,6857,09:43:49,20:16:49,10.55,FR-007-HDPE-PCR-350
2025-08-05,Blow Molding,ISBM-001,M-SOP-007,WO-1051,9555,21:16:57,11:58:57,14.7,FR-007-HDPE-PCR-350
2025-08-06,  Blow Molding  ,ISBM-001,M-SOP-007,WO-1052,12044,14:46:01,09:17:49,18.53,FR-007-HDPE-PCR-350
2025-08-07,Blow Molding,ISBM-001,M-SOP-001,WO-1053,7007,11:38:31,22:25:19,10.78,FR-001-rPET-300
2025-08-08,Blow Molding,ISBM-001,M-SOP-007,WO-1054,7728,00:37:13,12:30:37,11.89,FR-007-HDPE-PCR-350
2025-08-08,Blow Molding,ISBM-001,M-SOP-007,WO-1055,10530,16:48:12,09:00:12,16.2,FR-007-rPET-350
2025-08-09,Blow Molding,ISBM-001,M-SOP-007,WO-1056,8047,17:29:00,05:51:48,12.38,FR-007-rPET-350
2025-08-10,Blow Molding,ISBM-001,M-SOP-001,WO-1057,9451,09:20:47,23:53:11,14.54,FR-001-HDPE-PCR-300
2025-08-11,Blow Molding,ISBM-001,M-SOP-007,WO-1058,10900,04:52:25,21:38:37,16.77,FR-007-PVC-350
2025-08-11,Blow Molding,ISBM-001,M-SOP-007,WO-1059,7943,22:40:17,10:53:29,12.22,FR-007-PVC-350
2025-08-12,Blow Molding,ISBM-001,M-SOP-007,WO-1060,13032,12:35:52,08:38:52,20.05,FR-007-HDPE-PCR-350
2025-08-13,Blow Molding,ISBM-001,M-SOP-007,WO-1061,6948,09:13:42,19:55:06,10.69,FR-007-HDPE-PCR-350
2025-08-13,Blow Molding,ISBM-001,M-SOP-007,WO-1062,10692,22:20:40,14:47:40,16.45,FR-007-rPET-350
2025-08-14,Blow Molding,ISBM-001,M-SOP-001,WO-1063,8996,16:36:52,06:27:16,13.84,FR-001-HDPE-PCR-300
2025-08-15,Blow Molding,ISBM-001,M-SOP-001,WO-1064,8404,10:38:48,23:34:36,12.93,FR-001-HDPE-300
2025-08-16,BLOW MOLDING,ISBM-001,M-SOP-001,WO-1065,8703,04:38:09,18:01:33,13.39,FR-001-HDPE-300
2025-08-16,Blow Molding,ISBM-001,M-SOP-001,WO-1066,5063,19:03:38,02:51:02,7.79,FR-001-HDPE-300
2025-08-17,Blow Molding,ISBM-001,M-SOP-001,WO-1067,6701,04:33:35,14:52:11,10.31,FR-001-rPET-300
2025-08-17,Blow Molding,ISBM-001,M-SOP-001,WO-1068,11784,18:06:36,12:14:24,18.13,FR-001-rPET-300
2025-08-18,Blow Molding,ISBM-001,M-SOP-001,WO-1069,13175,15:43:53,12:00:05,20.27,FR-001-rPET-300
2025-08-19,Blow Molding,ISBM-001,M-SOP-007,WO-1070,12714,15:51:45,11:25:21,19.56,FR-007-HDPE-PCR-350
2025-08-20,  Blow Molding  ,ISBM-001,M-SOP-007,WO-1071,9418,16:09:06,06:38:30,14.49,FR-007-HDPE-PCR-350
2025-08-21,Blow Molding,ISBM-001,M-SOP-007,WO-1072,7702,07:30:44,19:21:44,11.85,FR-007-HDPE-PCR-350
2025-08-21,Blow Molding,ISBM-001,M-SOP-001,WO-1073,12421,22:36:57,17:43:33,19.11,FR-001-HDPE-PCR-300
2025-08-22,Blow Molding,ISBM-001,M-SOP-001,WO-1074,8476,18:41:39,07:44:03,13.04,FR-001-HDPE-PCR-300
2025-08-23,Blow Molding,ISBM-001,M-SOP-001,WO-1075,10432,09:02:10,01:05:10,16.05,FR-001-HDPE-PCR-300
2025-08-24,Blow Molding,ISBM-001,M-SOP-007,WO-1076,9275,03:51:48,18:08:00,14.27,FR-007-PP-350
2025-08-24,Blow Molding,ISBM-001,M-SOP-007,WO-1077,7175,20:02:25,07:04:49,11.04,FR-007-PP-350
2025-08-25,Blow Molding,ISBM-001,M-SOP-001,WO-1078,9509,11:39:32,02:17:20,14.63,FR-001-rPET-300
2025-08-26,Blow Molding,ISBM-001,M-SOP-001,WO-1079,9776,03:11:14,18:13:38,15.04,FR-001-rPET-300
2025-08-26,Blow Molding,ISBM-001,M-SOP-001,WO-1080,9711,18:48:00,09:44:24,14.94,FR-001-rPET-300
2025-08-27,Blow Molding,ISBM-001,M-SOP-007,WO-1081,7397,12:12:57,23:35:45,11.38,FR-007-PETG-350
2025-08-28,Blow Molding,ISBM-001,M-SOP-007,WO-1082,9867,01:01:33,16:12:21,15.18,FR-007-HDPE-350
2025-08-29,Blow Molding,ISBM-001,M-SOP-007,WO-1083,7007,01:29:29,12:16:17,10.78,FR-007-PP-350
2025-08-29,Blow Molding,ISBM-001,M-SOP-007,WO-1084,12408,14:11:44,09:17:08,19.09,FR-007-PP-350
2025-08-30,Blow Molding,ISBM-001,M-SOP-007,WO-1085,7813,11:49:32,23:50:44,12.02,FR-007-PP-350
2025-08-31,Blow Molding,ISBM-001,M-SOP-007,WO-1086,10439,06:47:07,22:50:43,16.06,FR-007-PETG-350
2025-09-01,Blow Molding,ISBM-001,M-SOP-001,WO-1087,11115,00:47:13,17:53:13,17.1,FR-001-HDPE-PCR-300
2025-09-01,Blow Molding,ISBM-001,M-SOP-001,WO-1088,5700,19:22:38,04:08:50,8.77,FR-001-HDPE-PCR-300
2025-09-02,blow molding,ISBM-001,M-SOP-007,WO-1089,8788,06:06:36,19:37:48,13.52,FR-007-PP-PCR-350
2025-09-02,Blow Molding,ISBM-001,M-SOP-001,WO-1090,9613,23:42:47,14:30:11,14.79,FR-001-rPET-300
2025-09-03,Blow Molding,ISBM-001,M-SOP-001,WO-1091,9113,15:01:14,05:02:26,14.02,FR-001-HDPE-PCR-300
2025-09-04,Blow Molding,ISBM-001,M-SOP-001,WO-1092,9327,06:17:29,20:38:29,14.35,FR-001-HDPE-PCR-300
2025-09-04,Blow Molding,ISBM-001,M-SOP-001,WO-1093,10588,23:35:17,15:52:41,16.29,FR-001-HDPE-PCR-300
2025-09-05,Blow Molding,ISBM-001,M-SOP-007,WO-1094,8287,20:17:11,09:02:11,12.75,FR-007-PP-PCR-350
2025-09-06,Blow Molding,ISBM-001,M-SOP-007,WO-1095,10653,09:22:44,01:46:08,16.39,FR-007-PP-PCR-350
2025-09-07,Blow Molding,ISBM-001,M-SOP-001,WO-1096,7559,06:05:57,17:43:45,11.63,FR-001-HDPE-300
2025-09-07,Blow Molding,ISBM-001,M-SOP-001,WO-1097,11947,20:37:50,15:00:38,18.38,FR-001-HDPE-300
2025-09-08,Blow Molding,ISBM-001,M-SOP-001,WO-1098,9776,16:14:26,07:16:50,15.04,FR-001-HDPE-300
2025-09-09,Blow Molding,ISBM-001,M-SOP-007,WO-1099,8976,10:28:42,00:17:18,13.81,FR-007-rPET-350
2025-09-10,Blow Molding,ISBM-001,M-SOP-007,WO-1100,9555,01:24:42,16:06:42,14.7,FR-007-rPET-350
2025-09-10,Blow Molding,ISBM-001,M-SOP-007,WO-1101,6636,17:13:36,03:26:12,10.21,FR-007-rPET-350
2025-09-11,  Blow Molding  ,ISBM-001,M-SOP-007,WO-1102,7111,05:30:24,16:26:48,10.94,FR-007-PETG-350
2025-09-11,Blow Molding,ISBM-001,M-SOP-007,WO-1103,12278,19:23:00,14:16:24,18.89,FR-007-PETG-350
2025-09-12,Blow Molding,ISBM-001,M-SOP-007,WO-1104,10718,15:20:43,07:50:07,16.49,FR-007-PETG-350
2025-09-13,Blow Molding,ISBM-001,M-SOP-001,WO-1105,5947,09:42:03,18:51:03,9.15,FR-001-rPET-300
2025-09-14,Blow Molding,ISBM-001,M-SOP-001,WO-1106,8710,00:12:00,13:36:00,13.4,FR-001-HDPE-300
2025-09-14,Blow Molding,ISBM-001,M-SOP-001,WO-1107,10783,16:48:07,09:23:31,16.59,FR-001-HDPE-300
2025-09-15,Blow Molding,ISBM-001,M-SOP-001,WO-1108,8157,13:44:02,02:17:02,12.55,FR-001-rPET-300
2025-09-16,Blow Molding,ISBM-001,M-SOP-001,WO-1109,8632,09:20:38,22:37:26,13.28,FR-001-rPET-300
2025-09-17,Blow Molding,ISBM-001,M-SOP-001,WO-1110,6838,03:11:44,13:42:56,10.52,FR-001-rPET-300
2025-09-17,Blow Molding,ISBM-001,M-SOP-001,WO-1111,4771,14:54:43,22:15:07,7.34,FR-001-rPET-300
2025-09-18,Blow Molding,ISBM-001,M-SOP-007,WO-1112,4296,05:51:59,12:28:35,6.61,FR-007-PETG-350
2025-09-18,Blow Molding,ISBM-001,M-SOP-001,WO-1113,9204,15:17:43,05:27:19,14.16,FR-001-HDPE-300
2025-09-19,Blow Molding,ISBM-001,M-SOP-001,WO-1114,8365,06:08:59,19:01:11,12.87,FR-001-HDPE-300
2025-09-20,Blow Molding,ISBM-001,M-SOP-001,WO-1115,10484,00:11:40,16:19:28,16.13,FR-001-HDPE-300
2025-09-20,Blow Molding,ISBM-001,M-SOP-001,WO-1116,8580,22:05:40,11:17:40,13.2,FR-001-HDPE-PCR-300
2025-09-21,Blow Molding,ISBM-001,M-SOP-007,WO-1117,10146,16:12:34,07:49:10,15.61,FR-007-HDPE-350
2025-09-22,Blow Molding,ISBM-001,M-SOP-007,WO-1118,6285,08:36:50,18:17:02,9.67,FR-007-HDPE-350
2025-09-22,Blow Molding,ISBM-001,M-SOP-007,WO-1119,5674,23:43:40,08:27:28,8.73,FR-007-PVC-350
2025-09-23,Blow Molding,ISBM-001,M-SOP-001,WO-1120,6012,10:58:13,20:13:13,9.25,FR-001-HDPE-300
2025-09-24,Blow Molding,ISBM-001,M-SOP-007,WO-1121,9470,00:38:06,15:12:18,14.57,FR-007-PVC-350
2025-09-24,Blow Molding,ISBM-001,M-SOP-001,WO-1122,6825,17:11:35,03:41:35,10.5,FR-001-HDPE-PCR-300
2025-09-25,  Blow Molding  ,ISBM-001,M-SOP-001,WO-1123,8320,04:07:41,16:55:41,12.8,FR-001-HDPE-PCR-300
2025-09-25,Blow Molding,ISBM-001,M-SOP-001,WO-1124,11791,22:03:47,16:12:11,18.14,FR-001-HDPE-PCR-300
2025-09-26,Blow Molding,ISBM-001,M-SOP-007,WO-1125,10555,23:05:31,15:19:55,16.24,FR-007-PVC-350
2025-09-27,Blow Molding,ISBM-001,M-SOP-007,WO-1126,4647,20:17:55,03:26:55,7.15,FR-007-PVC-350
2025-09-28,Blow Molding,ISBM-001,M-SOP-001,WO-1127,8242,06:39:06,19:19:54,12.68,FR-001-HDPE-300
2025-09-29,Blow Molding,ISBM-001,M-SOP-001,WO-1128,7975,00:47:53,13:04:05,12.27,FR-001-HDPE-300
2025-09-29,Blow Molding,ISBM-001,M-SOP-007,WO-1129,4381,14:51:45,21:36:09,6.74,FR-007-PP-PCR-350
2025-09-30,Blow Molding,ISBM-001,M-SOP-007,WO-1130,11290,01:43:40,19:05:52,17.37,FR-007-PP-PCR-350
2025-09-30,Blow Molding,ISBM-001,M-SOP-007,WO-1131,7241,20:30:00,07:38:24,11.14,FR-007-PP-PCR-350
2025-10-01,Blow Molding,ISBM-001,M-SOP-007,WO-1132,12343,14:24:27,09:23:51,18.99,FR-007-rPET-350
2025-10-02,Blow Molding,ISBM-001,M-SOP-001,WO-1133,8144,12:14:51,00:46:39,12.53,FR-001-rPET-300
2025-10-03,Blow Molding,ISBM-001,M-SOP-001,WO-1134,9503,02:05:08,16:42:20,14.62,FR-001-rPET-300
2025-10-03,Blow Molding,ISBM-001,M-SOP-001,WO-1135,8729,22:28:13,11:54:01,13.43,FR-001-rPET-300
2025-10-04,Blow Molding,ISBM-001,M-SOP-001,WO-1136,6896,13:41:48,00:18:24,10.61,FR-001-HDPE-300
2025-10-05,Blow Molding,ISBM-001,M-SOP-001,WO-1137,6266,03:24:07,13:02:31,9.64,FR-001-HDPE-300
2025-10-05,Blow Molding,ISBM-001,M-SOP-001,WO-1138,7631,13:52:01,01:36:25,11.74,FR-001-HDPE-300
2025-10-06,Blow Molding,ISBM-001,M-SOP-001,WO-1139,11245,03:05:06,20:23:06,17.3,FR-001-HDPE-300
2025-10-06,blow molding,ISBM-001,M-SOP-001,WO-1140,7962,21:46:41,10:01:41,12.25,FR-001-HDPE-300
2025-10-07,  Blow Molding  ,ISBM-001,M-SOP-007,WO-1141,10049,12:21:37,03:49:13,15.46,FR-007-PP-350
2025-10-08,Blow Molding,ISBM-001,M-SOP-001,WO-1142,9418,11:43:47,02:13:11,14.49,FR-001-HDPE-PCR-300
2025-10-09,Blow Molding,ISBM-001,M-SOP-001,WO-1143,8814,04:49:50,18:23:26,13.56,FR-001-HDPE-PCR-300
2025-10-09,Blow Molding,ISBM-001,M-SOP-001,WO-1144,9126,19:50:27,09:52:51,14.04,FR-001-HDPE-PCR-300
2025-10-10,BLOW MOLDING,ISBM-001,M-SOP-001,WO-1145,12720,11:22:46,06:56:58,19.57,FR-001-rPET-300
2025-10-11,Blow Molding,ISBM-001,M-SOP-007,WO-1146,9626,08:38:18,23:26:54,14.81,FR-007-rPET-350
2025-10-12,Blow Molding,ISBM-001,M-SOP-007,WO-1147,7891,07:40:16,19:48:40,12.14,FR-007-rPET-350
2025-10-13,Blow Molding,ISBM-001,M-SOP-007,WO-1148,7624,03:31:03,15:14:51,11.73,FR-007-PETG-350
2025-10-13,Blow Molding,ISBM-001,M-SOP-007,WO-1149,7696,15:44:35,03:34:59,11.84,FR-007-PVC-350
2025-10-14,Blow Molding,ISBM-001,M-SOP-007,WO-1150,5343,05:02:21,13:15:33,8.22,FR-007-PVC-350
2025-10-14,Blow Molding,ISBM-001,M-SOP-007,WO-1151,7813,15:01:35,03:02:47,12.02,FR-007-PETG-350
2025-10-15,Blow Molding,ISBM-001,M-SOP-007,WO-1152,7910,04:33:46,16:43:58,12.17,FR-007-PVC-350
2025-10-15,BLOW MOLDING,ISBM-001,M-SOP-007,WO-1153,8112,23:23:23,11:52:11,12.48,FR-007-HDPE-PCR-350
2025-10-16,Blow Molding,ISBM-001,M-SOP-007,WO-1154,8885,13:14:06,02:54:18,13.67,FR-007-HDPE-PCR-350
2025-10-17,Blow Molding,ISBM-001,M-SOP-001,WO-1155,7748,05:36:53,17:32:05,11.92,FR-001-rPET-300
2025-10-17,Blow Molding,ISBM-001,M-SOP-001,WO-1156,4452,18:29:03,01:20:03,6.85,FR-001-rPET-300
2025-10-18,Blow Molding,ISBM-001,M-SOP-001,WO-1157,8710,02:15:04,15:39:04,13.4,FR-001-rPET-300
2025-10-18,BLOW MOLDING,ISBM-001,M-SOP-001,WO-1158,7215,16:47:14,03:53:14,11.1,FR-001-rPET-300
2025-10-19,Blow Molding,ISBM-001,M-SOP-007,WO-1159,8911,06:20:18,20:02:54,13.71,FR-007-PP-350
2025-10-19,Blow Molding,ISBM-001,M-SOP-007,WO-1160,9230,20:39:46,10:51:46,14.2,FR-007-PP-PCR-350
2025-10-20,Blow Molding,ISBM-001,M-SOP-007,WO-1161,12064,13:43:37,08:17:13,18.56,FR-007-PP-PCR-350
2025-10-21,Blow Molding,ISBM-001,M-SOP-007,WO-1162,7943,09:16:47,21:29:59,12.22,FR-007-HDPE-PCR-350
2025-10-21,Blow Molding,ISBM-001,M-SOP-007,WO-1163,7358,23:04:49,10:24:01,11.32,FR-007-PVC-350
2025-10-22,Blow Molding,ISBM-001,M-SOP-007,WO-1164,11303,10:57:24,04:20:48,17.39,FR-007-PVC-350
2025-10-23,Blow Molding,ISBM-001,M-SOP-001,WO-1165,8203,06:43:31,19:20:43,12.62,FR-001-rPET-300
2025-10-23,Blow Molding,ISBM-001,M-SOP-001,WO-1166,9594,23:43:38,14:29:14,14.76,FR-001-rPET-300
2025-10-24,Blow Molding,ISBM-001,M-SOP-007,WO-1167,7969,16:24:22,04:39:58,12.26,FR-007-HDPE-PCR-350
2025-10-25,Blow Molding,ISBM-001,M-SOP-007,WO-1168,7215,05:29:49,16:35:49,11.1,FR-007-HDPE-PCR-350
2025-10-25,Blow Molding,ISBM-001,M-SOP-007,WO-1169,9243,16:57:17,07:10:29,14.22,FR-007-PETG-350
2025-10-26,Blow Molding,ISBM-001,M-SOP-007,WO-1170,5505,09:58:32,18:26:44,8.47,FR-007-PETG-350
2025-10-26,Blow Molding,ISBM-001,M-SOP-007,WO-1171,6513,20:03:32,06:04:44,10.02,FR-007-PETG-350
2025-10-27,Blow Molding,ISBM-001,M-SOP-007,WO-1172,6032,07:57:27,17:14:15,9.28,FR-007-rPET-350
2025-10-27,Blow Molding,ISBM-001,M-SOP-007,WO-1173,6311,18:47:58,04:30:34,9.71,FR-007-rPET-350
2025-10-28,Blow Molding,ISBM-001,M-SOP-007,WO-1174,6090,09:19:24,18:41:36,9.37,FR-007-rPET-350
2025-10-28,Blow Molding,ISBM-001,M-SOP-007,WO-1175,11069,22:30:49,15:32:37,17.03,FR-007-rPET-350
2025-10-29,Blow Molding,ISBM-001,M-SOP-001,WO-1176,9574,17:59:49,08:43:37,14.73,FR-001-HDPE-300
2025-10-30,Blow Molding,ISBM-001,M-SOP-001,WO-1177,9769,09:04:01,00:05:49,15.03,FR-001-HDPE-300
2025-10-31,Blow Molding,ISBM-001,M-SOP-007,WO-1178,11537,03:46:30,21:31:30,17.75,FR-007-rPET-350
2025-10-31,Blow Molding,ISBM-001,M-SOP-007,WO-1179,8736,22:24:38,11:51:02,13.44,FR-007-HDPE-350
2025-11-01,Blow Molding,ISBM-001,M-SOP-007,WO-1180,9288,12:58:17,03:15:41,14.29,FR-007-HDPE-350
2025-11-02,Blow Molding,ISBM-001,M-SOP-001,WO-1181,10946,07:03:43,23:54:07,16.84,FR-001-rPET-300
2025-11-03,Blow Molding,ISBM-001,M-SOP-001,WO-1182,4875,04:12:27,11:42:27,7.5,FR-001-rPET-300
2025-11-03,blow molding,ISBM-001,M-SOP-007,WO-1183,11667,14:32:38,08:29:38,17.95,FR-007-PP-350
2025-11-04,Blow Molding,ISBM-001,M-SOP-007,WO-1184,6831,09:32:06,20:02:42,10.51,FR-007-PP-350
2025-11-04,Blow Molding,ISBM-001,M-SOP-007,WO-1185,7377,22:46:54,10:07:54,11.35,FR-007-PP-350
2025-11-05,Blow Molding,ISBM-001,M-SOP-007,WO-1186,6298,10:59:37,20:41:01,9.69,FR-007-HDPE-350
2025-11-05,Blow Molding,ISBM-001,M-SOP-007,WO-1187,8014,22:33:22,10:53:10,12.33,FR-007-PP-PCR-350
2025-11-06,Blow Molding,ISBM-001,M-SOP-007,WO-1188,7891,11:30:50,23:39:14,12.14,FR-007-PP-PCR-350
2025-11-07,Blow Molding,ISBM-001,M-SOP-001,WO-1189,8398,01:52:02,14:47:14,12.92,FR-001-HDPE-PCR-300
2025-11-07,Blow Molding,ISBM-001,M-SOP-007,WO-1190,8885,17:30:55,07:11:07,13.67,FR-007-PP-350
2025-11-08,Blow Molding,ISBM-001,M-SOP-007,WO-1191,10068,07:55:28,23:24:52,15.49,FR-007-PP-350
2025-11-09,Blow Molding,ISBM-001,M-SOP-001,WO-1192,7832,02:02:17,14:05:17,12.05,FR-001-rPET-300
2025-11-09,BLOW MOLDING,ISBM-001,M-SOP-001,WO-1193,8638,16:44:35,06:01:59,13.29,FR-001-HDPE-300
2025-11-10,Blow Molding,ISBM-001,M-SOP-001,WO-1194,11199,06:40:08,23:53:56,17.23,FR-001-rPET-300
2025-11-11,Blow Molding,ISBM-001,M-SOP-001,WO-1195,8755,02:11:35,15:39:47,13.47,FR-001-HDPE-300
2025-11-11,BLOW MOLDING,ISBM-001,M-SOP-001,WO-1196,11050,16:37:10,09:37:10,17.0,FR-001-HDPE-300
2025-11-12,Blow Molding,ISBM-001,M-SOP-007,WO-1197,6214,12:37:57,22:11:33,9.56,FR-007-PETG-350
2025-11-13,Blow Molding,ISBM-001,M-SOP-007,WO-1198,5135,02:18:37,10:12:37,7.9,FR-007-PETG-350
2025-11-13,Blow Molding,ISBM-001,M-SOP-007,WO-1199,10549,10:57:54,03:11:42,16.23,FR-007-HDPE-350
2025-11-14,Blow Molding,ISBM-001,M-SOP-007,WO-1200,11232,03:33:28,20:50:16,17.28,FR-007-HDPE-350
2025-11-14,Blow Molding,ISBM-001,M-SOP-001,WO-1201,9054,23:54:06,13:49:54,13.93,FR-001-rPET-300
2025-11-15,Blow Molding,ISBM-001,M-SOP-001,WO-1202,4335,15:00:36,21:40:48,6.67,FR-001-rPET-300
2025-11-16,Blow Molding,ISBM-001,M-SOP-007,WO-1203,9249,03:22:04,17:35:52,14.23,FR-007-HDPE-350
2025-11-16,Blow Molding,ISBM-001,M-SOP-007,WO-1204,9470,19:53:05,10:27:17,14.57,FR-007-HDPE-350
2025-11-17,Blow Molding,ISBM-001,M-SOP-007,WO-1205,7208,11:49:54,22:55:18,11.09,FR-007-HDPE-350
2025-11-18,Blow Molding,ISBM-001,M-SOP-007,WO-1206,11271,03:36:10,20:56:34,17.34,FR-007-HDPE-PCR-350
2025-11-18,  Blow Molding  ,ISBM-001,M-SOP-007,WO-1207,9925,22:12:44,13:28:56,15.27,FR-007-HDPE-PCR-350
