ProductBatch,WorkOrder,ProductionDate,Shift,MachineId,MoldId,CapId,Material,CapType,Characteristic,Class,AQL,Standard,InspectionLevel,LotSize,CodeLetter,SampleSize,AcceptanceNumber,RejectionNumber,DefectsFound,LotDecision,InspectionDateTime,Inspector
LOTE-M-INJ-001-5468,WO-7365,2025-07-03,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,6470,L,200,0,1,0,Approved,2025-07-04 03:26:34.315,Ana Silva
LOTE-M-INJ-001-5468,WO-7365,2025-07-03,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,6470,L,200,10,11,0,Approved,2025-07-04 00:39:30.212,Carlos Mendes
LOTE-M-INJ-001-5469,WO-7366,2025-07-04,Shift 1,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,12655,M,315,0,1,0,Approved,2025-07-04 21:37:10.298,Carlos Mendes
LOTE-M-INJ-001-5469,WO-7366,2025-07-04,Shift 1,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,12655,M,315,7,8,0,Approved,2025-07-04 21:31:29.917,Elena Santos
LOTE-M-INJ-001-5469,WO-7366,2025-07-04,Shift 1,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,12655,M,315,14,15,5,Approved,2025-07-04 18:22:24.523,Ana Silva
LOTE-M-INJ-001-5469,WO-7367,2025-07-05,Shift 3,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,18903,M,315,7,8,1,Approved,2025-07-05 17:22:56.493,Ana Silva
LOTE-M-INJ-001-5469,WO-7367,2025-07-05,SHIFT 3,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,18903,M,315,7,8,1,Approved,2025-07-05 18:34:50.451,Ana Silva
LOTE-M-INJ-001-5469,WO-7367,2025-07-05,Shift 3,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,18903,M,315,14,15,1,Approved,2025-07-05 18:41:54.534,Elena Santos
LOTE-M-INJ-001-5469,WO-7368,2025-07-05,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,15411,M,315,0,1,0,Approved,2025-07-06 03:55:39.622,Diogo Ferreira
LOTE-M-INJ-001-5469,WO-7368,2025-07-05,SHIFT 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,15411,M,315,0,1,0,Approved,2025-07-06 05:29:30.962,Elena Santos
LOTE-M-INJ-001-5469,WO-7368,2025-07-05,  Shift 2  ,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,15411,M,315,7,8,2,Approved,2025-07-06 00:35:32.531,Diogo Ferreira
LOTE-M-INJ-001-5469,WO-7368,2025-07-05,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,15411,M,315,7,8,1,Approved,2025-07-06 05:02:26.665,Ana Silva
LOTE-M-INJ-001-5469,WO-7368,2025-07-05,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,15411,M,315,14,15,3,Approved,2025-07-06 09:09:11.758,Beatriz Costa
LOTE-M-INJ-001-5470,WO-7369,2025-07-06,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,19826,M,315,0,1,0,Approved,2025-07-06 17:21:54.757,Beatriz Costa
LOTE-M-INJ-001-5470,WO-7369,2025-07-06,  Shift 1  ,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,19826,M,315,7,8,1,Approved,2025-07-06 14:04:10.506,Carlos Mendes
LOTE-M-INJ-001-5470,WO-7369,2025-07-06,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,19826,M,315,7,8,0,Approved,2025-07-07 01:23:25.686,Beatriz Costa
LOTE-M-INJ-001-5470,WO-7369,2025-07-06,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,19826,M,315,14,15,2,Approved,2025-07-06 15:21:07.324,Elena Santos
LOTE-M-INJ-001-5471,WO-7370,2025-07-07,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,7588,L,200,0,1,0,Approved,2025-07-07 08:05:39.709,Beatriz Costa
LOTE-M-INJ-001-5471,WO-7370,2025-07-07,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,7588,L,200,0,1,0,Approved,2025-07-07 08:24:50.337,Carlos Mendes
LOTE-M-INJ-001-5471,WO-7370,2025-07-07,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,7588,L,200,5,6,1,Approved,2025-07-07 07:50:17.076,Beatriz Costa
LOTE-M-INJ-001-5471,WO-7371,2025-07-07,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,23791,M,315,0,1,0,Approved,2025-07-08 03:29:07.090,Diogo Ferreira
LOTE-M-INJ-001-5471,WO-7371,2025-07-07,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,23791,M,315,14,15,4,Approved,2025-07-07 22:47:06.199,Elena Santos
LOTE-M-INJ-001-5471,WO-7372,2025-07-08,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,19956,M,315,0,1,0,Approved,2025-07-08 14:44:27.238,Elena Santos
LOTE-M-INJ-001-5472,WO-7373,2025-07-09,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,13997,M,315,0,1,1,Rejected,2025-07-09 05:40:34.160,Carlos Mendes
LOTE-M-INJ-001-5472,WO-7373,2025-07-09,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,13997,M,315,7,8,0,Approved,2025-07-09 05:08:41.016,Beatriz Costa
LOTE-M-INJ-001-5472,WO-7373,2025-07-09,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,13997,M,315,14,15,6,Approved,2025-07-09 13:42:38.891,Carlos Mendes
LOTE-M-INJ-001-5472,WO-7373,2025-07-09,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,13997,M,315,14,15,4,Approved,2025-07-09 04:49:55.732,Ana Silva
LOTE-M-INJ-001-5473,WO-7374,2025-07-09,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,10269,M,315,0,1,0,Approved,2025-07-10 06:50:41.624,Beatriz Costa
LOTE-M-INJ-001-5473,WO-7374,2025-07-09,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,10269,M,315,0,1,0,Approved,2025-07-10 01:50:26.803,Carlos Mendes
LOTE-M-INJ-001-5473,WO-7374,2025-07-09,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,10269,M,315,7,8,1,Approved,2025-07-10 00:36:59.571,Elena Santos
LOTE-M-INJ-001-5473,WO-7374,2025-07-09,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,10269,M,315,7,8,0,Approved,2025-07-09 20:31:31.568,Ana Silva
LOTE-M-INJ-001-5473,WO-7375,2025-07-10,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,14509,M,315,0,1,0,Approved,2025-07-10 21:54:48.608,Elena Santos
LOTE-M-INJ-001-5473,WO-7375,2025-07-10,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,14509,M,315,0,1,0,Approved,2025-07-10 14:41:28.275,Diogo Ferreira
LOTE-M-INJ-001-5473,WO-7375,2025-07-10,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,14509,M,315,7,8,0,Approved,2025-07-10 19:57:05.812,Elena Santos
LOTE-M-INJ-001-5473,WO-7375,2025-07-10,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,14509,M,315,14,15,2,Approved,2025-07-10 12:12:02.173,Beatriz Costa
LOTE-M-INJ-001-5474,WO-7376,2025-07-10,Shift 3,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,19587,M,315,7,8,0,Approved,2025-07-11 15:14:16.660,Elena Santos
LOTE-M-INJ-001-5474,WO-7376,2025-07-10,SHIFT 3,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,19587,M,315,14,15,0,Approved,2025-07-11 08:43:15.298,Beatriz Costa
LOTE-M-INJ-001-5475,WO-7377,2025-07-11,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,11230,M,315,0,1,0,Approved,2025-07-12 02:27:30.296,Ana Silva
LOTE-M-INJ-001-5475,WO-7377,2025-07-11,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,11230,M,315,0,1,1,Rejected,2025-07-12 04:52:19.776,Beatriz Costa
LOTE-M-INJ-001-5475,WO-7377,2025-07-11,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,11230,M,315,7,8,0,Approved,2025-07-11 23:07:42.658,Beatriz Costa
LOTE-M-INJ-001-5475,WO-7377,2025-07-11,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,11230,M,315,14,15,2,Approved,2025-07-12 02:23:47.961,Diogo Ferreira
LOTE-M-INJ-001-5476,WO-7378,2025-07-12,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,14779,M,315,0,1,0,Approved,2025-07-12 13:45:41.612,Beatriz Costa
LOTE-M-INJ-001-5476,WO-7378,2025-07-12,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,14779,M,315,7,8,0,Approved,2025-07-12 11:32:52.469,Ana Silva
LOTE-M-INJ-001-5476,WO-7378,2025-07-12,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,14779,M,315,7,8,0,Approved,2025-07-12 15:46:12.862,Diogo Ferreira
LOTE-M-INJ-001-5476,WO-7379,2025-07-12,  Shift 3  ,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,19290,M,315,0,1,1,Rejected,2025-07-13 09:39:19.658,Elena Santos
LOTE-M-INJ-001-5476,WO-7379,2025-07-12,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,19290,M,315,7,8,2,Approved,2025-07-13 10:32:32.839,Carlos Mendes
LOTE-M-INJ-001-5476,WO-7379,2025-07-12,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,19290,M,315,7,8,1,Approved,2025-07-13 06:31:11.373,Elena Santos
LOTE-M-INJ-001-5476,WO-7379,2025-07-12,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,19290,M,315,14,15,4,Approved,2025-07-13 07:15:03.410,Ana Silva
LOTE-M-INJ-001-5476,WO-7380,2025-07-13,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,20423,M,315,7,8,1,Approved,2025-07-13 18:45:35.493,Elena Santos
LOTE-M-INJ-001-5476,WO-7380,2025-07-13,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,20423,M,315,14,15,4,Approved,2025-07-13 17:27:53.592,Carlos Mendes
LOTE-M-INJ-001-5476,WO-7380,2025-07-13,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,20423,M,315,14,15,3,Approved,2025-07-14 06:20:30.832,Diogo Ferreira
LOTE-M-INJ-001-5477,WO-7381,2025-07-14,Shift 1,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,18633,M,315,0,1,1,Rejected,2025-07-14 20:33:57.151,Diogo Ferreira
LOTE-M-INJ-001-5477,WO-7381,2025-07-14,Shift 1,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,18633,M,315,0,1,0,Approved,2025-07-14 17:34:37.459,Carlos Mendes
LOTE-M-INJ-001-5477,WO-7381,2025-07-14,Shift 1,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,18633,M,315,7,8,0,Approved,2025-07-14 15:15:31.104,Ana Silva
LOTE-M-INJ-001-5478,WO-7382,2025-07-15,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,18833,M,315,0,1,0,Approved,2025-07-15 16:20:31.881,Carlos Mendes
LOTE-M-INJ-001-5478,WO-7382,2025-07-15,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,18833,M,315,7,8,2,Approved,2025-07-15 16:01:21.235,Beatriz Costa
LOTE-M-INJ-001-5478,WO-7382,2025-07-15,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,18833,M,315,7,8,0,Approved,2025-07-15 13:20:43.182,Carlos Mendes
LOTE-M-INJ-001-5478,WO-7382,2025-07-15,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,18833,M,315,14,15,4,Approved,2025-07-15 05:51:48.812,Carlos Mendes
LOTE-M-INJ-001-5478,WO-7383,2025-07-15,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,23095,M,315,0,1,0,Approved,2025-07-16 15:27:19.983,Elena Santos
LOTE-M-INJ-001-5478,WO-7383,2025-07-15,shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,23095,M,315,7,8,0,Approved,2025-07-16 08:29:12.408,Elena Santos
LOTE-M-INJ-001-5478,WO-7383,2025-07-15,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,23095,M,315,14,15,1,Approved,2025-07-16 14:35:16.569,Beatriz Costa
LOTE-M-INJ-001-5478,WO-7384,2025-07-16,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,15360,M,315,0,1,0,Approved,2025-07-17 11:27:04.885,Carlos Mendes
LOTE-M-INJ-001-5478,WO-7384,2025-07-16,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,15360,M,315,7,8,4,Approved,2025-07-17 04:19:50.714,Diogo Ferreira
LOTE-M-INJ-001-5478,WO-7384,2025-07-16,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,15360,M,315,7,8,1,Approved,2025-07-17 09:04:17.855,Beatriz Costa
LOTE-M-INJ-001-5478,WO-7384,2025-07-16,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,15360,M,315,14,15,3,Approved,2025-07-17 00:40:32.211,Diogo Ferreira
LOTE-M-INJ-001-5479,WO-7385,2025-07-17,  Shift 2  ,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,14004,M,315,7,8,1,Approved,2025-07-17 18:38:54.941,Diogo Ferreira
LOTE-M-INJ-001-5479,WO-7385,2025-07-17,Shift 2,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,14004,M,315,14,15,1,Approved,2025-07-17 21:32:44.753,Beatriz Costa
LOTE-M-INJ-001-5480,WO-7387,2025-07-18,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,23771,M,315,7,8,0,Approved,2025-07-19 13:19:34.372,Ana Silva
LOTE-M-INJ-001-5480,WO-7387,2025-07-18,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,23771,M,315,14,15,4,Approved,2025-07-19 06:03:55.399,Carlos Mendes
LOTE-M-INJ-001-5480,WO-7387,2025-07-18,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,23771,M,315,14,15,1,Approved,2025-07-18 22:28:48.570,Elena Santos
LOTE-M-INJ-001-5480,WO-7388,2025-07-19,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,19067,M,315,0,1,0,Approved,2025-07-20 05:24:32.496,Elena Santos
LOTE-M-INJ-001-5480,WO-7388,2025-07-19,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,19067,M,315,7,8,1,Approved,2025-07-20 09:25:34.445,Carlos Mendes
LOTE-M-INJ-001-5480,WO-7388,2025-07-19,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,19067,M,315,14,15,2,Approved,2025-07-20 08:29:41.989,Diogo Ferreira
LOTE-M-INJ-001-5480,WO-7389,2025-07-20,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,11612,M,315,0,1,0,Approved,2025-07-20 18:57:34.641,Diogo Ferreira
LOTE-M-INJ-001-5480,WO-7389,2025-07-20,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,11612,M,315,0,1,0,Approved,2025-07-20 22:58:03.647,Carlos Mendes
LOTE-M-INJ-001-5480,WO-7389,2025-07-20,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,11612,M,315,7,8,2,Approved,2025-07-21 01:35:35.445,Ana Silva
LOTE-M-INJ-001-5480,WO-7389,2025-07-20,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,11612,M,315,14,15,5,Approved,2025-07-21 02:01:06.032,Ana Silva
LOTE-M-INJ-001-5480,WO-7389,2025-07-20,Shift 2,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,11612,M,315,14,15,8,Approved,2025-07-20 17:53:36.798,Diogo Ferreira
LOTE-M-INJ-001-5481,WO-7390,2025-07-21,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,20490,M,315,0,1,0,Approved,2025-07-21 09:28:06.865,Beatriz Costa
LOTE-M-INJ-001-5481,WO-7390,2025-07-21,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,20490,M,315,7,8,0,Approved,2025-07-21 11:55:38.810,Diogo Ferreira
LOTE-M-INJ-001-5481,WO-7390,2025-07-21,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,20490,M,315,7,8,0,Approved,2025-07-21 12:08:58.450,Ana Silva
